Energy (in eV), SEEE yield of material CERS-NASCAP at incidence 0.0 degree
   X,       Y
0.0, 0.0
10.0, 0.1542645
20.0, 0.30599463
30.0, 0.45573807
40.0, 0.60359466
50.0, 0.7495741
60.0, 0.89365155
70.0, 1.035788
80.0, 1.1759377
90.0, 1.3140532
100.0, 1.4500855
110.0, 1.5839876
120.0, 1.7157158
130.0, 1.8452265
140.0, 1.9724808
150.0, 2.097442
160.0, 2.2200775
170.0, 2.3403559
180.0, 2.458251
190.0, 2.5737388
200.0, 2.686799
210.0, 2.7974136
220.0, 2.9055674
230.0, 3.01125
240.0, 3.1144512
250.0, 3.215166
260.0, 3.3133905
270.0, 3.4091253
280.0, 3.50237
290.0, 3.5931306
300.0, 3.6814127
310.0, 3.767226
320.0, 3.8505807
330.0, 3.9314904
340.0, 4.00997
350.0, 4.0860367
360.0, 4.159709
370.0, 4.231007
380.0, 4.2999544
390.0, 4.366573
400.0, 4.4308877
410.0, 4.492926
420.0, 4.5527163
430.0, 4.6102853
440.0, 4.665664
450.0, 4.718884
460.0, 4.7699776
470.0, 4.8189754
480.0, 4.865913
490.0, 4.9108253
500.0, 4.9537454
510.0, 4.99471
520.0, 5.0337543
530.0, 5.070917
540.0, 5.1062336
550.0, 5.139742
560.0, 5.1714797
570.0, 5.201484
580.0, 5.229794
590.0, 5.256447
600.0, 5.2814813
610.0, 5.304937
620.0, 5.3268485
630.0, 5.3472567
640.0, 5.3662
650.0, 5.383715
660.0, 5.3998404
670.0, 5.4146123
680.0, 5.428069
690.0, 5.440247
700.0, 5.4511824
710.0, 5.460913
720.0, 5.469474
730.0, 5.4768996
740.0, 5.4832263
750.0, 5.4884877
760.0, 5.4927197
770.0, 5.495953
780.0, 5.498223
790.0, 5.4995613
800.0, 5.5
810.0, 5.4995713
820.0, 5.4983063
830.0, 5.496234
840.0, 5.4933853
850.0, 5.489788
860.0, 5.485473
870.0, 5.480467
880.0, 5.4747977
890.0, 5.468491
900.0, 5.4615746
910.0, 5.454073
920.0, 5.446011
930.0, 5.4374137
940.0, 5.428305
950.0, 5.4187074
960.0, 5.408644
970.0, 5.3981366
980.0, 5.3872066
990.0, 5.3758736
1000.0, 5.36416
1010.0, 5.3520837
1020.0, 5.339664
1030.0, 5.3269196
1040.0, 5.313869
1050.0, 5.300528
1060.0, 5.2869153
