Energy (in eV), backscattering yield of material CERS-NASCAP at incidence 0.0 degree
   X,       Y
0.0, 0.5
10.0, 0.18393973
20.0, 0.06766764
30.0, 0.024893533
40.0, 0.00915782
50.0, 0.0033689735
60.0, 0.013784826
70.0, 0.023586236
80.0, 0.032446537
90.0, 0.04039101
100.0, 0.047535613
110.0, 0.05400292
120.0, 0.059899166
130.0, 0.06531121
140.0, 0.07030894
150.0, 0.074948676
160.0, 0.079276174
170.0, 0.08332905
180.0, 0.087138474
190.0, 0.09073062
200.0, 0.094127655
210.0, 0.09734848
220.0, 0.1004094
230.0, 0.103324525
240.0, 0.10610619
250.0, 0.10876522
260.0, 0.111311145
270.0, 0.113752455
280.0, 0.1160967
290.0, 0.11835063
300.0, 0.120520346
310.0, 0.1226113
320.0, 0.124628484
330.0, 0.12657638
340.0, 0.12845911
350.0, 0.13028039
360.0, 0.1320437
370.0, 0.13375218
380.0, 0.1354087
390.0, 0.13701597
400.0, 0.13857646
410.0, 0.14009245
420.0, 0.1415661
430.0, 0.14299937
440.0, 0.14439407
450.0, 0.14575198
460.0, 0.14707465
470.0, 0.14836363
480.0, 0.14962034
490.0, 0.15084606
500.0, 0.15204206
510.0, 0.1532095
520.0, 0.15434946
530.0, 0.15546305
540.0, 0.15655118
550.0, 0.15761483
560.0, 0.15865485
570.0, 0.15967208
580.0, 0.16066733
590.0, 0.1616413
600.0, 0.16259475
610.0, 0.16352835
620.0, 0.16444272
630.0, 0.16533852
640.0, 0.16621627
650.0, 0.16707657
660.0, 0.16791998
670.0, 0.16874693
680.0, 0.169558
690.0, 0.17035358
700.0, 0.17113416
710.0, 0.17190014
720.0, 0.17265196
730.0, 0.17338997
740.0, 0.1741146
750.0, 0.17482616
760.0, 0.17552504
770.0, 0.17621152
780.0, 0.17688598
790.0, 0.17754872
800.0, 0.17820002
810.0, 0.17884016
820.0, 0.1794694
830.0, 0.18008807
840.0, 0.18069637
850.0, 0.18129459
860.0, 0.18188292
870.0, 0.18246163
880.0, 0.18303095
890.0, 0.18359102
900.0, 0.18414216
910.0, 0.1846845
920.0, 0.18521824
930.0, 0.18574362
940.0, 0.18626073
950.0, 0.18676984
960.0, 0.18727106
970.0, 0.1877646
980.0, 0.18825062
990.0, 0.18872923
1000.0, 0.18920061
1010.0, 0.18903702
1020.0, 0.18887377
1030.0, 0.18871084
1040.0, 0.18854824
1050.0, 0.18838596
1060.0, 0.188224
1070.0, 0.18806237
1080.0, 0.18790106
1090.0, 0.18774007
1100.0, 0.18757941
1110.0, 0.18741907
1120.0, 0.18725905
1130.0, 0.18709934
1140.0, 0.18693995
1150.0, 0.1867809
1160.0, 0.18662214
1170.0, 0.18646371
1180.0, 0.1863056
1190.0, 0.18614781
1200.0, 0.18599032
1210.0, 0.18583316
1220.0, 0.18567629
1230.0, 0.18551975
1240.0, 0.18536353
1250.0, 0.1852076
1260.0, 0.185052
1270.0, 0.18489671
1280.0, 0.18474174
1290.0, 0.18458706
1300.0, 0.18443269
1310.0, 0.18427864
1320.0, 0.18412489
1330.0, 0.18397145
1340.0, 0.18381831
1350.0, 0.18366548
1360.0, 0.18351296
1370.0, 0.18336074
1380.0, 0.18320882
1390.0, 0.18305722
1400.0, 0.18290591
1410.0, 0.1827549
1420.0, 0.1826042
1430.0, 0.1824538
1440.0, 0.1823037
1450.0, 0.1821539
1460.0, 0.18200439
1470.0, 0.18185519
1480.0, 0.18170628
1490.0, 0.18155767
1500.0, 0.18140936
1510.0, 0.18126135
1520.0, 0.18111362
1530.0, 0.1809662
1540.0, 0.18081906
1550.0, 0.18067223
1560.0, 0.18052569
1570.0, 0.18037944
1580.0, 0.18023348
1590.0, 0.1800878
1600.0, 0.17994243
1610.0, 0.17979735
1620.0, 0.17965256
1630.0, 0.17950805
1640.0, 0.17936383
1650.0, 0.1792199
1660.0, 0.17907627
1670.0, 0.1789329
1680.0, 0.17878984
1690.0, 0.17864706
1700.0, 0.17850457
1710.0, 0.17836235
1720.0, 0.17822042
1730.0, 0.17807879
1740.0, 0.17793742
1750.0, 0.17779635
1760.0, 0.17765555
1770.0, 0.17751503
1780.0, 0.1773748
