Energy (in eV), backscattering yield of material CFRP-NASCAP at incidence 60.0 degree
   X,       Y
2720.0, 0.3570632
2730.0, 0.35690078
2740.0, 0.3567386
2750.0, 0.35657665
2760.0, 0.35641497
2770.0, 0.35625356
2780.0, 0.3560924
2790.0, 0.35593146
2800.0, 0.35577077
2810.0, 0.35561034
2820.0, 0.35545015
2830.0, 0.35529023
2840.0, 0.35513055
2850.0, 0.3549711
2860.0, 0.3548119
2870.0, 0.35465297
2880.0, 0.35449427
2890.0, 0.3543358
2900.0, 0.3541776
2910.0, 0.35401964
2920.0, 0.35386193
2930.0, 0.35370445
2940.0, 0.35354722
2950.0, 0.35339025
2960.0, 0.35323352
2970.0, 0.35307702
2980.0, 0.35292077
2990.0, 0.35276476
3000.0, 0.35260898
3010.0, 0.35245347
3020.0, 0.3522982
3030.0, 0.35214317
3040.0, 0.35198835
3050.0, 0.3518338
3060.0, 0.35167947
3070.0, 0.35152543
3080.0, 0.3513716
3090.0, 0.351218
3100.0, 0.35106465
3110.0, 0.35091153
3120.0, 0.35075864
3130.0, 0.35060602
3140.0, 0.35045362
3150.0, 0.35030147
3160.0, 0.35014954
3170.0, 0.34999788
3180.0, 0.34984642
3190.0, 0.3496952
3200.0, 0.34954426
3210.0, 0.34939352
3220.0, 0.34924302
3230.0, 0.34909275
3240.0, 0.34894273
3250.0, 0.34879294
3260.0, 0.3486434
3270.0, 0.34849405
3280.0, 0.34834498
3290.0, 0.34819612
3300.0, 0.3480475
3310.0, 0.34789914
3320.0, 0.347751
3330.0, 0.34760305
3340.0, 0.34745538
3350.0, 0.34730792
3360.0, 0.3471607
3370.0, 0.3470137
3380.0, 0.34686697
3390.0, 0.34672043
3400.0, 0.34657413
3410.0, 0.3464281
3420.0, 0.34628224
3430.0, 0.34613663
3440.0, 0.34599128
3450.0, 0.34584612
3460.0, 0.34570122
3470.0, 0.34555653
3480.0, 0.34541208
3490.0, 0.34526783
3500.0, 0.34512383
3510.0, 0.3449801
3520.0, 0.34483653
3530.0, 0.3446932
3540.0, 0.34455013
3550.0, 0.34440726
3560.0, 0.34426463
3570.0, 0.3441222
3580.0, 0.34398
3590.0, 0.34383807
3600.0, 0.34369633
3610.0, 0.34355482
3620.0, 0.34341353
3630.0, 0.34327248
3640.0, 0.34313163
3650.0, 0.34299102
3660.0, 0.34285063
3670.0, 0.34271047
3680.0, 0.3425705
3690.0, 0.3424308
3700.0, 0.3422913
3710.0, 0.342152
3720.0, 0.34201297
3730.0, 0.34187412
3740.0, 0.3417355
3750.0, 0.3415971
3760.0, 0.34145895
3770.0, 0.341321
3780.0, 0.34118327
3790.0, 0.34104577
3800.0, 0.34090847
3810.0, 0.3407714
3820.0, 0.34063452
3830.0, 0.3404979
3840.0, 0.34036148
3850.0, 0.34022528
3860.0, 0.3400893
3870.0, 0.33995354
3880.0, 0.339818
3890.0, 0.33968267
3900.0, 0.33954754
3910.0, 0.33941266
3920.0, 0.33927798
3930.0, 0.3391435
3940.0, 0.33900926
3950.0, 0.33887523
3960.0, 0.3387414
3970.0, 0.3386078
3980.0, 0.33847442
3990.0, 0.33834124
4000.0, 0.3382083
4010.0, 0.33807552
4020.0, 0.337943
4030.0, 0.33781067
4040.0, 0.33767855
4050.0, 0.33754665
4060.0, 0.33741498
4070.0, 0.3372835
4080.0, 0.33715224
4090.0, 0.33702117
4100.0, 0.33689034
4110.0, 0.33675972
4120.0, 0.3366293
4130.0, 0.3364991
4140.0, 0.3363691
4150.0, 0.3362393
4160.0, 0.33610973
4170.0, 0.33598036
