Energy (in eV), SEEP yield of material ITOC-NASCAP at isotropic incidence
   X,       Y
54200.0, 5.0393705
54400.0, 5.042997
54600.0, 5.0465965
54800.0, 5.0501714
55000.0, 5.053721
55200.0, 5.057246
55400.0, 5.060746
55600.0, 5.064224
55800.0, 5.0676756
56000.0, 5.0711036
56200.0, 5.074508
56400.0, 5.0778894
56600.0, 5.0812454
56800.0, 5.084579
57000.0, 5.0878897
57200.0, 5.0911775
57400.0, 5.094442
57600.0, 5.0976834
57800.0, 5.100903
58000.0, 5.1041
58200.0, 5.1072745
58400.0, 5.1104264
58600.0, 5.1135573
58800.0, 5.1166663
59000.0, 5.119754
59200.0, 5.1228194
59400.0, 5.125863
59600.0, 5.128886
59800.0, 5.1318874
60000.0, 5.1348686
60200.0, 5.137829
60400.0, 5.140769
60600.0, 5.1436877
60800.0, 5.146586
61000.0, 5.149464
61200.0, 5.152323
61400.0, 5.1551604
61600.0, 5.157979
61800.0, 5.1607776
62000.0, 5.1635566
62200.0, 5.1663165
62400.0, 5.1690564
62600.0, 5.171777
62800.0, 5.174479
63000.0, 5.177163
63200.0, 5.179826
63400.0, 5.1824713
63600.0, 5.1850986
63800.0, 5.187707
64000.0, 5.1902966
64200.0, 5.1928687
64400.0, 5.195422
64600.0, 5.1979585
64800.0, 5.200476
65000.0, 5.202976
65200.0, 5.205458
65400.0, 5.207923
65600.0, 5.210371
65800.0, 5.2128
66000.0, 5.215214
66200.0, 5.2176094
66400.0, 5.2199883
66600.0, 5.222349
66800.0, 5.224695
67000.0, 5.227023
67200.0, 5.2293353
67400.0, 5.2316313
67600.0, 5.2339096
67800.0, 5.2361727
68000.0, 5.2384195
68200.0, 5.2406507
68400.0, 5.2428646
68600.0, 5.245064
68800.0, 5.2472467
69000.0, 5.2494135
69200.0, 5.2515655
69400.0, 5.253702
69600.0, 5.255823
69800.0, 5.25793
70000.0, 5.26002
70200.0, 5.262095
70400.0, 5.2641554
70600.0, 5.266201
70800.0, 5.268232
71000.0, 5.2702475
71200.0, 5.2722497
71400.0, 5.2742367
71600.0, 5.276208
71800.0, 5.2781663
72000.0, 5.280111
72200.0, 5.28204
72400.0, 5.2839556
72600.0, 5.2858567
72800.0, 5.2877445
73000.0, 5.289618
73200.0, 5.291478
73400.0, 5.293325
73600.0, 5.295157
73800.0, 5.2969766
74000.0, 5.2987823
74200.0, 5.300574
74400.0, 5.302354
74600.0, 5.3041196
74800.0, 5.3058715
75000.0, 5.3076115
75200.0, 5.309338
75400.0, 5.311052
75600.0, 5.312753
75800.0, 5.3144417
76000.0, 5.3161173
76200.0, 5.31778
76400.0, 5.31943
76600.0, 5.321069
76800.0, 5.3226943
77000.0, 5.324308
77200.0, 5.3259096
77400.0, 5.327498
77600.0, 5.3290753
77800.0, 5.3306403
78000.0, 5.3321934
78200.0, 5.333734
78400.0, 5.3352637
78600.0, 5.3367815
78800.0, 5.338287
79000.0, 5.3397813
79200.0, 5.3412642
79400.0, 5.342736
79600.0, 5.344195
79800.0, 5.345644
80000.0, 5.3470817
80200.0, 5.3485074
80400.0, 5.349923
80600.0, 5.351327
80800.0, 5.35272
81000.0, 5.3541026
81200.0, 5.3554735
81400.0, 5.356833
81600.0, 5.3581834
81800.0, 5.359522
82000.0, 5.36085
82200.0, 5.362168
82400.0, 5.3634744
82600.0, 5.3647714
82800.0, 5.366057
83000.0, 5.3673334
83200.0, 5.3685985
83400.0, 5.369854
83600.0, 5.3711004
83800.0, 5.372335
84000.0, 5.3735595
84200.0, 5.374775
84400.0, 5.3759794
84600.0, 5.3771753
84800.0, 5.3783607
85000.0, 5.379536
85200.0, 5.3807015
85400.0, 5.381859
85600.0, 5.3830056
85800.0, 5.3841424
86000.0, 5.3852696
86200.0, 5.386388
86400.0, 5.3874974
86600.0, 5.3885956
86800.0, 5.3896866
87000.0, 5.3907666
87200.0, 5.391839
87400.0, 5.3929014
87600.0, 5.3939548
87800.0, 5.394999
88000.0, 5.3960347
88200.0, 5.3970613
88400.0, 5.3980784
88600.0, 5.399087
88800.0, 5.4000874
89000.0, 5.4010787
89200.0, 5.4020605
89400.0, 5.403035
89600.0, 5.404
89800.0, 5.4049563
90000.0, 5.405905
90200.0, 5.4068437
90400.0, 5.4077754
90600.0, 5.4086986
90800.0, 5.4096127
91000.0, 5.410519
91200.0, 5.411417
91400.0, 5.4123073
91600.0, 5.4131885
91800.0, 5.4140615
92000.0, 5.4149284
92200.0, 5.4157863
92400.0, 5.4166346
92600.0, 5.4174767
92800.0, 5.41831
93000.0, 5.4191356
93200.0, 5.4199543
93400.0, 5.4207644
93600.0, 5.421567
93800.0, 5.422362
94000.0, 5.4231486
94200.0, 5.4239287
94400.0, 5.4247007
94600.0, 5.425466
94800.0, 5.4262223
95000.0, 5.426972
95200.0, 5.427714
95400.0, 5.4284496
95600.0, 5.429176
95800.0, 5.429897
96000.0, 5.4306097
96200.0, 5.431316
96400.0, 5.432015
96600.0, 5.4327054
96800.0, 5.4333906
97000.0, 5.4340687
97200.0, 5.434738
97400.0, 5.4354014
97600.0, 5.436058
97800.0, 5.436707
98000.0, 5.4373503
98200.0, 5.4379854
98400.0, 5.4386153
98600.0, 5.439238
98800.0, 5.439853
99000.0, 5.440462
99200.0, 5.441063
99400.0, 5.441659
99600.0, 5.442249
99800.0, 5.442831
100000.0, 5.4434066
