Energy (in eV), SEEE yield of material CFRP-NASCAP at incidence 90.0 degree
   X,       Y
0.0, 0.0
10.0, 0.07015016
20.0, 0.13774882
30.0, 0.20274463
40.0, 0.26513365
50.0, 0.32493275
60.0, 0.38217148
70.0, 0.43688798
80.0, 0.48912692
90.0, 0.5389385
100.0, 0.5863762
110.0, 0.6314977
120.0, 0.6743622
130.0, 0.71503145
140.0, 0.7535686
150.0, 0.79003745
160.0, 0.82450336
170.0, 0.85703135
180.0, 0.88768685
190.0, 0.91653544
200.0, 0.9436422
210.0, 0.9690717
220.0, 0.99288815
230.0, 1.0151545
240.0, 1.0359334
250.0, 1.0552859
260.0, 1.0732721
270.0, 1.089951
280.0, 1.1053803
290.0, 1.1196164
300.0, 1.1327136
310.0, 1.144726
320.0, 1.155705
330.0, 1.1657012
340.0, 1.1747633
350.0, 1.1829383
360.0, 1.1902727
370.0, 1.1968099
380.0, 1.2025926
390.0, 1.2076621
400.0, 1.2120576
410.0, 1.2158167
420.0, 1.2189765
430.0, 1.2215716
440.0, 1.2236353
450.0, 1.2251999
460.0, 1.226296
470.0, 1.2269528
480.0, 1.2271981
490.0, 1.2270585
500.0, 1.2265598
510.0, 1.2257255
520.0, 1.2245789
530.0, 1.2231418
540.0, 1.2214347
550.0, 1.2194773
560.0, 1.217288
570.0, 1.2148846
580.0, 1.2122836
590.0, 1.2095006
600.0, 1.2065502
610.0, 1.2034469
620.0, 1.2002033
630.0, 1.196832
640.0, 1.1933445
650.0, 1.1897519
660.0, 1.186064
670.0, 1.1822907
680.0, 1.178441
690.0, 1.1745231
700.0, 1.1705451
710.0, 1.1665142
720.0, 1.162437
730.0, 1.1583202
740.0, 1.1541697
750.0, 1.1499907
760.0, 1.1457886
770.0, 1.1415678
780.0, 1.137333
790.0, 1.1330882
800.0, 1.1288371
810.0, 1.1245829
820.0, 1.1203293
830.0, 1.1160785
840.0, 1.1118339
850.0, 1.1075975
860.0, 1.1033716
870.0, 1.0991585
880.0, 1.0949596
890.0, 1.0907769
900.0, 1.086612
910.0, 1.082466
920.0, 1.0783403
930.0, 1.0742362
940.0, 1.0701542
950.0, 1.0660956
960.0, 1.062061
970.0, 1.0580511
980.0, 1.0540665
990.0, 1.050108
1000.0, 1.0461756
1010.0, 1.0422698
1020.0, 1.0383911
1030.0, 1.0345396
