Energy (in eV), SEEE yield of material CERS-NASCAP at incidence 90.0 degree
   X,       Y
2860.0, 6.3398666
2870.0, 6.3267345
2880.0, 6.3136644
2890.0, 6.3006563
2900.0, 6.2877088
2910.0, 6.274822
2920.0, 6.2619977
2930.0, 6.249233
2940.0, 6.2365274
2950.0, 6.223882
2960.0, 6.211298
2970.0, 6.198771
2980.0, 6.1863046
2990.0, 6.173896
3000.0, 6.1615458
