Energy (in eV), backscattering yield of material ITOC-NASCAP at incidence 30.0 degree
   X,       Y
2720.0, 0.33110955
2730.0, 0.33099037
2740.0, 0.33087143
2750.0, 0.33075276
2760.0, 0.3306343
2770.0, 0.330516
2780.0, 0.33039802
2790.0, 0.33028024
2800.0, 0.3301627
2810.0, 0.33004537
2820.0, 0.32992825
2830.0, 0.3298114
2840.0, 0.32969478
2850.0, 0.32957837
2860.0, 0.32946214
2870.0, 0.32934618
2880.0, 0.32923046
2890.0, 0.32911497
2900.0, 0.32899964
2910.0, 0.3288846
2920.0, 0.32876977
2930.0, 0.32865515
2940.0, 0.32854074
2950.0, 0.32842657
2960.0, 0.32831264
2970.0, 0.3281989
2980.0, 0.3280854
2990.0, 0.3279721
3000.0, 0.327859
3010.0, 0.32774618
3020.0, 0.32763356
3030.0, 0.32752115
3040.0, 0.32740897
3050.0, 0.327297
3060.0, 0.32718524
3070.0, 0.32707372
3080.0, 0.3269624
3090.0, 0.3268513
3100.0, 0.3267404
3110.0, 0.32662976
3120.0, 0.32651928
3130.0, 0.32640904
3140.0, 0.326299
3150.0, 0.32618922
3160.0, 0.3260796
3170.0, 0.32597023
3180.0, 0.32586104
3190.0, 0.3257521
3200.0, 0.32564336
3210.0, 0.32553482
3220.0, 0.3254265
3230.0, 0.3253184
3240.0, 0.32521048
3250.0, 0.32510278
3260.0, 0.3249953
3270.0, 0.32488802
3280.0, 0.32478097
3290.0, 0.3246741
3300.0, 0.32456747
3310.0, 0.324461
3320.0, 0.3243548
3330.0, 0.32424876
3340.0, 0.32414296
3350.0, 0.32403734
3360.0, 0.32393193
3370.0, 0.32382673
3380.0, 0.32372174
3390.0, 0.32361695
3400.0, 0.32351235
3410.0, 0.32340795
3420.0, 0.3233038
3430.0, 0.3231998
3440.0, 0.32309604
3450.0, 0.32299244
3460.0, 0.3228891
3470.0, 0.3227859
3480.0, 0.32268292
3490.0, 0.3225802
3500.0, 0.3224776
3510.0, 0.32237524
3520.0, 0.32227308
3530.0, 0.3221711
3540.0, 0.32206932
3550.0, 0.32196775
3560.0, 0.32186636
3570.0, 0.3217652
3580.0, 0.3216642
3590.0, 0.32156345
3600.0, 0.32146287
3610.0, 0.32136244
3620.0, 0.32126227
3630.0, 0.32116225
3640.0, 0.32106248
3650.0, 0.32096285
3660.0, 0.32086346
3670.0, 0.3207642
3680.0, 0.32066518
3690.0, 0.32056636
3700.0, 0.3204677
3710.0, 0.32036927
3720.0, 0.32027102
3730.0, 0.32017294
3740.0, 0.32007506
3750.0, 0.31997737
3760.0, 0.31987986
3770.0, 0.31978258
3780.0, 0.3196855
3790.0, 0.31958854
3800.0, 0.3194918
3810.0, 0.31939527
3820.0, 0.31929892
3830.0, 0.31920275
3840.0, 0.3191068
3850.0, 0.31901097
3860.0, 0.31891537
3870.0, 0.31881994
3880.0, 0.3187247
3890.0, 0.31862965
3900.0, 0.31853482
3910.0, 0.3184401
3920.0, 0.3183456
3930.0, 0.3182513
3940.0, 0.31815717
3950.0, 0.31806326
3960.0, 0.3179695
3970.0, 0.3178759
3980.0, 0.31778252
3990.0, 0.3176893
4000.0, 0.3175963
4010.0, 0.31750345
4020.0, 0.31741077
4030.0, 0.3173183
4040.0, 0.317226
4050.0, 0.31713387
4060.0, 0.31704193
4070.0, 0.31695014
4080.0, 0.3168586
4090.0, 0.31676716
4100.0, 0.31667596
4110.0, 0.31658491
4120.0, 0.31649402
4130.0, 0.31640333
4140.0, 0.31631282
4150.0, 0.3162225
4160.0, 0.3161323
4170.0, 0.31604233
4180.0, 0.3159525
4190.0, 0.3158629
4200.0, 0.31577343
4210.0, 0.31568414
4220.0, 0.31559506
4230.0, 0.3155061
4240.0, 0.31541735
4250.0, 0.31532878
4260.0, 0.31524032
4270.0, 0.3151521
4280.0, 0.315064
4290.0, 0.31497613
4300.0, 0.31488842
4310.0, 0.31480086
4320.0, 0.31471345
4330.0, 0.31462628
4340.0, 0.31453922
4350.0, 0.31445232
4360.0, 0.31436566
4370.0, 0.31427908
4380.0, 0.31419274
4390.0, 0.31410655
4400.0, 0.31402054
4410.0, 0.31393468
4420.0, 0.313849
4430.0, 0.31376347
4440.0, 0.31367812
4450.0, 0.3135929
4460.0, 0.31350788
4470.0, 0.31342307
4480.0, 0.31333834
4490.0, 0.31325382
4500.0, 0.31316948
4510.0, 0.3130853
4520.0, 0.31300128
4530.0, 0.31291738
4540.0, 0.31283367
4550.0, 0.31275013
4560.0, 0.31266677
4570.0, 0.3125836
4580.0, 0.31250054
4590.0, 0.31241763
4600.0, 0.31233492
4610.0, 0.31225234
4620.0, 0.31216997
4630.0, 0.3120877
4640.0, 0.31200564
4650.0, 0.31192374
4660.0, 0.311842
4670.0, 0.3117604
4680.0, 0.31167895
4690.0, 0.31159768
4700.0, 0.31151655
4710.0, 0.3114356
4720.0, 0.3113548
4730.0, 0.31127417
4740.0, 0.31119367
4750.0, 0.31111336
