Energy (in eV), SEEP yield of material CFRP-NASCAP at incidence 90.0 degree
   X,       Y
0.0, 0.0
200.0, 1.5200715
400.0, 2.8620405
600.0, 4.375124
800.0, 6.0534215
1000.0, 6.7579784
1200.0, 8.6241455
1400.0, 10.630264
1600.0, 11.347591
1800.0, 13.520637
2000.0, 14.231195
2200.0, 14.904045
2400.0, 17.271233
2600.0, 17.95034
2800.0, 20.461006
3000.0, 21.148458
3200.0, 23.793188
3400.0, 24.490013
3600.0, 25.163654
3800.0, 27.967274
4000.0, 28.65253
4200.0, 29.317923
4400.0, 32.269787
4600.0, 32.947773
4800.0, 33.608257
5000.0, 36.69887
5200.0, 37.37226
5400.0, 38.029926
5600.0, 41.25087
5800.0, 41.921402
6000.0, 42.57758
6200.0, 43.220085
6400.0, 46.590134
6600.0, 47.24568
6800.0, 47.88854
7000.0, 51.373318
7200.0, 52.028774
7400.0, 52.672367
7600.0, 53.304543
7800.0, 56.921608
8000.0, 57.566128
8200.0, 58.199863
8400.0, 58.82319
8600.0, 62.564682
8800.0, 63.19997
9000.0, 63.82535
9200.0, 64.441124
9400.0, 68.299965
9600.0, 68.92727
9800.0, 69.54537
10000.0, 70.15454
10200.0, 74.1243
10400.0, 74.74453
10600.0, 75.35615
10800.0, 75.9594
11000.0, 80.034225
11200.0, 80.64806
11400.0, 81.253784
11600.0, 81.85162
11800.0, 82.441765
12000.0, 86.634125
12200.0, 87.234406
12400.0, 87.8272
12600.0, 88.4127
12800.0, 92.699
13000.0, 93.29415
13200.0, 93.882195
13400.0, 94.463264
13600.0, 98.83903
13800.0, 99.429306
14000.0, 100.01279
14200.0, 100.589615
14400.0, 101.15991
14600.0, 105.63627
14800.0, 106.215355
15000.0, 106.78805
15200.0, 107.35446
15400.0, 107.91474
15600.0, 112.48634
15800.0, 113.05499
16000.0, 113.617584
16200.0, 114.17427
16400.0, 118.82245
16600.0, 119.38708
16800.0, 119.94588
17000.0, 120.49897
17200.0, 121.04644
17400.0, 125.78108
17600.0, 126.3361
17800.0, 126.88562
18000.0, 127.429665
18200.0, 127.96838
18400.0, 132.78522
18600.0, 133.3311
18800.0, 133.87167
19000.0, 134.4071
19200.0, 134.93741
19400.0, 139.83246
19600.0, 140.36958
19800.0, 140.90166
20000.0, 141.42876
20200.0, 141.95099
20400.0, 146.92052
