Energy (in eV), backscattering yield of material CERS-NASCAP at incidence 80.0 degree
   X,       Y
0.0, 0.88659793
10.0, 0.7452677
20.0, 0.6264666
30.0, 0.52660316
40.0, 0.44265875
50.0, 0.3720957
60.0, 0.47523734
70.0, 0.5216933
80.0, 0.55140054
90.0, 0.5727749
100.0, 0.5892056
110.0, 0.6024023
120.0, 0.6133402
130.0, 0.62262255
140.0, 0.6306459
150.0, 0.6376831
160.0, 0.64392936
170.0, 0.6495287
180.0, 0.65459013
190.0, 0.6591981
200.0, 0.66341907
210.0, 0.66730636
220.0, 0.67090344
230.0, 0.6742459
240.0, 0.6773634
250.0, 0.680281
260.0, 0.6830197
270.0, 0.6855977
280.0, 0.6880306
290.0, 0.6903317
300.0, 0.6925129
310.0, 0.6945844
320.0, 0.6965554
330.0, 0.6984338
340.0, 0.7002268
350.0, 0.7019407
360.0, 0.70358133
370.0, 0.7051537
380.0, 0.70666254
390.0, 0.708112
400.0, 0.7095059
410.0, 0.7108477
420.0, 0.7121405
430.0, 0.7133873
440.0, 0.71459067
450.0, 0.7157531
460.0, 0.7168768
470.0, 0.7179639
480.0, 0.7190162
490.0, 0.7200356
500.0, 0.72102374
510.0, 0.72198206
520.0, 0.722912
530.0, 0.723815
540.0, 0.7246922
550.0, 0.7255448
560.0, 0.7263739
570.0, 0.7271805
580.0, 0.72796553
590.0, 0.72872996
600.0, 0.72947454
610.0, 0.7302002
620.0, 0.7309075
630.0, 0.73159736
640.0, 0.7322703
650.0, 0.7329271
660.0, 0.7335682
670.0, 0.7341942
680.0, 0.7348058
690.0, 0.73540336
700.0, 0.73598737
710.0, 0.7365584
720.0, 0.73711675
730.0, 0.7376629
740.0, 0.7381973
750.0, 0.7387203
760.0, 0.73923224
770.0, 0.7397335
780.0, 0.74022436
790.0, 0.74070525
800.0, 0.74117637
810.0, 0.741638
820.0, 0.74209046
830.0, 0.74253404
840.0, 0.742969
850.0, 0.7433955
860.0, 0.7438139
870.0, 0.7442243
880.0, 0.744627
890.0, 0.7450222
900.0, 0.7454101
910.0, 0.74579084
920.0, 0.7461647
930.0, 0.7465317
940.0, 0.7468922
950.0, 0.7472463
960.0, 0.7475942
970.0, 0.74793595
980.0, 0.74827176
990.0, 0.74860173
1000.0, 0.7489261
1010.0, 0.7488136
1020.0, 0.7487013
1030.0, 0.7485891
1040.0, 0.74847704
1050.0, 0.74836516
1060.0, 0.7482534
1070.0, 0.74814177
1080.0, 0.7480303
1090.0, 0.74791896
1100.0, 0.7478078
1110.0, 0.74769676
1120.0, 0.74758583
1130.0, 0.7474751
1140.0, 0.74736446
1150.0, 0.747254
1160.0, 0.7471437
1170.0, 0.74703354
1180.0, 0.7469235
1190.0, 0.7468136
1200.0, 0.74670386
1210.0, 0.74659425
1220.0, 0.74648476
1230.0, 0.74637544
1240.0, 0.74626625
1250.0, 0.7461572
1260.0, 0.74604833
1270.0, 0.74593955
1280.0, 0.74583095
1290.0, 0.7457225
1300.0, 0.7456142
1310.0, 0.745506
1320.0, 0.7453979
1330.0, 0.74529004
1340.0, 0.7451823
1350.0, 0.7450746
1360.0, 0.74496716
1370.0, 0.7448598
1380.0, 0.7447526
1390.0, 0.74464554
1400.0, 0.74453866
1410.0, 0.74443185
1420.0, 0.7443252
1430.0, 0.74421877
1440.0, 0.7441124
1450.0, 0.74400616
1460.0, 0.7439001
1470.0, 0.74379414
1480.0, 0.7436884
1490.0, 0.7435827
1500.0, 0.7434772
1510.0, 0.74337184
1520.0, 0.7432666
