Energy (in eV), backscattering yield of material ITOC-NASCAP at incidence 0.0 degree
   X,       Y
0.0, 0.0
10.0, 0.0
20.0, 0.0
30.0, 0.0
40.0, 0.0
50.0, 0.0
60.0, 0.019465217
70.0, 0.035900638
80.0, 0.050117157
90.0, 0.06263794
100.0, 0.07382037
110.0, 0.08391939
120.0, 0.09312331
130.0, 0.1015752
140.0, 0.10938632
150.0, 0.116644844
160.0, 0.123421915
170.0, 0.12977576
180.0, 0.13575456
190.0, 0.14139877
200.0, 0.14674257
210.0, 0.15181515
220.0, 0.15664168
230.0, 0.1612439
240.0, 0.16564086
250.0, 0.16984923
260.0, 0.17388372
270.0, 0.17775743
280.0, 0.18148194
290.0, 0.18506773
300.0, 0.18852413
310.0, 0.19185957
320.0, 0.19508174
330.0, 0.19819751
340.0, 0.20121329
350.0, 0.20413476
360.0, 0.20696726
370.0, 0.20971562
380.0, 0.21238428
390.0, 0.21497743
400.0, 0.21749884
410.0, 0.21995199
420.0, 0.22234024
430.0, 0.22466657
440.0, 0.2269338
450.0, 0.22914463
460.0, 0.23130149
470.0, 0.2334067
480.0, 0.23546247
490.0, 0.23747076
500.0, 0.23943354
510.0, 0.24135256
520.0, 0.2432295
530.0, 0.24506606
540.0, 0.24686362
550.0, 0.24862367
560.0, 0.25034755
570.0, 0.25203654
580.0, 0.25369188
590.0, 0.25531465
600.0, 0.25690597
610.0, 0.25846693
620.0, 0.25999844
630.0, 0.26150152
640.0, 0.26297697
650.0, 0.26442572
660.0, 0.26584858
670.0, 0.26724628
680.0, 0.26861963
690.0, 0.26996928
700.0, 0.27129596
710.0, 0.2726003
720.0, 0.27388296
730.0, 0.27514446
740.0, 0.27638552
750.0, 0.27760652
760.0, 0.2788081
770.0, 0.2799907
780.0, 0.28115487
790.0, 0.28230113
800.0, 0.28342983
810.0, 0.28454143
820.0, 0.2856364
830.0, 0.28671512
840.0, 0.28777796
850.0, 0.28882533
860.0, 0.28985757
870.0, 0.29087505
880.0, 0.2918781
890.0, 0.29286706
900.0, 0.2938423
910.0, 0.29480398
920.0, 0.29575256
930.0, 0.2966882
940.0, 0.29761127
950.0, 0.298522
960.0, 0.29942065
970.0, 0.30030748
980.0, 0.30118278
990.0, 0.30204672
1000.0, 0.30289954
1010.0, 0.30273595
1020.0, 0.3025727
1030.0, 0.30240977
