Energy (in eV), backscattering yield of material CERS-NASCAP at incidence 70.0 degree
   X,       Y
2720.0, 0.5403763
2730.0, 0.54024667
2740.0, 0.5401172
2750.0, 0.539988
2760.0, 0.53985894
2770.0, 0.53973013
2780.0, 0.53960145
2790.0, 0.539473
2800.0, 0.5393448
2810.0, 0.5392167
2820.0, 0.53908885
2830.0, 0.53896123
2840.0, 0.53883374
2850.0, 0.5387065
2860.0, 0.5385794
2870.0, 0.53845257
2880.0, 0.5383259
2890.0, 0.5381994
2900.0, 0.5380731
2910.0, 0.53794706
2920.0, 0.5378212
2930.0, 0.53769547
2940.0, 0.53756994
2950.0, 0.53744465
2960.0, 0.53731954
2970.0, 0.5371946
2980.0, 0.5370699
2990.0, 0.5369454
3000.0, 0.536821
3010.0, 0.5366969
3020.0, 0.53657293
3030.0, 0.5364492
3040.0, 0.53632563
3050.0, 0.53620225
3060.0, 0.53607905
3070.0, 0.5359561
3080.0, 0.5358333
3090.0, 0.5357107
3100.0, 0.53558826
3110.0, 0.535466
3120.0, 0.535344
3130.0, 0.5352222
3140.0, 0.5351005
3150.0, 0.53497905
3160.0, 0.53485775
3170.0, 0.5347367
3180.0, 0.5346158
3190.0, 0.5344951
3200.0, 0.5343746
3210.0, 0.53425425
3220.0, 0.5341341
3230.0, 0.53401417
3240.0, 0.53389436
3250.0, 0.53377485
3260.0, 0.5336554
3270.0, 0.53353626
3280.0, 0.5334172
3290.0, 0.5332984
3300.0, 0.53317976
3310.0, 0.53306127
3320.0, 0.532943
3330.0, 0.53282493
3340.0, 0.53270704
3350.0, 0.5325893
3360.0, 0.53247184
3370.0, 0.5323545
3380.0, 0.53223735
3390.0, 0.53212035
3400.0, 0.5320036
3410.0, 0.531887
3420.0, 0.5317705
3430.0, 0.5316543
3440.0, 0.53153825
3450.0, 0.5314224
3460.0, 0.5313067
3470.0, 0.53119123
3480.0, 0.5310759
3490.0, 0.53096074
3500.0, 0.5308458
3510.0, 0.530731
3520.0, 0.53061646
3530.0, 0.530502
3540.0, 0.53038776
3550.0, 0.53027374
3560.0, 0.5301599
3570.0, 0.5300462
3580.0, 0.5299327
3590.0, 0.52981937
3600.0, 0.52970624
3610.0, 0.5295932
3620.0, 0.52948046
3630.0, 0.52936786
3640.0, 0.52925545
3650.0, 0.52914315
3660.0, 0.5290311
3670.0, 0.5289192
3680.0, 0.5288075
3690.0, 0.52869594
3700.0, 0.5285846
3710.0, 0.52847344
3720.0, 0.5283624
3730.0, 0.5282516
3740.0, 0.52814096
3750.0, 0.52803046
3760.0, 0.5279202
3770.0, 0.52781004
3780.0, 0.5277001
3790.0, 0.52759033
3800.0, 0.5274807
3810.0, 0.52737135
3820.0, 0.5272621
3830.0, 0.527153
3840.0, 0.5270441
3850.0, 0.5269354
3860.0, 0.52682686
3870.0, 0.5267185
3880.0, 0.5266103
3890.0, 0.52650225
3900.0, 0.5263944
3910.0, 0.5262867
3920.0, 0.52617925
3930.0, 0.5260719
3940.0, 0.52596474
3950.0, 0.52585775
3960.0, 0.52575094
3970.0, 0.5256443
3980.0, 0.52553785
3990.0, 0.5254315
4000.0, 0.52532536
4010.0, 0.52521944
4020.0, 0.52511364
4030.0, 0.525008
4040.0, 0.5249026
4050.0, 0.5247973
4060.0, 0.5246922
4070.0, 0.5245873
4080.0, 0.5244825
4090.0, 0.5243779
4100.0, 0.52427346
4110.0, 0.5241692
4120.0, 0.5240651
4130.0, 0.5239612
4140.0, 0.5238574
4150.0, 0.5237538
4160.0, 0.5236504
4170.0, 0.5235472
4180.0, 0.52344406
4190.0, 0.5233411
4200.0, 0.5232384
4210.0, 0.52313584
4220.0, 0.5230334
4230.0, 0.52293116
4240.0, 0.52282906
4250.0, 0.52272713
4260.0, 0.5226254
4270.0, 0.52252376
4280.0, 0.5224224
4290.0, 0.5223211
4300.0, 0.52222
4310.0, 0.52211905
4320.0, 0.5220183
4330.0, 0.5219177
4340.0, 0.52181727
4350.0, 0.52171695
4360.0, 0.5216169
4370.0, 0.5215169
4380.0, 0.52141714
4390.0, 0.5213175
4400.0, 0.52121806
4410.0, 0.52111876
4420.0, 0.5210196
4430.0, 0.52092063
4440.0, 0.5208218
4450.0, 0.52072316
4460.0, 0.5206247
4470.0, 0.52052635
4480.0, 0.5204282
4490.0, 0.5203302
4500.0, 0.5202323
4510.0, 0.5201346
4520.0, 0.5200371
4530.0, 0.5199397
4540.0, 0.5198425
4550.0, 0.51974547
4560.0, 0.51964855
4570.0, 0.5195519
4580.0, 0.51945525
4590.0, 0.5193589
4600.0, 0.5192626
4610.0, 0.5191665
4620.0, 0.51907057
4630.0, 0.5189748
4640.0, 0.5188792
4650.0, 0.5187837
4660.0, 0.5186884
4670.0, 0.51859325
4680.0, 0.51849824
4690.0, 0.5184034
4700.0, 0.5183087
4710.0, 0.51821417
4720.0, 0.5181198
4730.0, 0.5180256
4740.0, 0.5179315
4750.0, 0.51783764
4760.0, 0.5177439
4770.0, 0.51765025
4780.0, 0.51755685
4790.0, 0.51746356
4800.0, 0.5173704
4810.0, 0.5172774
4820.0, 0.5171846
4830.0, 0.51709193
4840.0, 0.5169994
4850.0, 0.51690704
4860.0, 0.5168148
4870.0, 0.51672274
4880.0, 0.5166309
4890.0, 0.5165391
4900.0, 0.5164475
4910.0, 0.51635605
4920.0, 0.51626474
4930.0, 0.5161736
4940.0, 0.5160826
4950.0, 0.51599175
4960.0, 0.5159011
4970.0, 0.5158105
4980.0, 0.5157201
4990.0, 0.5156299
5000.0, 0.51553977
5010.0, 0.5154498
5020.0, 0.51536
5030.0, 0.51527035
5040.0, 0.5151809
5050.0, 0.51509154
5060.0, 0.5150023
5070.0, 0.5149133
5080.0, 0.5148244
5090.0, 0.51473564
5100.0, 0.514647
5110.0, 0.51455855
5120.0, 0.5144703
5130.0, 0.51438206
5140.0, 0.5142941
5150.0, 0.51420623
5160.0, 0.5141185
5170.0, 0.51403093
5180.0, 0.5139435
5190.0, 0.51385623
5200.0, 0.5137691
5210.0, 0.51368207
5220.0, 0.5135952
5230.0, 0.51350856
5240.0, 0.51342195
5250.0, 0.5133355
5260.0, 0.5132493
5270.0, 0.51316315
5280.0, 0.5130772
5290.0, 0.51299137
5300.0, 0.51290566
5310.0, 0.5128201
5320.0, 0.5127347
5330.0, 0.5126495
5340.0, 0.51256436
5350.0, 0.51247936
5360.0, 0.51239455
5370.0, 0.51230985
5380.0, 0.51222533
5390.0, 0.5121409
5400.0, 0.51205665
5410.0, 0.51197255
5420.0, 0.51188856
5430.0, 0.5118047
5440.0, 0.511721
5450.0, 0.51163745
5460.0, 0.51155406
5470.0, 0.5114708
5480.0, 0.51138765
5490.0, 0.5113047
5500.0, 0.5112218
5510.0, 0.5111391
5520.0, 0.51105654
5530.0, 0.5109741
5540.0, 0.5108918
5550.0, 0.51080966
5560.0, 0.51072764
5570.0, 0.51064575
5580.0, 0.510564
5590.0, 0.51048243
5600.0, 0.51040095
5610.0, 0.51031965
5620.0, 0.5102384
5630.0, 0.5101574
5640.0, 0.51007646
5650.0, 0.5099957
5660.0, 0.50991505
5670.0, 0.5098345
5680.0, 0.5097542
5690.0, 0.50967395
5700.0, 0.50959384
5710.0, 0.5095139
5720.0, 0.5094341
5730.0, 0.5093544
5740.0, 0.50927484
5750.0, 0.50919545
5760.0, 0.5091162
5770.0, 0.509037
5780.0, 0.508958
5790.0, 0.5088791
5800.0, 0.5088004
5810.0, 0.50872177
5820.0, 0.50864327
5830.0, 0.50856495
5840.0, 0.50848675
5850.0, 0.50840867
5860.0, 0.5083307
5870.0, 0.5082529
5880.0, 0.5081752
5890.0, 0.5080977
5900.0, 0.5080203
5910.0, 0.507943
5920.0, 0.50786585
5930.0, 0.50778884
5940.0, 0.50771195
5950.0, 0.5076352
5960.0, 0.5075586
5970.0, 0.50748205
5980.0, 0.5074057
5990.0, 0.50732946
6000.0, 0.50725335
6010.0, 0.5071774
6020.0, 0.50710154
6030.0, 0.50702584
6040.0, 0.50695026
6050.0, 0.5068748
6060.0, 0.5067995
6070.0, 0.5067243
6080.0, 0.50664926
6090.0, 0.5065743
6100.0, 0.50649947
6110.0, 0.5064248
6120.0, 0.5063503
6130.0, 0.50627583
6140.0, 0.50620157
6150.0, 0.50612736
6160.0, 0.5060533
6170.0, 0.5059794
6180.0, 0.5059056
6190.0, 0.50583196
6200.0, 0.5057584
6210.0, 0.50568503
6220.0, 0.5056118
6230.0, 0.5055386
6240.0, 0.50546557
6250.0, 0.5053927
6260.0, 0.5053199
6270.0, 0.50524724
6280.0, 0.5051747
6290.0, 0.5051023
