Energy (in eV), SEEP yield of material CERS-NASCAP at isotropic incidence
   X,       Y
53400.0, 2.9016762
53600.0, 2.9050682
53800.0, 2.9084451
54000.0, 2.9118068
54200.0, 2.9151542
54400.0, 2.9184866
54600.0, 2.9218042
54800.0, 2.9251077
55000.0, 2.9283967
55200.0, 2.9316719
55400.0, 2.934932
55600.0, 2.9381785
55800.0, 2.9414108
56000.0, 2.9446292
56200.0, 2.947833
56400.0, 2.9510243
56600.0, 2.9542015
56800.0, 2.9573648
57000.0, 2.9605143
57200.0, 2.9636502
57400.0, 2.966773
57600.0, 2.969882
57800.0, 2.9729779
58000.0, 2.976061
58200.0, 2.9791303
58400.0, 2.982187
58600.0, 2.9852307
58800.0, 2.9882615
59000.0, 2.9912791
59200.0, 2.9942846
59400.0, 2.997277
59600.0, 3.0002565
59800.0, 3.0032237
60000.0, 3.0061784
60200.0, 3.0091205
60400.0, 3.0120504
60600.0, 3.0149682
60800.0, 3.0178735
61000.0, 3.0207665
61200.0, 3.0236473
61400.0, 3.0265162
61600.0, 3.0293734
61800.0, 3.0322187
62000.0, 3.035052
62200.0, 3.0378728
62400.0, 3.0406826
62600.0, 3.043481
62800.0, 3.0462677
63000.0, 3.0490422
63200.0, 3.051806
63400.0, 3.054558
63600.0, 3.0572984
63800.0, 3.0600283
64000.0, 3.062746
64200.0, 3.065453
64400.0, 3.0681489
64600.0, 3.0708337
64800.0, 3.0735073
65000.0, 3.0761702
65200.0, 3.0788221
65400.0, 3.0814636
65600.0, 3.0840938
65800.0, 3.086713
66000.0, 3.0893219
66200.0, 3.0919206
66400.0, 3.094508
66600.0, 3.0970848
66800.0, 3.099652
67000.0, 3.1022077
67200.0, 3.104753
67400.0, 3.1072893
67600.0, 3.1098144
67800.0, 3.1123297
68000.0, 3.1148343
68200.0, 3.1173294
68400.0, 3.1198144
68600.0, 3.1222892
68800.0, 3.124754
69000.0, 3.127209
69200.0, 3.129654
69400.0, 3.1320891
69600.0, 3.1345143
69800.0, 3.1369305
70000.0, 3.1393363
70200.0, 3.141733
70400.0, 3.1441205
70600.0, 3.1464975
70800.0, 3.148866
71000.0, 3.151224
71200.0, 3.1535733
71400.0, 3.155913
71600.0, 3.1582432
71800.0, 3.1605642
72000.0, 3.1628764
72200.0, 3.1651793
72400.0, 3.1674726
72600.0, 3.1697574
72800.0, 3.172033
73000.0, 3.1742995
73200.0, 3.176557
73400.0, 3.1788056
73600.0, 3.1810453
73800.0, 3.1832767
74000.0, 3.1854985
74200.0, 3.187712
74400.0, 3.1899166
74600.0, 3.1921127
74800.0, 3.1943
75000.0, 3.196479
75200.0, 3.1986494
75400.0, 3.2008114
75600.0, 3.2029643
75800.0, 3.2051094
76000.0, 3.2072458
76200.0, 3.209374
76400.0, 3.2114937
76600.0, 3.2136056
76800.0, 3.2157092
77000.0, 3.2178042
77200.0, 3.219891
77400.0, 3.22197
77600.0, 3.2240407
77800.0, 3.2261035
78000.0, 3.2281578
78200.0, 3.2302046
78400.0, 3.2322435
78600.0, 3.2342744
78800.0, 3.2362974
79000.0, 3.238313
79200.0, 3.2403197
79400.0, 3.2423196
79600.0, 3.2443113
79800.0, 3.246296
80000.0, 3.2482717
80200.0, 3.2502406
80400.0, 3.2522025
80600.0, 3.2541556
80800.0, 3.2561018
81000.0, 3.2580407
81200.0, 3.2599714
81400.0, 3.2618952
81600.0, 3.2638118
81800.0, 3.2657208
82000.0, 3.2676222
82200.0, 3.269517
82400.0, 3.271404
82600.0, 3.273284
82800.0, 3.2751567
83000.0, 3.277022
83200.0, 3.2788804
83400.0, 3.280732
83600.0, 3.2825758
83800.0, 3.2844126
84000.0, 3.286243
84200.0, 3.288066
84400.0, 3.289882
84600.0, 3.2916908
84800.0, 3.2934935
85000.0, 3.2952888
85200.0, 3.2970774
85400.0, 3.2988586
85600.0, 3.300634
85800.0, 3.302402
86000.0, 3.3041635
86200.0, 3.305918
86400.0, 3.3076665
86600.0, 3.3094075
86800.0, 3.3111427
87000.0, 3.3128703
87200.0, 3.3145926
87400.0, 3.3163075
87600.0, 3.318016
87800.0, 3.319718
88000.0, 3.3214138
88200.0, 3.323103
88400.0, 3.324786
88600.0, 3.3264625
88800.0, 3.3281329
89000.0, 3.3297968
89200.0, 3.331454
89400.0, 3.333105
89600.0, 3.33475
89800.0, 3.336389
90000.0, 3.3380215
90200.0, 3.339648
90400.0, 3.3412678
