Energy (in eV), SEEP yield of material ITOC-NASCAP at incidence 0.0 degree
   X,       Y
0.0, 0.0
200.0, 0.2205576
400.0, 0.31141004
600.0, 0.38078073
800.0, 0.43897733
1000.0, 0.48999998
1200.0, 0.5359038
1400.0, 0.5779116
1600.0, 0.61682177
1800.0, 0.65318984
2000.0, 0.68742096
2200.0, 0.71982145
2400.0, 0.7506299
2600.0, 0.7800363
2800.0, 0.808195
3000.0, 0.8352334
3200.0, 0.8612582
3400.0, 0.88636
3600.0, 0.91061604
3800.0, 0.9340934
4000.0, 0.95685035
4200.0, 0.9789383
4400.0, 1.0004023
4600.0, 1.0212828
4800.0, 1.0416158
5000.0, 1.0614334
5200.0, 1.0807652
5400.0, 1.0996377
5600.0, 1.1180747
5800.0, 1.1360983
6000.0, 1.1537287
6200.0, 1.1709845
6400.0, 1.1878824
6600.0, 1.2044387
6800.0, 1.220668
7000.0, 1.2365835
7200.0, 1.252198
7400.0, 1.2675235
7600.0, 1.282571
7800.0, 1.2973505
8000.0, 1.311872
8200.0, 1.3261445
8400.0, 1.3401766
8600.0, 1.3539765
8800.0, 1.3675516
9000.0, 1.3809092
9200.0, 1.394056
9400.0, 1.4069989
9600.0, 1.4197435
9800.0, 1.4322959
10000.0, 1.4446616
10200.0, 1.456846
10400.0, 1.468854
10600.0, 1.4806902
10800.0, 1.4923599
11000.0, 1.5038666
11200.0, 1.515215
11400.0, 1.526409
11600.0, 1.5374525
11800.0, 1.5483493
12000.0, 1.5591024
12200.0, 1.5697157
12400.0, 1.5801923
12600.0, 1.5905355
12800.0, 1.6007481
13000.0, 1.6108332
13200.0, 1.6207933
13400.0, 1.6306314
13600.0, 1.6403499
13800.0, 1.6499518
14000.0, 1.6594387
14200.0, 1.6688137
14400.0, 1.6780785
14600.0, 1.6872356
14800.0, 1.6962873
15000.0, 1.7052354
15200.0, 1.7140818
15400.0, 1.7228285
15600.0, 1.7314774
15800.0, 1.7400304
16000.0, 1.748489
16200.0, 1.7568552
16400.0, 1.765131
16600.0, 1.773317
16800.0, 1.7814155
17000.0, 1.7894279
17200.0, 1.7973557
17400.0, 1.8051997
17600.0, 1.8129624
17800.0, 1.8206444
18000.0, 1.8282472
18200.0, 1.8357722
18400.0, 1.8432207
18600.0, 1.8505933
18800.0, 1.857892
19000.0, 1.8651174
