Energy (in eV), SEEE yield of material al2k-NASCAP at isotropic incidence
   X,       Y
2730.0, 0.6947492
2740.0, 0.6931455
2750.0, 0.6915502
2760.0, 0.68996316
2770.0, 0.68838435
2780.0, 0.6868137
2790.0, 0.68525106
2800.0, 0.68369645
2810.0, 0.6821498
2820.0, 0.6806112
2830.0, 0.67908037
2840.0, 0.6775572
2850.0, 0.6760419
2860.0, 0.67453414
2870.0, 0.6730341
2880.0, 0.6715415
2890.0, 0.6700564
2900.0, 0.6685787
2910.0, 0.6671084
2920.0, 0.66564554
2930.0, 0.66418976
2940.0, 0.6627413
2950.0, 0.6612999
2960.0, 0.6598656
2970.0, 0.65843844
2980.0, 0.65701824
2990.0, 0.65560496
3000.0, 0.6541985
3010.0, 0.65279895
3020.0, 0.65140617
3030.0, 0.6500202
3040.0, 0.6486408
3050.0, 0.6472682
3060.0, 0.645902
3070.0, 0.64454246
3080.0, 0.64318925
3090.0, 0.64184254
3100.0, 0.64050233
3110.0, 0.63916844
3120.0, 0.6378408
3130.0, 0.6365195
3140.0, 0.6352043
3150.0, 0.6338953
3160.0, 0.6325925
3170.0, 0.63129574
3180.0, 0.63000506
3190.0, 0.6287203
3200.0, 0.6274416
3210.0, 0.62616867
3220.0, 0.62490165
3230.0, 0.62364054
3240.0, 0.62238514
3250.0, 0.6211355
3260.0, 0.61989164
3270.0, 0.61865336
3280.0, 0.61742073
3290.0, 0.61619365
3300.0, 0.6149721
3310.0, 0.6137561
3320.0, 0.61254555
3330.0, 0.6113405
3340.0, 0.61014086
3350.0, 0.6089465
3360.0, 0.60775745
3370.0, 0.6065737
3380.0, 0.60539526
3390.0, 0.60422194
3400.0, 0.6030539
3410.0, 0.60189086
3420.0, 0.60073304
3430.0, 0.5995803
3440.0, 0.5984326
3450.0, 0.59728986
3460.0, 0.5961521
3470.0, 0.5950193
3480.0, 0.5938914
3490.0, 0.5927684
3500.0, 0.5916501
3510.0, 0.59053683
3520.0, 0.5894282
3530.0, 0.58832437
3540.0, 0.5872252
3550.0, 0.5861308
3560.0, 0.58504087
3570.0, 0.5839557
3580.0, 0.58287513
3590.0, 0.5817991
3600.0, 0.5807275
3610.0, 0.57966065
3620.0, 0.5785981
3630.0, 0.57754
3640.0, 0.57648635
3650.0, 0.575437
3660.0, 0.5743921
3670.0, 0.57335156
3680.0, 0.5723153
3690.0, 0.5712833
3700.0, 0.5702555
3710.0, 0.5692319
3720.0, 0.5682127
3730.0, 0.5671975
3740.0, 0.5661865
3750.0, 0.5651796
3760.0, 0.5641767
3770.0, 0.56317794
3780.0, 0.56218326
3790.0, 0.5611926
3800.0, 0.5602058
3810.0, 0.5592231
3820.0, 0.5582443
3830.0, 0.5572695
3840.0, 0.5562985
3850.0, 0.55533135
3860.0, 0.554368
3870.0, 0.55340856
3880.0, 0.5524529
3890.0, 0.551501
3900.0, 0.5505529
3910.0, 0.54960847
3920.0, 0.5486677
3930.0, 0.54773074
3940.0, 0.54679745
3950.0, 0.54586774
3960.0, 0.5449415
3970.0, 0.54401904
3980.0, 0.5431001
3990.0, 0.54218465
4000.0, 0.5412728
4010.0, 0.54036456
4020.0, 0.53945965
4030.0, 0.53855824
4040.0, 0.53766036
4050.0, 0.53676575
4060.0, 0.53587466
4070.0, 0.534987
4080.0, 0.5341026
4090.0, 0.5332216
4100.0, 0.53234386
4110.0, 0.5314695
4120.0, 0.53059846
4130.0, 0.5297306
4140.0, 0.5288661
4150.0, 0.5280047
4160.0, 0.52714664
4170.0, 0.52629167
4180.0, 0.52544
4190.0, 0.5245914
4200.0, 0.52374583
4210.0, 0.52290356
4220.0, 0.52206445
4230.0, 0.52122825
4240.0, 0.5203953
4250.0, 0.51956517
4260.0, 0.5187381
4270.0, 0.51791424
4280.0, 0.5170932
4290.0, 0.5162752
4300.0, 0.51546025
4310.0, 0.51464814
4320.0, 0.51383895
4330.0, 0.51303285
4340.0, 0.5122295
4350.0, 0.51142895
4360.0, 0.5106313
4370.0, 0.50983673
4380.0, 0.5090448
4390.0, 0.50825584
4400.0, 0.50746953
4410.0, 0.5066861
4420.0, 0.5059054
4430.0, 0.5051274
4440.0, 0.5043523
4450.0, 0.5035798
4460.0, 0.50281
4470.0, 0.502043
4480.0, 0.50127864
4490.0, 0.500517
4500.0, 0.49975786
4510.0, 0.49900144
4520.0, 0.49824768
4530.0, 0.49749655
4540.0, 0.496748
4550.0, 0.49600196
4560.0, 0.49525866
4570.0, 0.4945177
4580.0, 0.49377942
4590.0, 0.49304366
4600.0, 0.49231037
4610.0, 0.49157968
4620.0, 0.4908514
4630.0, 0.4901256
4640.0, 0.48940235
4650.0, 0.48868132
4660.0, 0.48796293
4670.0, 0.48724696
4680.0, 0.48653337
4690.0, 0.4858221
4700.0, 0.4851133
4710.0, 0.4844069
4720.0, 0.48370284
4730.0, 0.48300102
4740.0, 0.4823017
4750.0, 0.48160455
4760.0, 0.48090982
4770.0, 0.4802175
4780.0, 0.47952726
4790.0, 0.47883937
4800.0, 0.47815374
4810.0, 0.47747037
4820.0, 0.4767893
4830.0, 0.47611034
4840.0, 0.47543374
4850.0, 0.47475922
4860.0, 0.47408697
4870.0, 0.47341692
4880.0, 0.47274908
4890.0, 0.47208333
4900.0, 0.47141972
4910.0, 0.47075832
4920.0, 0.470099
4930.0, 0.46944183
4940.0, 0.46878678
4950.0, 0.46813375
4960.0, 0.46748295
4970.0, 0.4668341
4980.0, 0.46618736
4990.0, 0.4655427
5000.0, 0.4649001
5010.0, 0.46425954
5020.0, 0.46362096
5030.0, 0.46298438
5040.0, 0.4623499
5050.0, 0.46171734
5060.0, 0.46108684
5070.0, 0.46045828
5080.0, 0.4598317
5090.0, 0.459207
5100.0, 0.45858437
5110.0, 0.45796368
5120.0, 0.4573448
5130.0, 0.45672798
5140.0, 0.45611298
5150.0, 0.45549986
5160.0, 0.45488876
5170.0, 0.4542794
5180.0, 0.45367205
5190.0, 0.4530665
5200.0, 0.4524628
5210.0, 0.45186105
5220.0, 0.45126104
5230.0, 0.45066285
5240.0, 0.45006654
5250.0, 0.44947198
5260.0, 0.44887927
5270.0, 0.44828835
5280.0, 0.4476992
5290.0, 0.4471119
5300.0, 0.44652632
5310.0, 0.4459425
5320.0, 0.44536045
5330.0, 0.44478014
5340.0, 0.44420162
5350.0, 0.44362476
5360.0, 0.44304964
5370.0, 0.44247627
5380.0, 0.44190452
5390.0, 0.44133455
5400.0, 0.44076625
5410.0, 0.4401996
5420.0, 0.43963465
5430.0, 0.43907148
5440.0, 0.43850982
5450.0, 0.43794984
5460.0, 0.43739158
5470.0, 0.4368348
5480.0, 0.4362798
5490.0, 0.43572646
5500.0, 0.4351746
5510.0, 0.4346244
5520.0, 0.4340758
5530.0, 0.43352875
5540.0, 0.43298346
5550.0, 0.43243957
5560.0, 0.4318973
5570.0, 0.43135658
5580.0, 0.43081743
5590.0, 0.43027988
5600.0, 0.42974383
5610.0, 0.42920932
5620.0, 0.42867634
5630.0, 0.4281448
5640.0, 0.42761496
5650.0, 0.42708653
5660.0, 0.42655963
5670.0, 0.42603415
5680.0, 0.42551023
5690.0, 0.42498776
5700.0, 0.4244668
5710.0, 0.42394727
5720.0, 0.42342925
5730.0, 0.42291266
5740.0, 0.42239755
5750.0, 0.42188376
5760.0, 0.4213716
5770.0, 0.42086077
5780.0, 0.42035133
5790.0, 0.41984338
5800.0, 0.41933677
5810.0, 0.41883174
5820.0, 0.4183279
5830.0, 0.41782555
5840.0, 0.41732463
5850.0, 0.416825
5860.0, 0.41632673
5870.0, 0.41582996
5880.0, 0.41533452
5890.0, 0.4148404
5900.0, 0.41434765
5910.0, 0.41385624
5920.0, 0.41336617
5930.0, 0.41287744
5940.0, 0.41239002
5950.0, 0.41190398
5960.0, 0.41141924
5970.0, 0.41093573
5980.0, 0.41045368
5990.0, 0.40997288
6000.0, 0.40949327
6010.0, 0.40901506
6020.0, 0.40853807
6030.0, 0.40806243
6040.0, 0.40758806
6050.0, 0.40711492
6060.0, 0.40664303
6070.0, 0.40617242
6080.0, 0.40570313
6090.0, 0.40523502
6100.0, 0.40476814
6110.0, 0.40430257
6120.0, 0.40383816
6130.0, 0.40337503
6140.0, 0.40291315
6150.0, 0.40245238
6160.0, 0.40199292
6170.0, 0.40153465
6180.0, 0.40107754
6190.0, 0.40062165
6200.0, 0.40016696
6210.0, 0.3997135
6220.0, 0.39926118
6230.0, 0.39880997
6240.0, 0.39836007
6250.0, 0.3979113
6260.0, 0.39746368
6270.0, 0.39701718
6280.0, 0.39657184
6290.0, 0.3961278
6300.0, 0.39568472
6310.0, 0.3952429
