Energy (in eV), backscattering yield of material ITOC-TabulatedSEEE at incidence 60.0 degree
   X,       Y
0.0, 0.0
10.0, 0.0
20.0, 0.0
30.0, 0.0
40.0, 0.0
50.0, 0.0
60.0, 0.13951781
70.0, 0.18947466
80.0, 0.22386864
90.0, 0.25027576
100.0, 0.27169907
110.0, 0.28968847
120.0, 0.30516115
130.0, 0.31870866
140.0, 0.33073604
150.0, 0.3415331
160.0, 0.35131457
170.0, 0.36024407
180.0, 0.36844888
190.0, 0.3760303
200.0, 0.38306993
210.0, 0.38963464
220.0, 0.39577985
230.0, 0.40155187
240.0, 0.40699002
250.0, 0.4121277
260.0, 0.41699368
270.0, 0.42161292
280.0, 0.426007
290.0, 0.430195
300.0, 0.43419367
310.0, 0.4380178
320.0, 0.4416806
330.0, 0.44519383
340.0, 0.44856805
350.0, 0.45181277
360.0, 0.45493656
370.0, 0.4579472
380.0, 0.46085173
390.0, 0.4636566
400.0, 0.46636772
410.0, 0.46899042
420.0, 0.4715297
430.0, 0.47399008
440.0, 0.47637573
450.0, 0.47869056
460.0, 0.48093817
470.0, 0.48312184
480.0, 0.48524478
490.0, 0.48730972
500.0, 0.4893195
510.0, 0.49127647
520.0, 0.49318305
530.0, 0.4950415
540.0, 0.49685374
550.0, 0.4986218
560.0, 0.50034744
570.0, 0.50203246
580.0, 0.5036784
590.0, 0.5052867
600.0, 0.50685894
610.0, 0.50839645
620.0, 0.50990045
630.0, 0.5113722
640.0, 0.51281285
650.0, 0.51422346
660.0, 0.5156051
670.0, 0.5169587
680.0, 0.5182853
690.0, 0.5195857
700.0, 0.5208608
710.0, 0.5221114
720.0, 0.5233383
730.0, 0.52454215
740.0, 0.5257238
750.0, 0.5268838
760.0, 0.5280228
770.0, 0.5291415
780.0, 0.5302404
790.0, 0.5313202
800.0, 0.5323813
810.0, 0.53342426
820.0, 0.53444964
830.0, 0.5354579
840.0, 0.53644943
850.0, 0.53742474
860.0, 0.53838426
870.0, 0.53932834
880.0, 0.54025745
890.0, 0.54117197
900.0, 0.54207224
910.0, 0.54295856
920.0, 0.5438314
930.0, 0.54469097
940.0, 0.5455376
950.0, 0.5463717
960.0, 0.54719347
970.0, 0.5480032
980.0, 0.54880124
990.0, 0.5495878
1000.0, 0.5503631
1010.0, 0.55021447
1020.0, 0.5500661
1030.0, 0.549918
