Energy (in eV), SEEE yield of material ITOC-TabulatedSEEE at incidence 0.0 degree
   X,       Y
0.0, 0.0
10.0, 0.23297869
20.0, 0.4464611
30.0, 0.644628
40.0, 0.82887506
50.0, 1.0000281
60.0, 1.1587107
70.0, 1.3054637
80.0, 1.4407969
90.0, 1.5652095
100.0, 1.6791993
110.0, 1.7832662
120.0, 1.8779119
130.0, 1.963639
140.0, 2.040948
150.0, 2.1103349
160.0, 2.172289
170.0, 2.2272897
180.0, 2.2758057
190.0, 2.3182905
200.0, 2.355183
210.0, 2.386905
220.0, 2.4138603
230.0, 2.4364343
240.0, 2.4549923
250.0, 2.4698806
260.0, 2.481425
270.0, 2.4899318
280.0, 2.495688
290.0, 2.498961
300.0, 2.5
310.0, 2.4990351
320.0, 2.4962804
330.0, 2.491932
340.0, 2.486171
350.0, 2.4791632
360.0, 2.47106
370.0, 2.4619997
380.0, 2.4521072
390.0, 2.4414968
400.0, 2.4302714
410.0, 2.4185236
420.0, 2.406337
430.0, 2.3937862
440.0, 2.380938
450.0, 2.3678527
460.0, 2.3545825
470.0, 2.3411753
480.0, 2.3276722
490.0, 2.3141096
500.0, 2.3005195
510.0, 2.2869306
520.0, 2.2733667
530.0, 2.259849
540.0, 2.2463958
550.0, 2.2330236
560.0, 2.2197442
570.0, 2.2065701
580.0, 2.1935103
590.0, 2.180573
600.0, 2.1677635
610.0, 2.1550887
620.0, 2.1425514
630.0, 2.1301556
640.0, 2.1179032
650.0, 2.1057956
660.0, 2.0938337
670.0, 2.082019
680.0, 2.070351
690.0, 2.0588288
700.0, 2.0474522
710.0, 2.03622
720.0, 2.0251307
730.0, 2.014184
740.0, 2.003377
750.0, 1.9927086
760.0, 1.9821767
770.0, 1.9717797
780.0, 1.9615152
790.0, 1.9513819
800.0, 1.9413772
810.0, 1.9314992
820.0, 1.9217454
830.0, 1.9121143
840.0, 1.9026034
850.0, 1.8932109
860.0, 1.8839346
870.0, 1.8747728
880.0, 1.8657229
890.0, 1.8567834
900.0, 1.8479521
910.0, 1.8392273
920.0, 1.8306068
930.0, 1.8220888
940.0, 1.8136722
950.0, 1.8053541
960.0, 1.7971331
970.0, 1.7890079
980.0, 1.7809767
990.0, 1.7730377
1000.0, 1.7651889
1010.0, 1.7574296
1020.0, 1.7497575
1030.0, 1.7421716
1040.0, 1.7346699
