Energy (in eV), SEEE yield of material ITOC-TabulatedSEEE at incidence 90.0 degree
   X,       Y
2760.0, 2.134838
2770.0, 2.1306999
2780.0, 2.1265829
2790.0, 2.122487
2800.0, 2.118412
2810.0, 2.1143577
2820.0, 2.110324
2830.0, 2.1063108
2840.0, 2.1023178
2850.0, 2.0983443
2860.0, 2.0943913
2870.0, 2.0904577
2880.0, 2.086544
2890.0, 2.0826495
2900.0, 2.0787742
2910.0, 2.0749183
2920.0, 2.0710812
2930.0, 2.067263
2940.0, 2.0634634
2950.0, 2.0596821
2960.0, 2.0559192
2970.0, 2.0521746
2980.0, 2.048448
2990.0, 2.04474
3000.0, 2.041049
