Energy (in eV), backscattering yield of material ITOC-NASCAP at incidence 10.0 degree
   X,       Y
2720.0, 0.28453255
2730.0, 0.2844161
2740.0, 0.28429988
2750.0, 0.28418392
2760.0, 0.28406817
2770.0, 0.28395265
2780.0, 0.28383738
2790.0, 0.2837223
2800.0, 0.28360748
2810.0, 0.28349286
2820.0, 0.28337848
2830.0, 0.28326434
2840.0, 0.28315046
2850.0, 0.28303677
2860.0, 0.28292328
2870.0, 0.28281003
2880.0, 0.28269702
2890.0, 0.28258425
2900.0, 0.2824717
2910.0, 0.28235936
2920.0, 0.28224725
2930.0, 0.28213534
2940.0, 0.2820237
2950.0, 0.28191224
2960.0, 0.28180102
2970.0, 0.28169
2980.0, 0.28157923
2990.0, 0.28146866
3000.0, 0.2813583
3010.0, 0.28124818
3020.0, 0.2811383
3030.0, 0.2810286
3040.0, 0.28091913
3050.0, 0.2808099
3060.0, 0.28070086
3070.0, 0.28059208
3080.0, 0.28048348
3090.0, 0.2803751
3100.0, 0.28026694
3110.0, 0.280159
3120.0, 0.28005123
3130.0, 0.27994373
3140.0, 0.27983642
3150.0, 0.27972937
3160.0, 0.27962247
3170.0, 0.27951583
3180.0, 0.27940935
3190.0, 0.27930313
3200.0, 0.2791971
3210.0, 0.2790913
3220.0, 0.27898568
3230.0, 0.2788803
3240.0, 0.2787751
3250.0, 0.27867013
3260.0, 0.27856535
3270.0, 0.2784608
3280.0, 0.27835643
3290.0, 0.2782523
3300.0, 0.27814835
3310.0, 0.27804464
3320.0, 0.27794114
3330.0, 0.2778378
3340.0, 0.27773473
3350.0, 0.27763182
3360.0, 0.27752912
3370.0, 0.27742663
3380.0, 0.27732435
3390.0, 0.27722225
3400.0, 0.27712038
3410.0, 0.2770187
3420.0, 0.27691722
3430.0, 0.27681595
3440.0, 0.2767149
3450.0, 0.276614
3460.0, 0.27651334
3470.0, 0.27641287
3480.0, 0.2763126
3490.0, 0.27621254
3500.0, 0.27611268
3510.0, 0.276013
3520.0, 0.2759135
3530.0, 0.27581424
3540.0, 0.27571517
3550.0, 0.2756163
3560.0, 0.2755176
3570.0, 0.27541915
3580.0, 0.27532086
3590.0, 0.27522278
3600.0, 0.27512485
3610.0, 0.27502713
3620.0, 0.27492964
3630.0, 0.2748323
3640.0, 0.2747352
3650.0, 0.27463827
3660.0, 0.27454156
3670.0, 0.274445
3680.0, 0.27434865
3690.0, 0.2742525
3700.0, 0.27415654
3710.0, 0.2740608
3720.0, 0.2739652
3730.0, 0.2738698
3740.0, 0.2737746
3750.0, 0.27367958
3760.0, 0.27358475
3770.0, 0.27349013
3780.0, 0.2733957
3790.0, 0.27330145
3800.0, 0.27320737
3810.0, 0.2731135
3820.0, 0.2730198
3830.0, 0.27292627
3840.0, 0.272833
3850.0, 0.27273983
3860.0, 0.27264687
3870.0, 0.2725541
3880.0, 0.27246153
3890.0, 0.27236915
3900.0, 0.27227694
3910.0, 0.2721849
3920.0, 0.27209306
3930.0, 0.2720014
3940.0, 0.27190992
3950.0, 0.27181864
3960.0, 0.2717275
3970.0, 0.27163658
3980.0, 0.27154583
3990.0, 0.27145526
4000.0, 0.27136487
4010.0, 0.2712747
4020.0, 0.27118462
4030.0, 0.2710948
4040.0, 0.27100512
4050.0, 0.27091563
4060.0, 0.2708263
4070.0, 0.27073717
4080.0, 0.2706482
4090.0, 0.27055943
4100.0, 0.27047083
4110.0, 0.2703824
4120.0, 0.27029416
4130.0, 0.27020606
4140.0, 0.27011818
4150.0, 0.27003047
4160.0, 0.26994288
4170.0, 0.26985553
4180.0, 0.26976833
4190.0, 0.26968127
4200.0, 0.26959443
4210.0, 0.26950777
4220.0, 0.26942125
4230.0, 0.2693349
4240.0, 0.26924875
4250.0, 0.26916277
4260.0, 0.26907694
4270.0, 0.2689913
4280.0, 0.2689058
4290.0, 0.2688205
4300.0, 0.26873538
4310.0, 0.2686504
4320.0, 0.2685656
4330.0, 0.268481
4340.0, 0.26839653
4350.0, 0.26831222
4360.0, 0.2682281
4370.0, 0.2681441
4380.0, 0.26806033
4390.0, 0.2679767
4400.0, 0.26789325
4410.0, 0.26781
4420.0, 0.26772687
4430.0, 0.2676439
4440.0, 0.2675611
4450.0, 0.26747847
4460.0, 0.267396
4470.0, 0.26731372
4480.0, 0.26723155
4490.0, 0.2671496
4500.0, 0.2670678
4510.0, 0.26698616
4520.0, 0.26690468
4530.0, 0.26682335
4540.0, 0.26674217
4550.0, 0.26666117
4560.0, 0.26658037
4570.0, 0.2664997
4580.0, 0.26641917
4590.0, 0.2663388
4600.0, 0.26625863
4610.0, 0.26617858
4620.0, 0.2660987
4630.0, 0.26601902
4640.0, 0.26593944
4650.0, 0.26586008
4660.0, 0.26578084
4670.0, 0.26570174
4680.0, 0.26562282
4690.0, 0.26554406
4700.0, 0.26546547
4710.0, 0.265387
4720.0, 0.2653087
4730.0, 0.26523057
4740.0, 0.2651526
4750.0, 0.26507476
4760.0, 0.2649971
4770.0, 0.26491955
4780.0, 0.2648422
4790.0, 0.264765
4800.0, 0.26468796
4810.0, 0.26461107
4820.0, 0.2645343
4830.0, 0.2644577
4840.0, 0.26438126
4850.0, 0.26430497
4860.0, 0.26422882
4870.0, 0.26415285
4880.0, 0.264077
4890.0, 0.2640013
4900.0, 0.2639258
4910.0, 0.26385042
4920.0, 0.26377517
4930.0, 0.2637001
4940.0, 0.26362517
4950.0, 0.2635504
4960.0, 0.26347578
4970.0, 0.26340127
4980.0, 0.26332694
4990.0, 0.26325274
5000.0, 0.2631787
5010.0, 0.2631048
5020.0, 0.26303107
5030.0, 0.26295748
5040.0, 0.26288402
5050.0, 0.2628107
5060.0, 0.26273754
5070.0, 0.26266456
5080.0, 0.2625917
5090.0, 0.26251894
5100.0, 0.26244637
5110.0, 0.26237395
5120.0, 0.26230165
5130.0, 0.26222953
5140.0, 0.26215753
5150.0, 0.26208568
5160.0, 0.26201394
5170.0, 0.2619424
5180.0, 0.26187095
5190.0, 0.2617997
5200.0, 0.26172853
5210.0, 0.26165754
5220.0, 0.26158667
5230.0, 0.26151597
5240.0, 0.26144537
5250.0, 0.26137492
5260.0, 0.26130462
5270.0, 0.2612345
5280.0, 0.26116446
5290.0, 0.26109457
5300.0, 0.26102486
5310.0, 0.26095524
5320.0, 0.2608858
5330.0, 0.26081648
5340.0, 0.2607473
5350.0, 0.26067826
5360.0, 0.26060933
5370.0, 0.26054057
5380.0, 0.26047194
5390.0, 0.26040345
5400.0, 0.2603351
5410.0, 0.26026687
5420.0, 0.2601988
5430.0, 0.26013082
5440.0, 0.26006302
5450.0, 0.25999534
5460.0, 0.25992778
5470.0, 0.2598604
5480.0, 0.2597931
5490.0, 0.25972596
5500.0, 0.25965896
5510.0, 0.2595921
5520.0, 0.25952533
5530.0, 0.25945875
5540.0, 0.25939226
5550.0, 0.25932592
5560.0, 0.2592597
5570.0, 0.25919363
5580.0, 0.2591277
5590.0, 0.25906187
5600.0, 0.2589962
5610.0, 0.25893062
5620.0, 0.2588652
5630.0, 0.2587999
5640.0, 0.25873476
5650.0, 0.25866973
5660.0, 0.25860482
5670.0, 0.25854006
5680.0, 0.25847542
5690.0, 0.2584109
5700.0, 0.25834653
5710.0, 0.25828227
5720.0, 0.25821814
5730.0, 0.25815412
5740.0, 0.25809026
5750.0, 0.2580265
5760.0, 0.25796288
5770.0, 0.2578994
5780.0, 0.257836
5790.0, 0.2577728
5800.0, 0.25770968
5810.0, 0.2576467
5820.0, 0.25758383
5830.0, 0.2575211
5840.0, 0.25745848
5850.0, 0.257396
5860.0, 0.25733364
5870.0, 0.25727138
5880.0, 0.2572093
5890.0, 0.2571473
5900.0, 0.25708544
5910.0, 0.25702366
5920.0, 0.2569621
5930.0, 0.25690058
5940.0, 0.25683922
5950.0, 0.25677794
5960.0, 0.25671682
5970.0, 0.2566558
5980.0, 0.25659493
5990.0, 0.2565342
6000.0, 0.2564735
6010.0, 0.256413
6020.0, 0.2563526
6030.0, 0.25629234
6040.0, 0.25623214
6050.0, 0.25617212
6060.0, 0.2561122
6070.0, 0.2560524
6080.0, 0.25599274
6090.0, 0.25593314
6100.0, 0.2558737
6110.0, 0.25581437
6120.0, 0.2557552
6130.0, 0.2556961
6140.0, 0.2556371
6150.0, 0.25557825
6160.0, 0.25551954
6170.0, 0.25546092
6180.0, 0.2554024
6190.0, 0.255344
6200.0, 0.25528574
6210.0, 0.2552276
6220.0, 0.25516957
6230.0, 0.25511163
6240.0, 0.25505385
6250.0, 0.25499615
6260.0, 0.25493857
6270.0, 0.2548811
6280.0, 0.25482377
6290.0, 0.25476652
6300.0, 0.25470942
6310.0, 0.2546524
6320.0, 0.25459552
6330.0, 0.25453874
6340.0, 0.2544821
6350.0, 0.25442553
6360.0, 0.2543691
6370.0, 0.25431278
6380.0, 0.25425658
6390.0, 0.25420046
6400.0, 0.25414446
6410.0, 0.25408858
6420.0, 0.25403285
6430.0, 0.25397718
6440.0, 0.25392163
6450.0, 0.2538662
6460.0, 0.25381088
6470.0, 0.25375566
6480.0, 0.25370058
6490.0, 0.25364557
6500.0, 0.2535907
6510.0, 0.25353593
6520.0, 0.25348127
6530.0, 0.2534267
6540.0, 0.25337225
6550.0, 0.25331792
6560.0, 0.25326368
6570.0, 0.2532096
6580.0, 0.25315556
6590.0, 0.25310168
6600.0, 0.25304785
6610.0, 0.25299418
6620.0, 0.2529406
6630.0, 0.25288713
6640.0, 0.25283375
6650.0, 0.2527805
6660.0, 0.25272733
6670.0, 0.25267428
6680.0, 0.25262135
6690.0, 0.2525685
6700.0, 0.25251576
6710.0, 0.25246313
6720.0, 0.25241062
6730.0, 0.2523582
6740.0, 0.2523059
6750.0, 0.25225368
6760.0, 0.25220156
6770.0, 0.25214958
6780.0, 0.25209767
6790.0, 0.2520459
6800.0, 0.2519942
6810.0, 0.2519426
6820.0, 0.25189114
6830.0, 0.25183973
6840.0, 0.25178847
6850.0, 0.25173727
6860.0, 0.25168622
6870.0, 0.25163525
6880.0, 0.25158435
6890.0, 0.2515336
6900.0, 0.25148293
6910.0, 0.25143236
6920.0, 0.2513819
6930.0, 0.25133154
6940.0, 0.25128126
6950.0, 0.2512311
6960.0, 0.25118104
6970.0, 0.2511311
6980.0, 0.2510812
6990.0, 0.25103143
7000.0, 0.25098178
7010.0, 0.25093222
7020.0, 0.25088274
7030.0, 0.25083336
7040.0, 0.2507841
7050.0, 0.25073493
7060.0, 0.25068584
7070.0, 0.25063688
7080.0, 0.250588
7090.0, 0.2505392
7100.0, 0.25049052
7110.0, 0.25044194
7120.0, 0.25039345
7130.0, 0.25034505
7140.0, 0.25029677
7150.0, 0.25024855
7160.0, 0.25020045
7170.0, 0.25015244
7180.0, 0.25010452
7190.0, 0.2500567
7200.0, 0.250009
7210.0, 0.24996136
7220.0, 0.24991383
7230.0, 0.24986638
7240.0, 0.24981904
7250.0, 0.2497718
7260.0, 0.24972466
7270.0, 0.24967758
7280.0, 0.24963062
7290.0, 0.24958375
7300.0, 0.24953698
7310.0, 0.24949029
7320.0, 0.2494437
7330.0, 0.2493972
7340.0, 0.24935079
7350.0, 0.24930447
7360.0, 0.24925825
7370.0, 0.24921212
7380.0, 0.24916609
7390.0, 0.24912013
7400.0, 0.2490743
7410.0, 0.24902853
7420.0, 0.24898286
7430.0, 0.24893728
7440.0, 0.2488918
7450.0, 0.2488464
7460.0, 0.24880108
7470.0, 0.24875587
7480.0, 0.24871074
7490.0, 0.2486657
7500.0, 0.24862076
7510.0, 0.24857591
7520.0, 0.24853113
7530.0, 0.24848646
7540.0, 0.24844186
7550.0, 0.24839737
7560.0, 0.24835296
7570.0, 0.24830863
7580.0, 0.2482644
7590.0, 0.24822025
7600.0, 0.24817619
7610.0, 0.24813221
7620.0, 0.24808834
7630.0, 0.24804455
7640.0, 0.24800085
7650.0, 0.24795723
7660.0, 0.24791369
7670.0, 0.24787025
7680.0, 0.24782687
7690.0, 0.24778362
7700.0, 0.24774043
7710.0, 0.24769732
7720.0, 0.2476543
7730.0, 0.24761137
7740.0, 0.24756853
7750.0, 0.24752577
7760.0, 0.2474831
7770.0, 0.24744052
7780.0, 0.24739802
7790.0, 0.2473556
7800.0, 0.24731328
7810.0, 0.24727102
7820.0, 0.24722885
7830.0, 0.24718678
7840.0, 0.24714477
7850.0, 0.24710287
7860.0, 0.24706103
7870.0, 0.24701929
7880.0, 0.24697763
7890.0, 0.24693605
7900.0, 0.24689455
7910.0, 0.24685314
7920.0, 0.24681182
7930.0, 0.24677056
7940.0, 0.2467294
7950.0, 0.24668832
7960.0, 0.24664731
7970.0, 0.2466064
7980.0, 0.24656555
7990.0, 0.2465248
8000.0, 0.24648413
8010.0, 0.24644354
8020.0, 0.24640302
8030.0, 0.2463626
8040.0, 0.24632224
8050.0, 0.24628197
8060.0, 0.24624178
8070.0, 0.24620166
8080.0, 0.24616164
8090.0, 0.24612169
8100.0, 0.24608181
8110.0, 0.24604203
8120.0, 0.2460023
8130.0, 0.24596268
8140.0, 0.24592313
8150.0, 0.24588364
8160.0, 0.24584424
8170.0, 0.24580495
8180.0, 0.2457657
8190.0, 0.24572654
8200.0, 0.24568745
8210.0, 0.24564844
8220.0, 0.24560954
8230.0, 0.24557067
8240.0, 0.24553192
8250.0, 0.2454932
8260.0, 0.2454546
8270.0, 0.24541606
8280.0, 0.2453776
8290.0, 0.24533921
8300.0, 0.24530089
8310.0, 0.24526267
8320.0, 0.24522452
8330.0, 0.24518643
8340.0, 0.24514842
8350.0, 0.2451105
8360.0, 0.24507265
8370.0, 0.24503487
8380.0, 0.24499717
8390.0, 0.24495955
8400.0, 0.244922
8410.0, 0.24488452
8420.0, 0.24484712
8430.0, 0.24480979
8440.0, 0.24477254
8450.0, 0.24473536
8460.0, 0.24469826
8470.0, 0.24466123
8480.0, 0.24462426
8490.0, 0.24458738
8500.0, 0.24455059
8510.0, 0.24451384
8520.0, 0.24447718
8530.0, 0.24444059
8540.0, 0.24440408
8550.0, 0.24436763
8560.0, 0.24433126
8570.0, 0.24429497
8580.0, 0.24425873
8590.0, 0.2442226
8600.0, 0.2441865
8610.0, 0.2441505
8620.0, 0.24411456
8630.0, 0.2440787
8640.0, 0.2440429
8650.0, 0.24400719
8660.0, 0.24397153
8670.0, 0.24393594
8680.0, 0.24390045
8690.0, 0.243865
8700.0, 0.24382964
8710.0, 0.24379434
8720.0, 0.24375913
8730.0, 0.24372396
8740.0, 0.24368887
8750.0, 0.24365386
8760.0, 0.24361892
8770.0, 0.24358404
8780.0, 0.24354923
8790.0, 0.2435145
8800.0, 0.24347983
8810.0, 0.24344523
8820.0, 0.2434107
8830.0, 0.24337624
8840.0, 0.24334185
8850.0, 0.24330753
8860.0, 0.24327327
8870.0, 0.24323907
8880.0, 0.24320497
8890.0, 0.24317092
8900.0, 0.24313694
8910.0, 0.24310303
8920.0, 0.24306917
8930.0, 0.24303539
8940.0, 0.24300168
8950.0, 0.24296804
8960.0, 0.24293445
8970.0, 0.24290095
8980.0, 0.24286751
8990.0, 0.24283414
9000.0, 0.24280082
9010.0, 0.24276759
9020.0, 0.2427344
9030.0, 0.2427013
9040.0, 0.24266824
9050.0, 0.24263528
9060.0, 0.24260235
9070.0, 0.2425695
9080.0, 0.24253674
9090.0, 0.24250402
9100.0, 0.24247137
9110.0, 0.24243878
9120.0, 0.24240625
9130.0, 0.2423738
9140.0, 0.24234141
9150.0, 0.2423091
9160.0, 0.24227683
9170.0, 0.24224463
9180.0, 0.24221249
9190.0, 0.24218042
9200.0, 0.24214841
9210.0, 0.24211648
9220.0, 0.2420846
9230.0, 0.24205278
9240.0, 0.24202104
9250.0, 0.24198934
9260.0, 0.24195772
9270.0, 0.24192618
9280.0, 0.24189468
9290.0, 0.24186324
9300.0, 0.24183187
9310.0, 0.24180055
9320.0, 0.2417693
9330.0, 0.24173813
9340.0, 0.241707
9350.0, 0.24167594
9360.0, 0.24164493
9370.0, 0.24161401
9380.0, 0.24158312
9390.0, 0.24155232
9400.0, 0.24152157
9410.0, 0.24149087
9420.0, 0.24146025
9430.0, 0.24142969
9440.0, 0.24139918
9450.0, 0.24136873
9460.0, 0.24133834
9470.0, 0.24130802
9480.0, 0.24127775
9490.0, 0.24124756
9500.0, 0.2412174
9510.0, 0.24118733
9520.0, 0.24115731
9530.0, 0.24112734
9540.0, 0.24109745
9550.0, 0.2410676
9560.0, 0.24103783
9570.0, 0.24100809
9580.0, 0.24097842
9590.0, 0.24094883
9600.0, 0.24091928
9610.0, 0.24088979
9620.0, 0.24086036
9630.0, 0.240831
9640.0, 0.24080169
9650.0, 0.24077243
9660.0, 0.24074323
9670.0, 0.2407141
9680.0, 0.24068502
9690.0, 0.240656
9700.0, 0.24062704
9710.0, 0.24059813
9720.0, 0.24056928
9730.0, 0.24054049
9740.0, 0.24051176
9750.0, 0.2404831
9760.0, 0.24045448
9770.0, 0.24042591
9780.0, 0.24039741
9790.0, 0.24036898
9800.0, 0.24034058
9810.0, 0.24031225
9820.0, 0.24028398
9830.0, 0.24025576
9840.0, 0.24022758
9850.0, 0.24019948
9860.0, 0.24017143
9870.0, 0.24014343
9880.0, 0.2401155
9890.0, 0.24008761
9900.0, 0.24005978
9910.0, 0.24003202
9920.0, 0.24000429
9930.0, 0.23997664
9940.0, 0.23994903
9950.0, 0.23992148
9960.0, 0.23989399
9970.0, 0.23986654
9980.0, 0.23983915
9990.0, 0.23981182
10000.0, 0.23978455
10010.0, 0.23975731
10020.0, 0.23973015
10030.0, 0.23970304
10040.0, 0.23967598
10050.0, 0.23964898
10060.0, 0.23962204
10070.0, 0.23959513
10080.0, 0.23956828
10090.0, 0.23954149
10100.0, 0.23951475
10110.0, 0.23948807
10120.0, 0.23946144
10130.0, 0.23943487
10140.0, 0.23940834
10150.0, 0.23938186
10160.0, 0.23935544
10170.0, 0.23932908
10180.0, 0.23930278
10190.0, 0.23927651
10200.0, 0.2392503
10210.0, 0.23922415
10220.0, 0.23919804
10230.0, 0.239172
10240.0, 0.239146
10250.0, 0.23912005
10260.0, 0.23909415
10270.0, 0.23906831
10280.0, 0.23904252
10290.0, 0.23901677
10300.0, 0.23899108
10310.0, 0.23896545
10320.0, 0.23893985
10330.0, 0.23891433
10340.0, 0.23888883
10350.0, 0.23886341
10360.0, 0.23883802
10370.0, 0.23881269
10380.0, 0.2387874
10390.0, 0.23876217
10400.0, 0.23873699
10410.0, 0.23871186
10420.0, 0.23868679
10430.0, 0.23866175
10440.0, 0.23863676
10450.0, 0.23861185
10460.0, 0.23858695
10470.0, 0.23856212
10480.0, 0.23853734
10490.0, 0.2385126
10500.0, 0.23848793
10510.0, 0.2384633
10520.0, 0.23843871
10530.0, 0.23841418
10540.0, 0.23838967
10550.0, 0.23836525
10560.0, 0.23834085
10570.0, 0.23831652
10580.0, 0.23829223
10590.0, 0.23826799
10600.0, 0.23824379
10610.0, 0.23821965
10620.0, 0.23819554
10630.0, 0.23817149
10640.0, 0.2381475
10650.0, 0.23812354
10660.0, 0.23809963
10670.0, 0.23807576
10680.0, 0.23805195
10690.0, 0.2380282
10700.0, 0.23800449
10710.0, 0.23798081
10720.0, 0.2379572
10730.0, 0.2379336
10740.0, 0.23791009
10750.0, 0.23788661
10760.0, 0.23786317
10770.0, 0.23783979
10780.0, 0.23781645
10790.0, 0.23779316
10800.0, 0.2377699
10810.0, 0.23774672
10820.0, 0.23772356
10830.0, 0.23770045
10840.0, 0.23767738
10850.0, 0.23765436
10860.0, 0.2376314
10870.0, 0.23760848
10880.0, 0.2375856
10890.0, 0.23756276
10900.0, 0.23753998
10910.0, 0.23751724
10920.0, 0.23749454
10930.0, 0.2374719
10940.0, 0.23744929
10950.0, 0.23742673
10960.0, 0.23740421
10970.0, 0.23738174
10980.0, 0.23735932
10990.0, 0.23733693
11000.0, 0.2373146
11010.0, 0.2372923
11020.0, 0.23727006
11030.0, 0.23724787
11040.0, 0.2372257
11050.0, 0.23720358
11060.0, 0.23718151
11070.0, 0.23715949
11080.0, 0.23713751
11090.0, 0.23711558
11100.0, 0.23709369
11110.0, 0.23707181
11120.0, 0.23705001
11130.0, 0.23702826
11140.0, 0.23700653
11150.0, 0.23698485
11160.0, 0.23696323
11170.0, 0.23694164
11180.0, 0.23692009
11190.0, 0.23689859
11200.0, 0.23687713
11210.0, 0.23685572
11220.0, 0.23683433
11230.0, 0.23681301
11240.0, 0.23679172
11250.0, 0.23677047
11260.0, 0.23674925
11270.0, 0.2367281
11280.0, 0.23670697
11290.0, 0.2366859
11300.0, 0.23666486
11310.0, 0.23664387
11320.0, 0.23662291
11330.0, 0.236602
11340.0, 0.23658115
11350.0, 0.23656031
11360.0, 0.23653951
11370.0, 0.23651879
11380.0, 0.23649807
11390.0, 0.23647742
11400.0, 0.2364568
11410.0, 0.23643622
11420.0, 0.23641568
11430.0, 0.23639518
11440.0, 0.23637474
11450.0, 0.2363543
11460.0, 0.23633394
11470.0, 0.23631361
11480.0, 0.23629332
11490.0, 0.23627307
11500.0, 0.23625284
11510.0, 0.23623268
11520.0, 0.23621255
11530.0, 0.23619245
11540.0, 0.23617241
11550.0, 0.2361524
11560.0, 0.23613241
11570.0, 0.23611249
11580.0, 0.23609261
11590.0, 0.23607276
11600.0, 0.23605293
11610.0, 0.23603317
11620.0, 0.23601343
11630.0, 0.23599374
11640.0, 0.23597409
11650.0, 0.23595446
11660.0, 0.23593488
11670.0, 0.23591536
11680.0, 0.23589586
11690.0, 0.2358764
11700.0, 0.23585698
