Energy (in eV), backscattering yield of material ITOC-TabulatedSEEE at incidence 40.0 degree
   X,       Y
2720.0, 0.37617508
2730.0, 0.37605533
2740.0, 0.3759358
2750.0, 0.37581652
2760.0, 0.37569743
2770.0, 0.37557858
2780.0, 0.37545997
2790.0, 0.37534156
2800.0, 0.3752234
2810.0, 0.37510544
2820.0, 0.37498772
2830.0, 0.37487024
2840.0, 0.37475297
2850.0, 0.37463593
2860.0, 0.37451908
2870.0, 0.37440246
2880.0, 0.3742861
2890.0, 0.37416995
2900.0, 0.37405398
2910.0, 0.3739383
2920.0, 0.37382278
2930.0, 0.3737075
2940.0, 0.37359244
2950.0, 0.3734776
2960.0, 0.373363
2970.0, 0.37324858
2980.0, 0.37313437
2990.0, 0.3730204
3000.0, 0.37290666
3010.0, 0.3727931
3020.0, 0.3726798
3030.0, 0.3725667
3040.0, 0.3724538
3050.0, 0.37234113
3060.0, 0.37222868
3070.0, 0.37211645
3080.0, 0.37200442
3090.0, 0.3718926
3100.0, 0.371781
3110.0, 0.37166962
3120.0, 0.37155843
3130.0, 0.37144744
3140.0, 0.3713367
3150.0, 0.3712262
3160.0, 0.37111583
3170.0, 0.3710057
3180.0, 0.3708958
3190.0, 0.3707861
3200.0, 0.3706766
3210.0, 0.37056732
3220.0, 0.37045825
3230.0, 0.37034938
3240.0, 0.37024072
3250.0, 0.37013227
3260.0, 0.37002403
3270.0, 0.369916
3280.0, 0.36980814
3290.0, 0.36970052
3300.0, 0.3695931
3310.0, 0.36948588
3320.0, 0.3693789
3330.0, 0.36927208
3340.0, 0.3691655
3350.0, 0.3690591
3360.0, 0.3689529
3370.0, 0.3688469
3380.0, 0.36874112
3390.0, 0.36863554
3400.0, 0.36853015
3410.0, 0.36842495
3420.0, 0.36832
3430.0, 0.3682152
3440.0, 0.36811063
3450.0, 0.36800623
3460.0, 0.36790207
3470.0, 0.36779806
3480.0, 0.36769426
3490.0, 0.3675907
3500.0, 0.3674873
3510.0, 0.3673841
3520.0, 0.3672811
3530.0, 0.36717832
3540.0, 0.3670757
3550.0, 0.3669733
3560.0, 0.3668711
3570.0, 0.3667691
3580.0, 0.36666727
3590.0, 0.36656567
3600.0, 0.36646423
3610.0, 0.366363
3620.0, 0.36626196
3630.0, 0.3661611
3640.0, 0.36606047
3650.0, 0.36595997
3660.0, 0.36585975
3670.0, 0.36575964
3680.0, 0.36565974
3690.0, 0.36556008
3700.0, 0.36546057
3710.0, 0.36536124
3720.0, 0.36526215
3730.0, 0.3651632
3740.0, 0.36506444
3750.0, 0.3649659
3760.0, 0.36486754
3770.0, 0.36476937
3780.0, 0.36467138
3790.0, 0.3645736
3800.0, 0.36447597
3810.0, 0.36437854
3820.0, 0.3642813
3830.0, 0.36418426
3840.0, 0.3640874
3850.0, 0.3639907
3860.0, 0.3638942
3870.0, 0.3637979
3880.0, 0.36370176
3890.0, 0.36360583
3900.0, 0.3635101
3910.0, 0.3634145
3920.0, 0.3633191
3930.0, 0.36322388
3940.0, 0.36312887
3950.0, 0.36303404
3960.0, 0.3629394
3970.0, 0.36284488
3980.0, 0.3627506
3990.0, 0.36265647
4000.0, 0.36256254
4010.0, 0.3624688
4020.0, 0.3623752
4030.0, 0.36228183
4040.0, 0.3621886
4050.0, 0.36209556
4060.0, 0.3620027
4070.0, 0.36191002
4080.0, 0.3618175
4090.0, 0.36172518
4100.0, 0.36163306
4110.0, 0.36154106
4120.0, 0.36144927
4130.0, 0.36135766
4140.0, 0.36126623
4150.0, 0.36117494
4160.0, 0.36108384
4170.0, 0.36099294
4180.0, 0.3609022
4190.0, 0.36081162
4200.0, 0.36072123
4210.0, 0.36063102
4220.0, 0.360541
4230.0, 0.3604511
4240.0, 0.3603614
4250.0, 0.36027187
4260.0, 0.3601825
4270.0, 0.36009336
4280.0, 0.3600043
4290.0, 0.35991547
4300.0, 0.3598268
4310.0, 0.35973832
4320.0, 0.35964996
4330.0, 0.35956183
4340.0, 0.35947382
4350.0, 0.359386
4360.0, 0.35929835
4370.0, 0.35921085
4380.0, 0.35912356
4390.0, 0.3590364
4400.0, 0.35894942
4410.0, 0.3588626
4420.0, 0.35877597
