Energy (in eV), backscattering yield of material ITOC-NASCAP at incidence 80.0 degree
   X,       Y
0.0, 0.0
10.0, 0.0
20.0, 0.0
30.0, 0.0
40.0, 0.0
50.0, 0.0
60.0, 0.5045836
70.0, 0.5611723
80.0, 0.5946413
90.0, 0.61812043
100.0, 0.6360056
110.0, 0.6503254
120.0, 0.6621844
130.0, 0.6722496
140.0, 0.680954
150.0, 0.68859357
160.0, 0.6953797
170.0, 0.7014678
180.0, 0.70697564
190.0, 0.7119943
200.0, 0.7165955
210.0, 0.72083676
220.0, 0.72476494
230.0, 0.7284185
240.0, 0.7318295
250.0, 0.7350248
260.0, 0.7380273
270.0, 0.74085635
280.0, 0.74352884
290.0, 0.7460593
300.0, 0.7484604
310.0, 0.75074327
320.0, 0.75291765
330.0, 0.7549921
340.0, 0.7569746
350.0, 0.75887173
360.0, 0.76068985
370.0, 0.76243436
380.0, 0.7641103
390.0, 0.7657223
400.0, 0.7672743
410.0, 0.7687701
420.0, 0.7702131
430.0, 0.7716065
440.0, 0.77295303
450.0, 0.77425545
460.0, 0.77551603
470.0, 0.77673715
480.0, 0.77792084
490.0, 0.77906895
500.0, 0.7801833
510.0, 0.78126556
520.0, 0.7823172
530.0, 0.7833398
540.0, 0.78433454
550.0, 0.7853027
560.0, 0.7862455
570.0, 0.7871641
580.0, 0.7880594
590.0, 0.78893244
600.0, 0.78978413
610.0, 0.7906153
620.0, 0.79142684
630.0, 0.79221946
640.0, 0.79299384
650.0, 0.7937507
660.0, 0.79449075
670.0, 0.79521453
680.0, 0.79592264
690.0, 0.7966156
700.0, 0.797294
710.0, 0.7979583
720.0, 0.7986091
730.0, 0.7992466
740.0, 0.79987144
750.0, 0.80048394
760.0, 0.8010845
770.0, 0.80167353
780.0, 0.80225134
790.0, 0.80281836
800.0, 0.8033748
810.0, 0.80392104
820.0, 0.8044574
830.0, 0.80498415
840.0, 0.8055015
850.0, 0.8060098
860.0, 0.8065093
870.0, 0.8070002
880.0, 0.8074828
890.0, 0.8079572
900.0, 0.80842376
910.0, 0.80888253
920.0, 0.8093339
930.0, 0.8097779
940.0, 0.8102149
950.0, 0.81064487
960.0, 0.8110681
970.0, 0.81148475
980.0, 0.81189495
990.0, 0.8122989
1000.0, 0.8126967
1010.0, 0.81262046
1020.0, 0.81254435
1030.0, 0.81246835
