Energy (in eV), backscattering yield of material ITOC-TabulatedSEEE at incidence 20.0 degree
   X,       Y
0.0, 0.0
10.0, 0.0
20.0, 0.0
30.0, 0.0
40.0, 0.0
50.0, 0.0
60.0, 0.024684796
70.0, 0.043877326
80.0, 0.060032558
90.0, 0.07402818
100.0, 0.08638404
110.0, 0.097445406
120.0, 0.107456274
130.0, 0.11659656
140.0, 0.12500305
150.0, 0.13278238
160.0, 0.14001934
170.0, 0.14678259
180.0, 0.15312839
190.0, 0.15910362
200.0, 0.16474754
210.0, 0.17009355
220.0, 0.17517026
230.0, 0.18000224
240.0, 0.18461095
250.0, 0.18901508
260.0, 0.19323106
270.0, 0.19727346
280.0, 0.20115519
290.0, 0.20488778
300.0, 0.20848157
310.0, 0.21194582
320.0, 0.21528898
330.0, 0.21851858
340.0, 0.22164162
350.0, 0.2246643
360.0, 0.22759244
370.0, 0.23043129
380.0, 0.23318568
390.0, 0.23586011
400.0, 0.23845871
410.0, 0.2409852
420.0, 0.24344324
430.0, 0.24583599
440.0, 0.24816655
450.0, 0.25043777
460.0, 0.25265226
470.0, 0.2548125
480.0, 0.2569209
490.0, 0.25897956
500.0, 0.2609905
510.0, 0.26295567
520.0, 0.26487684
530.0, 0.26675582
540.0, 0.26859406
550.0, 0.27039316
560.0, 0.27215457
570.0, 0.2738796
580.0, 0.2755696
590.0, 0.27722567
600.0, 0.27884907
610.0, 0.28044087
620.0, 0.2820021
630.0, 0.28353378
640.0, 0.28503683
650.0, 0.28651217
660.0, 0.28796065
670.0, 0.28938308
680.0, 0.29078028
690.0, 0.29215297
700.0, 0.29350188
710.0, 0.29482767
720.0, 0.29613107
730.0, 0.29741263
740.0, 0.29867303
750.0, 0.29991278
760.0, 0.30113244
770.0, 0.30233258
780.0, 0.30351368
790.0, 0.30467632
800.0, 0.30582088
810.0, 0.30694783
820.0, 0.30805767
830.0, 0.30915076
840.0, 0.31022754
850.0, 0.31128842
860.0, 0.31233373
870.0, 0.31336388
880.0, 0.31437922
890.0, 0.31538007
900.0, 0.31636682
910.0, 0.3173397
920.0, 0.3182991
930.0, 0.31924525
940.0, 0.3201785
950.0, 0.32109913
960.0, 0.3220074
970.0, 0.3229035
980.0, 0.32378784
990.0, 0.32466054
1000.0, 0.32552186
1010.0, 0.32535663
1020.0, 0.32519177
