Energy (in eV), backscattering yield of material ITOC-NASCAP at incidence 50.000004 degree
   X,       Y
0.0, 0.0
10.0, 0.0
20.0, 0.0
30.0, 0.0
40.0, 0.0
50.0, 0.0
60.0, 0.079498164
70.0, 0.117825046
80.0, 0.1460049
90.0, 0.1685086
100.0, 0.1872741
110.0, 0.20336306
120.0, 0.21743204
130.0, 0.22991933
140.0, 0.24113339
150.0, 0.25130016
160.0, 0.2605903
170.0, 0.26913604
180.0, 0.2770418
190.0, 0.28439176
200.0, 0.2912545
210.0, 0.29768676
220.0, 0.30373612
230.0, 0.3094426
240.0, 0.31484047
250.0, 0.31995907
260.0, 0.32482383
270.0, 0.3294569
280.0, 0.33387762
290.0, 0.3381032
300.0, 0.3421487
310.0, 0.34602755
320.0, 0.3497519
330.0, 0.3533324
340.0, 0.3567789
350.0, 0.36010006
360.0, 0.36330393
370.0, 0.36639765
380.0, 0.36938787
390.0, 0.37228063
400.0, 0.37508142
410.0, 0.37779528
420.0, 0.380427
430.0, 0.38298076
440.0, 0.38546062
450.0, 0.38787025
460.0, 0.39021304
470.0, 0.39249223
480.0, 0.39471087
490.0, 0.39687154
500.0, 0.39897698
510.0, 0.4010295
520.0, 0.40303138
530.0, 0.4049849
540.0, 0.40689182
550.0, 0.40875417
560.0, 0.41057372
570.0, 0.4123521
580.0, 0.41409087
590.0, 0.41579154
600.0, 0.4174555
610.0, 0.41908413
620.0, 0.42067865
630.0, 0.4222403
640.0, 0.4237701
650.0, 0.42526928
660.0, 0.42673877
670.0, 0.42817956
680.0, 0.42959264
690.0, 0.43097883
700.0, 0.432339
710.0, 0.43367395
720.0, 0.4349845
730.0, 0.43627128
740.0, 0.43753517
750.0, 0.43877664
760.0, 0.43999645
770.0, 0.4411952
780.0, 0.44237348
790.0, 0.44353193
800.0, 0.444671
810.0, 0.4457912
820.0, 0.44689316
830.0, 0.44797727
840.0, 0.449044
850.0, 0.45009384
860.0, 0.45112714
870.0, 0.4521444
880.0, 0.45314604
890.0, 0.45413235
900.0, 0.4551038
910.0, 0.45606068
920.0, 0.45700338
930.0, 0.45793217
940.0, 0.4588475
950.0, 0.45974955
960.0, 0.4606387
970.0, 0.46151522
980.0, 0.4623794
990.0, 0.46323153
1000.0, 0.4640718
1010.0, 0.4639107
1020.0, 0.4637499
1030.0, 0.46358934
