Energy (in eV), backscattering yield of material ITOC-TabulatedSEEE at isotropic incidence
   X,       Y
2730.0, 0.4477369
2740.0, 0.44762716
2750.0, 0.44751772
2760.0, 0.4474084
2770.0, 0.44729927
2780.0, 0.4471904
2790.0, 0.44708174
2800.0, 0.4469733
2810.0, 0.44686493
2820.0, 0.44675693
2830.0, 0.446649
2840.0, 0.44654143
2850.0, 0.4464339
2860.0, 0.4463266
2870.0, 0.44621956
2880.0, 0.4461127
2890.0, 0.44600606
2900.0, 0.44589958
2910.0, 0.4457933
2920.0, 0.4456873
2930.0, 0.44558138
2940.0, 0.4454757
2950.0, 0.44537023
2960.0, 0.44526497
2970.0, 0.4451599
2980.0, 0.445055
2990.0, 0.44495034
3000.0, 0.44484583
3010.0, 0.44474158
3020.0, 0.44463748
3030.0, 0.44453356
3040.0, 0.44442987
3050.0, 0.44432637
3060.0, 0.4442231
3070.0, 0.44411996
3080.0, 0.44401705
3090.0, 0.44391435
3100.0, 0.4438117
3110.0, 0.44370946
3120.0, 0.4436073
3130.0, 0.44350535
3140.0, 0.44340354
3150.0, 0.44330195
3160.0, 0.4432006
3170.0, 0.44309944
3180.0, 0.44299838
3190.0, 0.44289753
3200.0, 0.44279698
3210.0, 0.4426965
3220.0, 0.44259626
3230.0, 0.44249624
3240.0, 0.44239628
3250.0, 0.44229665
3260.0, 0.44219714
3270.0, 0.4420978
3280.0, 0.44199875
3290.0, 0.44189978
3300.0, 0.44180104
3310.0, 0.4417025
3320.0, 0.44160408
3330.0, 0.4415059
3340.0, 0.44140792
3350.0, 0.44131008
3360.0, 0.44121248
3370.0, 0.44111502
3380.0, 0.4410177
3390.0, 0.44092068
3400.0, 0.44082376
3410.0, 0.44072706
3420.0, 0.4406305
3430.0, 0.44053417
3440.0, 0.440438
3450.0, 0.44034192
3460.0, 0.4402462
3470.0, 0.44015056
3480.0, 0.44005504
3490.0, 0.43995985
3500.0, 0.43986475
3510.0, 0.4397698
3520.0, 0.4396751
3530.0, 0.43958053
3540.0, 0.43948615
3550.0, 0.43939197
3560.0, 0.43929794
3570.0, 0.4392041
3580.0, 0.43911046
3590.0, 0.43901697
3600.0, 0.4389236
3610.0, 0.43883044
3620.0, 0.4387375
3630.0, 0.43864474
3640.0, 0.43855217
3650.0, 0.43845966
3660.0, 0.4383675
3670.0, 0.43827534
3680.0, 0.43818343
3690.0, 0.43809167
3700.0, 0.43800014
3710.0, 0.4379087
3720.0, 0.4378175
3730.0, 0.43772653
3740.0, 0.43763563
3750.0, 0.4375449
3760.0, 0.4374544
3770.0, 0.43736407
3780.0, 0.4372738
3790.0, 0.4371838
3800.0, 0.437094
3810.0, 0.4370043
3820.0, 0.43691483
3830.0, 0.43682545
3840.0, 0.4367363
3850.0, 0.43664724
3860.0, 0.43655843
3870.0, 0.43646982
3880.0, 0.4363813
3890.0, 0.43629298
3900.0, 0.43620485
3910.0, 0.43611676
3920.0, 0.436029
3930.0, 0.43594128
3940.0, 0.4358538
3950.0, 0.43576652
3960.0, 0.43567938
3970.0, 0.43559232
3980.0, 0.4355055
3990.0, 0.43541884
4000.0, 0.4353323
4010.0, 0.43524596
4020.0, 0.4351598
4030.0, 0.4350738
