Energy (in eV), backscattering yield of material ITOC-TabulatedSEEE at incidence 70.0 degree
   X,       Y
0.0, 0.0
10.0, 0.0
20.0, 0.0
30.0, 0.0
40.0, 0.0
50.0, 0.0
60.0, 0.25995153
70.0, 0.3204911
80.0, 0.35922727
90.0, 0.38769868
100.0, 0.4101036
110.0, 0.42848867
120.0, 0.44401467
130.0, 0.45740563
140.0, 0.46914393
150.0, 0.47956702
160.0, 0.48892018
170.0, 0.49738702
180.0, 0.5051085
190.0, 0.51219505
200.0, 0.51873493
210.0, 0.52479947
220.0, 0.53044724
230.0, 0.53572685
240.0, 0.54067916
250.0, 0.5453387
260.0, 0.54973495
270.0, 0.5538932
280.0, 0.5578355
290.0, 0.561581
300.0, 0.5651464
310.0, 0.5685465
320.0, 0.57179433
330.0, 0.5749016
340.0, 0.5778786
350.0, 0.5807347
360.0, 0.5834782
370.0, 0.58611673
380.0, 0.5886571
390.0, 0.59110546
400.0, 0.5934676
410.0, 0.5957485
420.0, 0.5979531
430.0, 0.60008556
440.0, 0.6021499
450.0, 0.6041499
460.0, 0.6060888
470.0, 0.60796994
480.0, 0.6097961
490.0, 0.61157
500.0, 0.6132942
510.0, 0.6149709
520.0, 0.6166025
530.0, 0.6181909
540.0, 0.61973804
550.0, 0.62124574
560.0, 0.62271565
570.0, 0.6241494
580.0, 0.62554836
590.0, 0.6269141
600.0, 0.62824774
610.0, 0.62955076
620.0, 0.6308241
630.0, 0.63206905
640.0, 0.63328654
650.0, 0.6344776
660.0, 0.63564324
670.0, 0.63678426
680.0, 0.63790154
690.0, 0.63899595
700.0, 0.64006823
710.0, 0.64111906
720.0, 0.6421492
730.0, 0.64315933
740.0, 0.64415
750.0, 0.64512193
760.0, 0.64607555
770.0, 0.6470116
780.0, 0.6479304
790.0, 0.6488327
800.0, 0.64971876
810.0, 0.65058917
820.0, 0.6514444
830.0, 0.65228474
840.0, 0.65311074
850.0, 0.6539228
860.0, 0.65472114
870.0, 0.6555063
880.0, 0.65627855
890.0, 0.6570382
900.0, 0.6577857
910.0, 0.65852123
920.0, 0.65924513
930.0, 0.6599577
940.0, 0.66065925
950.0, 0.6613501
960.0, 0.6620303
970.0, 0.6627003
980.0, 0.6633603
990.0, 0.66401047
1000.0, 0.6646511
1010.0, 0.6645283
1020.0, 0.6644057
1030.0, 0.66428334
