Energy (in eV), SEEP yield of material sc2k-NASCAP at incidence 90.0 degree
   X,       Y
57400.0, 705.0757
57600.0, 705.81165
57800.0, 710.6054
58000.0, 711.3394
58200.0, 716.13916
58400.0, 716.87115
58600.0, 717.60004
58800.0, 722.4071
59000.0, 723.13385
59200.0, 727.9472
59400.0, 728.67194
59600.0, 733.4912
59800.0, 734.2138
60000.0, 734.9333
60200.0, 739.7596
60400.0, 740.4772
60600.0, 745.30945
60800.0, 746.0248
61000.0, 750.86285
61200.0, 751.5762
61400.0, 752.2866
61600.0, 757.13135
61800.0, 757.83966
62000.0, 762.6901
62200.0, 763.39636
62400.0, 764.0998
62600.0, 768.9566
62800.0, 769.658
63000.0, 774.5203
63200.0, 775.2197
63400.0, 780.08765
63600.0, 780.7848
63800.0, 781.4793
64000.0, 786.35345
64200.0, 787.0458
64400.0, 791.92535
64600.0, 792.6156
64800.0, 797.5003
65000.0, 798.1886
65200.0, 798.8741
65400.0, 803.76495
65600.0, 804.4484
65800.0, 809.3443
66000.0, 810.0257
66200.0, 810.7043
66400.0, 815.606
66600.0, 816.28265
66800.0, 821.18945
67000.0, 821.8641
67200.0, 826.7757
67400.0, 827.44836
67600.0, 828.11816
67800.0, 833.03546
68000.0, 833.70337
68200.0, 838.62555
68400.0, 839.2914
68600.0, 844.2183
68800.0, 844.8821
69000.0, 845.5433
69200.0, 850.4755
69400.0, 851.1347
69600.0, 856.0715
69800.0, 856.72876
70000.0, 857.38324
70200.0, 862.3255
70400.0, 862.97815
70600.0, 867.9246
70800.0, 868.5753
71000.0, 873.52625
71200.0, 874.175
71400.0, 874.821
71600.0, 879.7771
71800.0, 880.4211
72000.0, 885.3815
72200.0, 886.0236
72400.0, 886.66315
72600.0, 891.6284
72800.0, 892.2659
73000.0, 897.23553
73200.0, 897.87115
73400.0, 902.8448
73600.0, 903.4784
73800.0, 904.10956
74000.0, 909.0878
74200.0, 909.717
74400.0, 914.69946
74600.0, 915.3266
74800.0, 920.31305
75000.0, 920.93835
75200.0, 921.5611
75400.0, 926.55206
75600.0, 927.1728
75800.0, 932.16766
76000.0, 932.78644
76200.0, 933.40314
76400.0, 938.4021
76600.0, 939.0167
76800.0, 944.01965
77000.0, 944.6322
77200.0, 949.63885
77400.0, 950.2496
77600.0, 950.85785
77800.0, 955.86865
78000.0, 956.47504
78200.0, 961.48944
78400.0, 962.0939
78600.0, 967.1119
78800.0, 967.7145
79000.0, 968.3145
79200.0, 973.3366
79400.0, 973.93494
79600.0, 978.96045
79800.0, 979.5569
80000.0, 980.15063
80200.0, 985.1801
80400.0, 985.77234
80600.0, 990.8052
80800.0, 991.3953
81000.0, 996.4315
81200.0, 997.0197
81400.0, 997.60565
81600.0, 1002.64557
81800.0, 1003.2296
82000.0, 1008.27277
82200.0, 1008.85504
82400.0, 1009.4349
82600.0, 1014.4816
82800.0, 1015.0596
83000.0, 1020.10944
83200.0, 1020.68567
83400.0, 1025.7389
83600.0, 1026.313
83800.0, 1026.8851
84000.0, 1031.9415
84200.0, 1032.5117
84400.0, 1037.5712
84600.0, 1038.1395
84800.0, 1043.2021
85000.0, 1043.7686
85200.0, 1044.3326
85400.0, 1049.3986
85600.0, 1049.9609
85800.0, 1055.0297
86000.0, 1055.5901
86200.0, 1056.1483
86400.0, 1061.2203
86600.0, 1061.7766
86800.0, 1066.8517
87000.0, 1067.4059
87200.0, 1072.4838
87400.0, 1073.0364
87600.0, 1073.5868
87800.0, 1078.6675
88000.0, 1079.2162
88200.0, 1084.2997
88400.0, 1084.8464
88600.0, 1089.9326
88800.0, 1090.4774
89000.0, 1091.0203
89200.0, 1096.1093
89400.0, 1096.6503
89600.0, 1101.7421
89800.0, 1102.2811
90000.0, 1102.8182
90200.0, 1107.9127
90400.0, 1108.4478
90600.0, 1113.5449
90800.0, 1114.0781
91000.0, 1119.1776
91200.0, 1119.7092
91400.0, 1120.2389
91600.0, 1125.341
91800.0, 1125.8685
92000.0, 1130.9731
92200.0, 1131.4989
92400.0, 1136.606
92600.0, 1137.1301
92800.0, 1137.6521
93000.0, 1142.7615
93200.0, 1143.2817
93400.0, 1148.3934
93600.0, 1148.9117
93800.0, 1149.4282
94000.0, 1154.5424
94200.0, 1155.057
94400.0, 1160.1736
94600.0, 1160.6864
94800.0, 1165.8052
95000.0, 1166.3162
95200.0, 1166.8252
95400.0, 1171.9462
95600.0, 1172.4532
95800.0, 1177.5765
96000.0, 1178.0819
96200.0, 1183.2074
96400.0, 1183.7108
96600.0, 1184.2124
96800.0, 1189.3401
97000.0, 1189.84
97200.0, 1194.9695
97400.0, 1195.4675
97600.0, 1195.9639
97800.0, 1201.0955
98000.0, 1201.59
98200.0, 1206.7235
98400.0, 1207.2162
98600.0, 1212.3519
98800.0, 1212.8427
99000.0, 1213.3317
99200.0, 1218.4694
99400.0, 1218.9564
99600.0, 1224.096
99800.0, 1224.5814
100000.0, 1229.7229
