Time (s), esn 6 surface potential difference wrt to esn ground(V)
10.442997, -42.71783
20.983475, -123.06928
32.641376, -208.85986
49.23741, -301.34442
68.72825, -419.1091
79.26487, -510.47925
117.57017, -715.84296
128.20407, -778.11945
142.90712, -850.64874
210.2775, -1207.1367
221.10936, -1242.0153
231.47845, -1303.9196
322.2836, -1653.761
335.1345, -1724.2283
416.29874, -2026.3638
428.19492, -2058.4246
512.8701, -2337.0366
524.379, -2364.7212
602.626, -2594.02
686.9368, -2792.1467
786.9368, -3050.0151
886.9368, -3272.5264
986.9368, -3477.3467
1086.9369, -3668.2998
