Time (s), variation of the average surface potential of esn 6 (s-1.V)
10.442997, -26.963387
20.983475, -24.372036
32.641376, -24.290573
49.23741, -21.64397
68.72825, -29.002363
79.26487, -26.2412
117.57017, -14.318655
128.20407, -58.102283
142.90712, -16.964954
210.2775, -10.767083
221.10936, -65.711006
231.47845, -20.109827
322.2836, -10.3707
335.1345, -51.941437
416.29874, -7.783474
428.19492, -36.365017
512.8701, -7.200338
524.379, -47.7274
602.626, -6.9801784
686.9368, -9.98941
786.9368, -6.0797753
886.9368, -6.3768163
986.9368, -6.416611
1086.9369, -6.167539
