Time (s), variation of the average surface potential of esn 4 (s-1.V)
10.442997, -19.731277
20.983475, -17.485247
32.641376, -17.583614
49.23741, -15.149217
68.72825, -22.765106
79.26487, -20.270235
117.57017, -8.629044
128.20407, -52.580692
142.90712, -11.627851
210.2775, -5.817823
221.10936, -60.78271
231.47845, -15.612121
322.2836, -6.1775694
335.1345, -48.001602
416.29874, -4.2373333
428.19492, -32.859917
512.8701, -4.023792
524.379, -44.53296
602.626, -4.165772
686.9368, -7.3944926
786.9368, -3.7075536
886.9368, -4.1517043
986.9368, -4.3684278
1086.9369, -4.2580566
