Time (s), esn 7 surface potential difference wrt to esn ground(V)
10.442997, -17.26993
20.983475, -52.78179
32.641376, -88.412674
49.23741, -117.61059
68.72825, -162.01079
79.26487, -193.42049
117.57017, -255.01955
128.20407, -281.4526
142.90712, -305.653
210.2775, -430.98804
221.10936, -441.23172
231.47845, -469.38333
322.2836, -761.17426
335.1345, -797.43024
416.29874, -885.2178
428.19492, -890.62445
512.8701, -955.6929
524.379, -960.49664
602.626, -1020.73975
686.9368, -1043.9233
786.9368, -1052.2505
886.9368, -1083.7148
986.9368, -1101.3027
1086.9369, -1113.9941
