Energy (in eV), SEEE yield of material osr2k-NASCAP at incidence 90.0 degree
   X,       Y
2790.0, 2.521038
2800.0, 2.5141046
2810.0, 2.5072117
2820.0, 2.5003595
2830.0, 2.4935477
2840.0, 2.4867754
2850.0, 2.480043
2860.0, 2.4733493
2870.0, 2.4666946
2880.0, 2.4600782
2890.0, 2.4535
2900.0, 2.4469593
2910.0, 2.4404564
2920.0, 2.4339905
2930.0, 2.427561
2940.0, 2.4211686
2950.0, 2.4148118
2960.0, 2.4084914
2970.0, 2.402206
2980.0, 2.395956
2990.0, 2.389741
3000.0, 2.3835607
