Energy (in eV), backscattering yield of material bk2k-NASCAP at incidence 70.0 degree
   X,       Y
2730.0, 0.47455004
2740.0, 0.47438392
2750.0, 0.474218
2760.0, 0.4740523
2770.0, 0.47388685
2780.0, 0.47372162
2790.0, 0.47355658
2800.0, 0.47339177
2810.0, 0.47322717
2820.0, 0.4730628
2830.0, 0.47289866
2840.0, 0.47273472
2850.0, 0.47257102
2860.0, 0.47240752
2870.0, 0.47224423
2880.0, 0.47208118
2890.0, 0.47191834
2900.0, 0.4717557
2910.0, 0.47159332
2920.0, 0.47143114
2930.0, 0.47126913
2940.0, 0.4711074
2950.0, 0.47094584
2960.0, 0.47078452
2970.0, 0.47062343
2980.0, 0.47046253
2990.0, 0.47030184
3000.0, 0.4701414
3010.0, 0.46998116
3020.0, 0.46982113
3030.0, 0.46966133
3040.0, 0.4695017
3050.0, 0.46934232
3060.0, 0.46918318
3070.0, 0.4690242
3080.0, 0.46886545
3090.0, 0.46870694
3100.0, 0.46854863
3110.0, 0.46839052
3120.0, 0.46823263
3130.0, 0.46807498
3140.0, 0.4679175
3150.0, 0.46776026
3160.0, 0.46760324
3170.0, 0.4674464
3180.0, 0.4672898
3190.0, 0.4671334
3200.0, 0.4669772
3210.0, 0.46682122
3220.0, 0.46666548
3230.0, 0.46650994
3240.0, 0.46635458
3250.0, 0.46619946
3260.0, 0.46604455
3270.0, 0.46588984
3280.0, 0.46573535
3290.0, 0.46558106
3300.0, 0.46542698
3310.0, 0.4652731
3320.0, 0.46511948
3330.0, 0.46496603
3340.0, 0.4648128
3350.0, 0.46465975
3360.0, 0.46450692
3370.0, 0.46435434
3380.0, 0.46420193
3390.0, 0.46404973
3400.0, 0.46389776
3410.0, 0.46374598
3420.0, 0.4635944
3430.0, 0.46344304
3440.0, 0.46329188
3450.0, 0.46314096
3460.0, 0.46299022
3470.0, 0.4628397
3480.0, 0.46268937
3490.0, 0.46253923
3500.0, 0.46238932
3510.0, 0.46223962
3520.0, 0.46209013
3530.0, 0.46194082
3540.0, 0.46179175
3550.0, 0.46164286
3560.0, 0.46149418
3570.0, 0.4613457
3580.0, 0.46119744
3590.0, 0.46104938
3600.0, 0.46090153
3610.0, 0.4607539
3620.0, 0.46060643
3630.0, 0.4604592
3640.0, 0.46031216
3650.0, 0.4601653
3660.0, 0.46001866
3670.0, 0.45987225
3680.0, 0.459726
3690.0, 0.45957997
3700.0, 0.45943418
3710.0, 0.45928854
3720.0, 0.45914313
3730.0, 0.45899794
3740.0, 0.45885292
3750.0, 0.4587081
3760.0, 0.45856348
3770.0, 0.45841908
3780.0, 0.45827487
3790.0, 0.45813087
3800.0, 0.45798707
3810.0, 0.45784345
3820.0, 0.45770004
3830.0, 0.45755684
3840.0, 0.45741385
3850.0, 0.45727104
3860.0, 0.45712844
3870.0, 0.45698604
3880.0, 0.45684382
3890.0, 0.45670182
3900.0, 0.45656002
3910.0, 0.45641842
3920.0, 0.456277
3930.0, 0.4561358
3940.0, 0.45599478
3950.0, 0.45585397
3960.0, 0.45571336
3970.0, 0.45557293
3980.0, 0.4554327
3990.0, 0.45529267
4000.0, 0.45515287
4010.0, 0.45501322
4020.0, 0.4548738
4030.0, 0.45473456
4040.0, 0.4545955
4050.0, 0.45445666
4060.0, 0.45431802
4070.0, 0.45417958
4080.0, 0.4540413
4090.0, 0.45390326
4100.0, 0.4537654
4110.0, 0.4536277
4120.0, 0.45349026
4130.0, 0.45335296
4140.0, 0.45321587
4150.0, 0.453079
4160.0, 0.45294228
4170.0, 0.45280576
4180.0, 0.45266947
4190.0, 0.45253333
4200.0, 0.45239744
4210.0, 0.4522617
4220.0, 0.45212615
4230.0, 0.4519908
4240.0, 0.45185566
4250.0, 0.4517207
4260.0, 0.45158595
4270.0, 0.45145136
4280.0, 0.45131698
4290.0, 0.45118278
4300.0, 0.4510488
4310.0, 0.45091498
4320.0, 0.45078135
4330.0, 0.45064792
4340.0, 0.4505147
4350.0, 0.45038164
4360.0, 0.4502488
4370.0, 0.45011613
4380.0, 0.44998366
4390.0, 0.44985136
4400.0, 0.44971928
4410.0, 0.44958737
4420.0, 0.44945565
4430.0, 0.44932413
4440.0, 0.4491928
4450.0, 0.44906163
4460.0, 0.44893068
4470.0, 0.4487999
4480.0, 0.4486693
4490.0, 0.44853893
4500.0, 0.44840872
4510.0, 0.4482787
4520.0, 0.44814885
4530.0, 0.4480192
4540.0, 0.44788975
4550.0, 0.44776046
4560.0, 0.4476314
