Energy (in eV), backscattering yield of material gr2k-NASCAP at incidence 70.0 degree
   X,       Y
0.0, 0.0
10.0, 0.0
20.0, 0.0
30.0, 0.0
40.0, 0.0
50.0, 0.0
60.0, 0.2071456
70.0, 0.25533646
80.0, 0.28614074
90.0, 0.30875802
100.0, 0.32653603
110.0, 0.34110686
120.0, 0.35339633
130.0, 0.36398193
140.0, 0.3732485
150.0, 0.3814652
160.0, 0.3888277
170.0, 0.3954826
180.0, 0.4015423
190.0, 0.407095
200.0, 0.41221103
210.0, 0.41694736
220.0, 0.4213508
230.0, 0.4254601
240.0, 0.4293079
250.0, 0.43292174
260.0, 0.43632516
270.0, 0.43953842
280.0, 0.44257906
290.0, 0.44546235
300.0, 0.44820166
310.0, 0.45080885
320.0, 0.4532943
330.0, 0.45566732
340.0, 0.45793623
350.0, 0.46010843
360.0, 0.4621906
370.0, 0.4641888
380.0, 0.46610847
390.0, 0.46795455
400.0, 0.46973166
410.0, 0.4714438
420.0, 0.47309485
430.0, 0.47468826
440.0, 0.47622713
450.0, 0.47771454
460.0, 0.4791531
470.0, 0.48054534
480.0, 0.48189366
490.0, 0.48320016
500.0, 0.48446685
510.0, 0.4856956
520.0, 0.4868882
530.0, 0.48804626
540.0, 0.4891713
550.0, 0.49026477
560.0, 0.49132803
570.0, 0.4923623
580.0, 0.4933688
590.0, 0.49434865
600.0, 0.4953029
610.0, 0.49623254
620.0, 0.4971385
630.0, 0.4980217
640.0, 0.49888295
650.0, 0.49972308
660.0, 0.5005428
670.0, 0.50134295
680.0, 0.502124
690.0, 0.50288683
700.0, 0.5036319
710.0, 0.50435984
720.0, 0.5050712
730.0, 0.5057666
740.0, 0.5064464
750.0, 0.5071112
760.0, 0.5077614
770.0, 0.5083975
780.0, 0.5090199
790.0, 0.509629
800.0, 0.51022524
810.0, 0.5108089
820.0, 0.51138043
830.0, 0.51194006
840.0, 0.51248825
850.0, 0.5130253
860.0, 0.5135514
870.0, 0.51406693
880.0, 0.5145722
890.0, 0.5150674
900.0, 0.5155529
910.0, 0.5160288
920.0, 0.51649547
930.0, 0.51695305
940.0, 0.5174019
950.0, 0.51784205
960.0, 0.5182739
970.0, 0.51869756
980.0, 0.5191132
990.0, 0.51952106
1000.0, 0.51992124
1010.0, 0.5197243
1020.0, 0.51952755
1030.0, 0.5193311
