Time (s), variation of the average surface potential of esn 3 (s-1.V)
10.442997, -17.991234
20.983475, -14.931248
32.641376, -16.258774
49.23741, -13.7652445
68.72825, -20.952341
79.26487, -20.443075
117.57017, -6.2683325
128.20407, -50.337624
142.90712, -9.95145
210.2775, -4.0238943
221.10936, -57.586933
231.47845, -13.46889
322.2836, -4.5183353
335.1345, -44.655247
416.29874, -2.6215894
428.19492, -31.333979
512.8701, -3.1270287
524.379, -42.111694
602.626, -2.2809393
686.9368, -9.212686
786.9368, -2.675879
886.9368, -5.1264796
986.9368, -3.0415576
1086.9369, -5.249785
