#    time,   allPop,  allPop,  allPop,  allPop,  allPop,  allPop,  allPop,  allPop,  allPop, ions1, ions1, ions1, ions1, ions1, ions1, ions1, ions1, ions1, elec1, elec1, elec1, elec1, elec1, elec1, elec1, elec1, elec1, photoElec, photoElec, photoElec, photoElec, photoElec, photoElec, photoElec, photoElec, photoElec, secondElec True from ambiant electrons, secondElec True from ambiant electrons, secondElec True from ambiant electrons, secondElec True from ambiant electrons, secondElec True from ambiant electrons, secondElec True from ambiant electrons, secondElec True from ambiant electrons, secondElec True from ambiant electrons, secondElec True from ambiant electrons, secondElec BS from ambiant electrons, secondElec BS from ambiant electrons, secondElec BS from ambiant electrons, secondElec BS from ambiant electrons, secondElec BS from ambiant electrons, secondElec BS from ambiant electrons, secondElec BS from ambiant electrons, secondElec BS from ambiant electrons, secondElec BS from ambiant electrons, secondElec from ambiant protons, secondElec from ambiant protons, secondElec from ambiant protons, secondElec from ambiant protons, secondElec from ambiant protons, secondElec from ambiant protons, secondElec from ambiant protons, secondElec from ambiant protons, secondElec from ambiant protons, 
#        ,   allNodes,  node0,  node1,  node2,  node3,  node4,  node5,  node6,  node7,  allNodes,  node0,  node1,  node2,  node3,  node4,  node5,  node6,  node7,  allNodes,  node0,  node1,  node2,  node3,  node4,  node5,  node6,  node7,  allNodes,  node0,  node1,  node2,  node3,  node4,  node5,  node6,  node7,  allNodes,  node0,  node1,  node2,  node3,  node4,  node5,  node6,  node7,  allNodes,  node0,  node1,  node2,  node3,  node4,  node5,  node6,  node7,  allNodes,  node0,  node1,  node2,  node3,  node4,  node5,  node6,  node7, 
118.03845, -0.0021936393, -2.2875734E-4, -2.424461E-5, -4.518269E-6, -2.6850874E-5, -4.470078E-5, -0.0016752237, -1.6204375E-4, -2.73E-5, 4.7311596E-6, 5.3826153E-7, 2.1819024E-7, 3.6518667E-8, 7.6143124E-8, 3.439042E-7, 1.636907E-6, 1.7024357E-6, 1.7879921E-7, -5.06496E-4, -6.0781313E-5, -2.4103325E-5, -4.3120826E-6, -9.7219045E-6, -3.8856455E-5, -1.8590168E-4, -1.6328378E-4, -1.9535424E-5, -0.0012650711, -1.5082213E-4, -2.3982018E-8, 0.0, -1.4404076E-5, -6.0830945E-7, -0.0010930572, 0.0, -6.155446E-6, -4.11259E-4, -1.4217478E-5, -2.8361774E-7, -2.3147797E-7, -7.800191E-7, -7.180115E-8, -3.9365137E-4, -4.1837328E-7, -1.6048696E-6, -9.422978E-6, -2.149042E-6, 0.0, 0.0, -1.8231614E-6, -5.4507755E-6, 0.0, 0.0, 0.0, -6.1213364E-6, -1.3256355E-6, -5.1874114E-8, -1.1227166E-8, -1.9785378E-7, -5.73403E-8, -4.250313E-6, -4.403406E-8, -1.8305833E-7, 
120.254196, -0.0020748072, -2.2022039E-4, -2.399598E-5, -4.351081E-6, -1.9497738E-5, -3.9533625E-5, -0.0015794398, -1.605229E-4, -2.724527E-5, 4.768186E-6, 5.428282E-7, 2.1718847E-7, 3.6041584E-8, 7.430082E-8, 3.3629556E-7, 1.6570451E-6, 1.7235068E-6, 1.8097964E-7, -4.993674E-4, -5.9906793E-5, -2.378287E-5, -4.2544475E-6, -9.592744E-6, -3.833986E-5, -1.8319374E-4, -1.6102815E-4, -1.9268879E-5, -0.0012020707, -1.4604988E-4, -7.089757E-9, 0.0, -8.103497E-6, -5.569736E-7, -0.0010411146, 0.0, -6.2387103E-6, -3.6835027E-4, -1.2812255E-5, -1.5416339E-7, -1.12449996E-7, -9.511057E-7, -1.2508151E-7, -3.5263388E-4, -3.2631752E-7, -1.2349799E-6, -3.8738003E-6, -7.412079E-7, -2.375253E-7, 0.0, -6.866439E-7, -7.8534583E-7, 0.0, -8.5658047E-7, -5.664972E-7, -5.912764E-6, -1.2530627E-6, -3.151787E-8, -2.0224741E-8, -2.3804814E-7, -6.2665116E-8, -4.154691E-6, -3.5369123E-8, -1.1718545E-7, 
134.8536, -0.002001299, -2.0727783E-4, -2.3245353E-5, -4.3243367E-6, -1.8191171E-5, -3.8036163E-5, -0.0015288567, -1.5661228E-4, -2.4754625E-5, 4.791227E-6, 5.446415E-7, 2.2070839E-7, 3.588357E-8, 7.54091E-8, 3.391328E-7, 1.6559719E-6, 1.737222E-6, 1.8225757E-7, -4.8977317E-4, -5.872026E-5, -2.3342007E-5, -4.1741087E-6, -9.428353E-6, -3.7629146E-5, -1.8004561E-4, -1.5755095E-4, -1.8882722E-5, -0.0011588016, -1.3558521E-4, -1.1894849E-8, 0.0, -7.17018E-6, -5.329442E-7, -0.0010107013, 0.0, -4.800137E-6, -3.5042592E-4, -1.1636463E-5, -9.258301E-8, -1.6464027E-7, -1.0268236E-6, -1.5725387E-7, -3.3593562E-4, -2.9755842E-7, -1.1150211E-6, -1.6034286E-6, -7.6384225E-7, 0.0, 0.0, -3.6656317E-7, 0.0, 0.0, -4.7302305E-7, 0.0, -5.4856127E-6, -1.1167143E-6, -1.9574236E-8, -2.147116E-8, -2.746613E-7, -5.5948803E-8, -3.8302646E-6, -2.7975723E-8, -1.3900323E-7, 
142.90712, -0.0019357384, -2.0383902E-4, -2.3646697E-5, -4.1675353E-6, -1.7899514E-5, -3.8874114E-5, -0.0014696864, -1.5369772E-4, -2.3927269E-5, 4.816818E-6, 5.4737393E-7, 2.181984E-7, 3.6395598E-8, 7.603168E-8, 3.4113626E-7, 1.6739203E-6, 1.7415869E-6, 1.8217509E-7, -4.8134668E-4, -5.770998E-5, -2.2948587E-5, -4.1008543E-6, -9.283127E-6, -3.6994927E-5, -1.7754365E-4, -1.5422462E-4, -1.8540892E-5, -0.0011162132, -1.3358532E-4, -1.9410017E-8, 0.0, -7.41123E-6, -5.5129004E-7, -9.7017095E-4, 0.0, -4.4748144E-6, -3.3265448E-4, -1.1231105E-5, -1.0628192E-7, -1.00459054E-7, -1.0236864E-6, -2.2988448E-8, -3.188654E-4, -3.4136252E-7, -9.631965E-7, -4.8302695E-6, -7.0237553E-7, -7.698434E-7, 0.0, 0.0, -1.5844727E-6, -9.15851E-7, -8.521362E-7, -5.5907483E-9, -5.5106266E-6, -1.1576395E-6, -2.0774753E-8, -2.6174967E-9, -2.575019E-7, -6.156512E-8, -3.864354E-6, -2.1223144E-8, -1.249507E-7, 
210.2775, -0.0018817062, -2.182706E-4, -2.3921568E-5, -4.061594E-6, -1.8470939E-5, -3.7272206E-5, -0.0014034348, -1.5175149E-4, -2.4522997E-5, 4.85062E-6, 5.541799E-7, 2.1844427E-7, 3.5987558E-8, 7.7226474E-8, 3.4517953E-7, 1.6778125E-6, 1.7605254E-6, 1.8126438E-7, -4.7918851E-4, -5.74224E-5, -2.2840804E-5, -4.080467E-6, -9.248781E-6, -3.682117E-5, -1.7734533E-4, -1.5299288E-4, -1.8436685E-5, -0.0010691525, -1.408498E-4, -3.879803E-9, 0.0, -8.087107E-6, -5.212155E-7, -9.148525E-4, 0.0, -4.837927E-6, -3.2480326E-4, -1.2321387E-5, -1.1077377E-7, 0.0, -9.412159E-7, -2.3927706E-7, -3.0940567E-4, -4.5821767E-7, -1.3267013E-6, -8.228173E-6, -7.0606334E-6, -1.16754E-6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -5.1843726E-6, -1.1705442E-6, -1.7015857E-8, -1.711482E-8, -2.710607E-7, -3.5722845E-8, -3.5090452E-6, -6.092154E-8, -1.0294751E-7, 
210.52135, -0.00234044, -2.303261E-4, -2.3261802E-5, -4.199194E-6, -2.5788178E-5, -3.6092566E-5, -0.0018506958, -1.4260576E-4, -2.7470667E-5, 4.8793836E-6, 5.5631244E-7, 2.2234467E-7, 3.751038E-8, 7.565078E-8, 3.4935653E-7, 1.6701247E-6, 1.7832392E-6, 1.8484526E-7, -4.6611743E-4, -5.5866065E-5, -2.210682E-5, -3.943368E-6, -9.038565E-6, -3.5637917E-5, -1.7775051E-4, -1.4407263E-4, -1.7701559E-5, -0.0014428525, -1.5950127E-4, -8.882219E-9, 0.0, -1.5320855E-5, -6.0999537E-7, -0.0012601949, 0.0, -7.2165017E-6, -4.2755296E-4, -1.3592048E-5, -2.1647442E-7, -2.5507137E-7, -1.1405915E-6, -1.3869733E-7, -4.0939145E-4, -2.710748E-7, -2.5475254E-6, -1.676272E-6, -5.5443456E-7, -1.1218374E-6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -7.120522E-6, -1.3686156E-6, -3.0129357E-8, -3.826461E-8, -3.6381843E-7, -5.531145E-8, -5.0291724E-6, -4.5284768E-8, -1.8992507E-7, 
210.78894, -0.0021276479, -2.1917654E-4, -2.3136776E-5, -4.0309164E-6, -2.1920408E-5, -3.8675422E-5, -0.0016545756, -1.4177301E-4, -2.4358791E-5, 4.9078703E-6, 5.587433E-7, 2.2593038E-7, 3.6049308E-8, 7.83924E-8, 3.4836577E-7, 1.6832128E-6, 1.789829E-6, 1.8734728E-7, -4.627614E-4, -5.543468E-5, -2.1953507E-5, -3.91592E-6, -8.981023E-6, -3.5390764E-5, -1.7650746E-4, -1.430027E-4, -1.7575348E-5, -0.0012817916, -1.5079229E-4, -7.1006414E-9, 0.0, -1.1527045E-5, -5.8857665E-7, -0.0011131093, 0.0, -5.767298E-6, -3.777856E-4, -1.2204159E-5, -2.0292224E-7, -1.2032335E-7, -1.2114272E-6, -1.4702155E-7, -3.623362E-4, -5.3519784E-7, -1.0283256E-6, -3.9953798E-6, 0.0, -1.1541405E-6, 0.0, 0.0, -2.8412392E-6, 0.0, 0.0, 0.0, -6.2214485E-6, -1.304175E-6, -4.5036902E-8, -3.072281E-8, -2.7930633E-7, -5.6182248E-8, -4.30594E-6, -2.4919453E-8, -1.7516577E-7, 
211.24965, -0.002100655, -2.1940298E-4, -2.1814278E-5, -4.160687E-6, -1.9806625E-5, -3.5557718E-5, -0.0016349118, -1.4098693E-4, -2.4014109E-5, 4.9117075E-6, 5.542603E-7, 2.2731045E-7, 3.7021323E-8, 7.5546446E-8, 3.42414E-7, 1.6887332E-6, 1.7988494E-6, 1.8757201E-7, -4.6084696E-4, -5.519938E-5, -2.1868042E-5, -3.900632E-6, -8.947673E-6, -3.5253E-5, -1.757524E-4, -1.4242076E-4, -1.7505077E-5, -0.0012758754, -1.5017968E-4, -1.7329215E-8, 0.0, -9.373025E-6, -5.551741E-7, -0.0011103055, 0.0, -5.4446186E-6, -3.617677E-4, -1.276768E-5, -1.340264E-7, -2.898108E-7, -1.196085E-6, -2.7416132E-8, -3.4596334E-4, -3.3396773E-7, -1.0553631E-6, -5.396568E-7, -5.396568E-7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -6.5372483E-6, -1.2708637E-6, -2.2192108E-8, -7.265625E-9, -3.653871E-7, -6.4544544E-8, -4.5793095E-6, -3.1065884E-8, -1.9661948E-7, 
211.72522, -0.002098999, -2.1556595E-4, -2.2839218E-5, -4.059865E-6, -1.8084274E-5, -3.587762E-5, -0.0016378828, -1.4055592E-4, -2.4133195E-5, 4.9189684E-6, 5.513424E-7, 2.2316817E-7, 3.765032E-8, 7.963165E-8, 3.5484842E-7, 1.6878597E-6, 1.7972582E-6, 1.8720974E-7, -4.5829065E-4, -5.4887383E-5, -2.1751934E-5, -3.879802E-6, -8.900934E-6, -3.5065827E-5, -1.747608E-4, -1.4163395E-4, -1.7410031E-5, -0.0012619976, -1.461325E-4, -5.2434372E-9, 0.0, -7.838699E-6, -5.5311483E-7, -0.0011019708, 0.0, -5.4973216E-6, -3.7330049E-4, -1.20312325E-5, -1.431177E-7, -1.9059605E-7, -1.1403931E-6, -2.7325314E-8, -3.5834883E-4, -1.6423274E-7, -1.2547385E-6, -3.8175617E-6, -1.6086111E-6, -1.1370008E-6, 0.0, 0.0, -5.408837E-7, 0.0, -5.310659E-7, 0.0, -6.511485E-6, -1.4575481E-6, -2.5090912E-8, -2.7117707E-8, -2.8388118E-7, -4.5317677E-8, -4.490278E-6, -2.3938389E-8, -1.5831368E-7, 
212.20938, -0.002075139, -2.1426666E-4, -2.1580308E-5, -4.058935E-6, -1.7670078E-5, -3.5121713E-5, -0.0016192136, -1.392397E-4, -2.3988081E-5, 4.9235473E-6, 5.653611E-7, 2.2540434E-7, 3.7720508E-8, 7.763421E-8, 3.4815358E-7, 1.6787501E-6, 1.8037409E-6, 1.8678234E-7, -4.554771E-4, -5.4549007E-5, -2.1625343E-5, -3.8571243E-6, -8.850082E-6, -3.4861772E-5, -1.7364709E-4, -1.4078006E-4, -1.7306631E-5, -0.0012489392, -1.4426283E-4, -5.4808886E-9, 0.0, -7.6204647E-6, -5.366546E-7, -0.0010910511, 0.0, -5.4626503E-6, -3.664811E-4, -1.1829067E-5, -1.5096032E-7, -2.1437646E-7, -9.742866E-7, -1.2551948E-19, -3.518303E-4, -2.4047117E-7, -1.2416589E-6, -2.9099901E-6, -2.9099901E-6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -6.255275E-6, -1.2811495E-6, -2.392796E-8, -2.5155066E-8, -3.0287785E-7, -7.144136E-8, -4.363897E-6, -2.290378E-8, -1.6392245E-7, 
