#    time,   allInteract,  allInteract,  allInteract,  allInteract,  allInteract,  allInteract,  allInteract,  allInteract,  allInteract, 0-photoemission, 0-photoemission, 0-photoemission, 0-photoemission, 0-photoemission, 0-photoemission, 0-photoemission, 0-photoemission, 0-photoemission, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 
#        ,   allNodes,  node0,  node1,  node2,  node3,  node4,  node5,  node6,  node7,  allNodes,  node0,  node1,  node2,  node3,  node4,  node5,  node6,  node7,  allNodes,  node0,  node1,  node2,  node3,  node4,  node5,  node6,  node7,  allNodes,  node0,  node1,  node2,  node3,  node4,  node5,  node6,  node7, 
118.03845, -0.0019348194, -2.0292806E-4, -1.159783E-5, -4.0867412E-6, -1.9104082E-5, -1.4411623E-5, -0.0015852591, -7.616242E-5, -2.1269449E-5, -0.0013343339, -1.605437E-4, -2.3596435E-7, 0.0, -1.683278E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -5.819884E-4, -3.980647E-5, -1.0133111E-5, -3.9054235E-6, -1.9341733E-6, -8.3663435E-6, -4.4098523E-4, -6.8645E-5, -8.212749E-6, -1.8496836E-5, -2.5779098E-6, -1.2287555E-6, -1.8131767E-7, -3.371278E-7, -1.4664969E-6, -4.357288E-6, -7.517421E-6, -8.305202E-7, 
120.254196, -0.0019263834, -2.0231746E-4, -1.1175852E-5, -4.024535E-6, -1.9071653E-5, -1.42777435E-5, -0.0015790032, -7.534005E-5, -2.1172624E-5, -0.001334334, -1.605437E-4, -2.3596435E-7, 0.0, -1.683278E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -5.7360757E-4, -3.9233746E-5, -9.998386E-6, -3.853223E-6, -1.9084766E-6, -8.255115E-6, -4.345613E-4, -6.769672E-5, -8.100694E-6, -1.8441493E-5, -2.5400375E-6, -9.414998E-7, -1.7131202E-7, -3.3039765E-7, -1.443845E-6, -4.5253146E-6, -7.643337E-6, -8.4574924E-7, 
134.8536, -0.0019161018, -2.0156645E-4, -1.1015927E-5, -3.9562337E-6, -1.9028714E-5, -1.4143364E-5, -0.0015714022, -7.3971656E-5, -2.1017635E-5, -0.0013343339, -1.605437E-4, -2.3596435E-7, 0.0, -1.683278E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -5.632948E-4, -3.8456663E-5, -9.813049E-6, -3.7804612E-6, -1.8757711E-6, -8.10209E-6, -4.2709353E-4, -6.623489E-5, -7.938351E-6, -1.8473456E-5, -2.5660904E-6, -9.669143E-7, -1.7577254E-7, -3.201627E-7, -1.462491E-6, -4.3921505E-6, -7.736768E-6, -8.531067E-7, 
142.90712, -0.0019076692, -2.0089852E-4, -1.086101E-5, -3.8903318E-6, -1.899603E-5, -1.4012453E-5, -0.0015655485, -7.259198E-5, -2.087026E-5, -0.0013343338, -1.605437E-4, -2.3596435E-7, 0.0, -1.6832782E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -5.5475894E-4, -3.7795027E-5, -9.6476515E-6, -3.714115E-6, -1.8468779E-6, -7.965532E-6, -4.2115862E-4, -6.483646E-5, -7.794647E-6, -1.8576296E-5, -2.559761E-6, -9.773933E-7, -1.7621642E-7, -3.1637276E-7, -1.4681399E-6, -4.473458E-6, -7.755522E-6, -8.4943355E-7, 
210.2775, -0.0019064579, -2.0071058E-4, -1.0801691E-5, -3.850673E-6, -1.8997936E-5, -1.4071558E-5, -0.0015651542, -7.205104E-5, -2.0820049E-5, -0.0013343339, -1.605437E-4, -2.3596435E-7, 0.0, -1.683278E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -5.534306E-4, -3.7606686E-5, -9.6023405E-6, -3.69565E-6, -1.8400447E-6, -7.9281235E-6, -4.2068824E-4, -6.431865E-5, -7.7508375E-6, -1.8693245E-5, -2.5601805E-6, -9.633868E-7, -1.5502287E-7, -3.251116E-7, -1.5646517E-6, -4.5494667E-6, -7.732394E-6, -8.4303116E-7, 
210.52135, -0.0019016536, -1.9963432E-4, -1.04469955E-5, -3.7511766E-6, -1.8963587E-5, -1.3785711E-5, -0.0015660323, -6.8521236E-5, -2.0518586E-5, -0.0013343339, -1.605437E-4, -2.3596435E-7, 0.0, -1.683278E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -5.485841E-4, -3.6587393E-5, -9.293769E-6, -3.571481E-6, -1.7982227E-6, -7.673355E-6, -4.2164946E-4, -6.0568575E-5, -7.4417862E-6, -1.8735998E-5, -2.5032439E-6, -9.172627E-7, -1.796954E-7, -3.3258192E-7, -1.5335742E-6, -4.4663525E-6, -7.952664E-6, -8.50623E-7, 
210.78894, -0.0018981801, -1.9946125E-4, -1.04624205E-5, -3.7168738E-6, -1.8950168E-5, -1.3689705E-5, -0.0015631784, -6.824945E-5, -2.0471689E-5, -0.0013343339, -1.605437E-4, -2.3596435E-7, 0.0, -1.683278E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -5.446959E-4, -3.63049E-5, -9.229317E-6, -3.5466207E-6, -1.7867741E-6, -7.620138E-6, -4.1870063E-4, -6.0118746E-5, -7.3887295E-6, -1.9150184E-5, -2.6126559E-6, -9.971388E-7, -1.7025295E-7, -3.3061332E-7, -1.4907845E-6, -4.561255E-6, -8.130702E-6, -8.56781E-7, 
211.24965, -0.0018957474, -1.993404E-4, -1.0391869E-5, -3.7133243E-6, -1.8942334E-5, -1.3662941E-5, -0.0015613945, -6.7848385E-5, -2.0453603E-5, -0.0013343339, -1.605437E-4, -2.3596435E-7, 0.0, -1.683278E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -5.423903E-4, -3.615078E-5, -9.193389E-6, -3.532774E-6, -1.7801392E-6, -7.5904713E-6, -4.1690946E-4, -5.9874124E-5, -7.3591877E-6, -1.9023124E-5, -2.6459188E-6, -9.625167E-7, -1.8055033E-7, -3.2941324E-7, -1.4936859E-6, -4.5685383E-6, -7.974265E-6, -8.682363E-7, 
211.72522, -0.0018927627, -1.9913322E-4, -1.0339791E-5, -3.7046173E-6, -1.8966943E-5, -1.3690856E-5, -0.0015590454, -6.745581E-5, -2.0425783E-5, -0.0013343339, -1.605437E-4, -2.3596435E-7, 0.0, -1.683278E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -5.393454E-4, -3.594646E-5, -9.144576E-6, -3.5139092E-6, -1.7708408E-6, -7.550172E-6, -4.1455688E-4, -5.9543312E-5, -7.319224E-6, -1.9083167E-5, -2.643063E-6, -9.592504E-7, -1.9070814E-7, -3.63321E-7, -1.5619015E-6, -4.572041E-6, -7.9125E-6, -8.803806E-7, 
212.20938, -0.0018893227, -1.9895483E-4, -1.030563E-5, -3.6754823E-6, -1.892876E-5, -1.35632245E-5, -0.0015564298, -6.709837E-5, -2.0366526E-5, -0.0013343339, -1.605437E-4, -2.3596435E-7, 0.0, -1.683278E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -5.359519E-4, -3.5724857E-5, -9.09136E-6, -3.4933703E-6, -1.7607238E-6, -7.506235E-6, -4.1191533E-4, -5.9184305E-5, -7.275761E-6, -1.9036705E-5, -2.686268E-6, -9.783058E-7, -1.82112E-7, -3.3525643E-7, -1.4782072E-6, -4.5979045E-6, -7.9140655E-6, -8.64586E-7, 
