Time (s), esn 6 net current (A), esn 6 collected current (A), esn 6 emitted current (A)
10.442997, -1.1130209E-4, -2.0309698E-4, -9.1794886E-5
20.983475, -1.0583042E-4, -1.9571447E-4, -8.9884044E-5
32.641376, -1.036795E-4, -1.9188196E-4, -8.8202454E-5
49.23741, -1.0005302E-4, -1.860054E-4, -8.595238E-5
68.72825, -9.608003E-5, -1.7896257E-4, -8.288253E-5
79.26487, -9.221714E-5, -1.7273889E-4, -8.052174E-5
117.57017, -8.998888E-5, -1.6913009E-4, -7.91412E-5
128.20407, -8.418256E-5, -1.5907068E-4, -7.488813E-5
142.90712, -8.189136E-5, -1.547348E-4, -7.284344E-5
210.2775, -7.970045E-5, -1.5175149E-4, -7.205104E-5
221.10936, -7.261052E-5, -1.3895238E-4, -6.634186E-5
231.47845, -6.938835E-5, -1.3433876E-4, -6.4950415E-5
322.2836, -6.9025235E-5, -1.3249152E-4, -6.346629E-5
335.1345, -5.858207E-5, -1.1662919E-4, -5.8047117E-5
416.29874, -5.7263696E-5, -1.14895396E-4, -5.76317E-5
428.19492, -5.2573138E-5, -1.06512314E-4, -5.3939173E-5
512.8701, -5.159407E-5, -1.04999395E-4, -5.3405325E-5
524.379, -4.6513705E-5, -9.6820564E-5, -5.0306862E-5
602.626, -4.5658082E-5, -9.524316E-5, -4.9585076E-5
686.9368, -4.13257E-5, -8.833825E-5, -4.701255E-5
786.9368, -3.9036095E-5, -8.45536E-5, -4.5517503E-5
886.9368, -3.66525E-5, -8.0453385E-5, -4.3800886E-5
986.9368, -3.398685E-5, -7.608626E-5, -4.209941E-5
1086.9369, -3.132315E-5, -7.196466E-5, -4.0641513E-5
