Energy (in eV), SEEP yield of material te2k-NASCAP at incidence 90.0 degree
   X,       Y
56600.0, 1265.4136
56800.0, 1273.0594
57000.0, 1274.004
57200.0, 1281.653
57400.0, 1282.591
57600.0, 1290.2429
57800.0, 1291.1744
58000.0, 1298.8295
58200.0, 1299.754
58400.0, 1307.412
58600.0, 1308.33
58800.0, 1315.991
59000.0, 1316.9023
59200.0, 1324.5659
59400.0, 1325.4708
59600.0, 1333.1371
59800.0, 1334.0354
60000.0, 1341.7042
60200.0, 1349.3767
60400.0, 1350.2676
60600.0, 1357.9424
60800.0, 1358.8265
61000.0, 1366.504
61200.0, 1367.3817
61400.0, 1375.0614
61600.0, 1375.9327
61800.0, 1383.6146
62000.0, 1384.4795
62200.0, 1392.1635
62400.0, 1393.022
62600.0, 1400.7078
62800.0, 1401.5602
63000.0, 1409.248
63200.0, 1410.094
63400.0, 1417.7838
63600.0, 1425.4767
63800.0, 1426.3152
64000.0, 1434.0098
64200.0, 1434.8419
64400.0, 1442.5382
64600.0, 1443.3643
64800.0, 1451.0621
65000.0, 1451.8818
65200.0, 1459.5813
65400.0, 1460.3948
65600.0, 1468.0958
65800.0, 1468.9032
66000.0, 1476.6056
66200.0, 1477.4069
66400.0, 1485.1106
66600.0, 1492.817
66800.0, 1493.611
67000.0, 1501.3182
67200.0, 1502.1062
67400.0, 1509.8148
67600.0, 1510.5967
67800.0, 1518.3064
68000.0, 1519.0819
68200.0, 1526.793
68400.0, 1527.5626
68600.0, 1535.2744
68800.0, 1536.038
69000.0, 1543.751
69200.0, 1544.5087
69400.0, 1552.2224
69600.0, 1559.938
69800.0, 1560.6886
70000.0, 1568.4052
70200.0, 1569.1497
70400.0, 1576.867
70600.0, 1577.6055
70800.0, 1585.3235
71000.0, 1586.0563
71200.0, 1593.7748
71400.0, 1594.5016
71600.0, 1602.2207
71800.0, 1602.9418
72000.0, 1610.6614
72200.0, 1611.3766
72400.0, 1619.0966
72600.0, 1626.8182
72800.0, 1627.5264
73000.0, 1635.2484
73200.0, 1635.951
73400.0, 1643.6733
73600.0, 1644.3699
73800.0, 1652.0924
74000.0, 1652.7833
74200.0, 1660.5061
74400.0, 1661.1915
74600.0, 1668.9142
74800.0, 1669.5938
75000.0, 1677.317
75200.0, 1685.0413
75400.0, 1685.7139
75600.0, 1693.4382
75800.0, 1694.1052
76000.0, 1701.8297
76200.0, 1702.4912
76400.0, 1710.2152
76600.0, 1710.8712
76800.0, 1718.5953
77000.0, 1719.2457
77200.0, 1726.9694
77400.0, 1727.6143
77600.0, 1735.338
77800.0, 1743.0627
78000.0, 1743.7004
78200.0, 1751.4253
78400.0, 1752.0575
78600.0, 1759.7817
78800.0, 1760.4086
79000.0, 1768.1324
79200.0, 1768.7537
79400.0, 1776.4773
79600.0, 1777.0931
79800.0, 1784.8159
80000.0, 1792.5399
80200.0, 1793.1492
80400.0, 1800.8724
