Time (s), variation of the average surface potential of esn 5 (s-1.V)
10.442997, -10.8243265
20.983475, -9.272652
32.641376, -10.036125
49.23741, -7.679796
68.72825, -17.068426
79.26487, -14.695174
117.57017, -1.8426929
128.20407, -52.986324
142.90712, -6.0378404
210.2775, 0.42888343
221.10936, -64.24861
231.47845, -12.326558
322.2836, -0.57358235
335.1345, -50.437805
416.29874, 0.23673426
428.19492, -33.48635
512.8701, -0.025170865
524.379, -48.93937
602.626, -0.7883693
686.9368, -4.894693
786.9368, -0.90972656
886.9368, -1.6634717
986.9368, -2.1393065
1086.9369, -2.3067822
