Time (s), esn 2 average surface potential (V), esn 2 ground potential (V), esn 2 min surface potential (V), esn 2 max surface potential (V)
10.442997, -115.171265, -106.54773, -115.73434, -114.920235
20.983475, -353.5713, -335.34036, -355.72552, -352.1156
32.641376, -591.2473, -565.7373, -591.99677, -590.59784
49.23741, -847.3729, -813.48975, -848.60785, -846.1584
68.72825, -1248.4281, -1203.6923, -1251.1489, -1247.2588
79.26487, -1549.626, -1489.9016, -1554.6085, -1543.949
117.57017, -1887.6561, -1809.0831, -1889.8842, -1885.744
128.20407, -2328.4414, -2243.5757, -2329.6133, -2327.356
142.90712, -2611.8103, -2516.7676, -2614.8381, -2609.858
210.2775, -3071.9138, -2956.643, -3072.8884, -3070.602
221.10936, -3565.9678, -3447.5352, -3566.507, -3565.3872
231.47845, -3839.701, -3715.874, -3842.4238, -3837.5027
322.2836, -4534.9775, -4291.347, -4633.6665, -4432.5347
335.1345, -5140.947, -4873.542, -5150.3184, -5132.141
416.29874, -5605.0625, -5298.6553, -5616.8066, -5587.606
428.19492, -5944.0024, -5633.145, -5948.916, -5939.165
512.8701, -6356.237, -6030.277, -6373.903, -6329.457
524.379, -6787.4453, -6457.279, -6791.3726, -6782.1294
602.626, -7218.418, -6868.763, -7234.0444, -7196.061
686.9368, -7822.45, -7457.2266, -7848.3306, -7785.28
786.9368, -8228.78, -7862.9614, -8268.651, -8173.9546
886.9368, -8651.672, -8278.132, -8709.358, -8551.705
986.9368, -9152.105, -8714.973, -9244.111, -9005.13
1086.9369, -9601.303, -9140.773, -9729.401, -9395.452
