Energy (in eV), SEEE yield of material te2k-NASCAP at incidence 0.0 degree
   X,       Y
2740.0, 0.7899785
2750.0, 0.78781146
2760.0, 0.78565806
2770.0, 0.783518
2780.0, 0.78139126
2790.0, 0.7792776
2800.0, 0.7771771
2810.0, 0.7750895
2820.0, 0.7730147
2830.0, 0.7709524
2840.0, 0.76890284
2850.0, 0.7668657
2860.0, 0.7648408
2870.0, 0.76282805
2880.0, 0.7608274
2890.0, 0.7588388
2900.0, 0.75686204
2910.0, 0.754897
2920.0, 0.7529436
2930.0, 0.7510017
2940.0, 0.7490713
2950.0, 0.7471522
2960.0, 0.74524426
2970.0, 0.7433475
2980.0, 0.74146175
2990.0, 0.7395869
3000.0, 0.7377228
