Energy (in eV), SEEE yield of material np2k-NASCAP at incidence 0.0 degree
   X,       Y
2300.0, 4.0584625E-10
2310.0, 3.9064393E-10
2320.0, 3.760731E-10
2330.0, 3.6210496E-10
2340.0, 3.487121E-10
2350.0, 3.3586858E-10
2360.0, 3.2354963E-10
2370.0, 3.1173183E-10
2380.0, 3.0039243E-10
2390.0, 2.8951078E-10
2400.0, 2.7906627E-10
2410.0, 2.6903968E-10
2420.0, 2.594126E-10
2430.0, 2.5016764E-10
2440.0, 2.4128807E-10
2450.0, 2.3275809E-10
2460.0, 2.2456259E-10
2470.0, 2.1668715E-10
2480.0, 2.0911808E-10
2490.0, 2.0184228E-10
2500.0, 1.9484726E-10
2510.0, 1.8812117E-10
2520.0, 1.8165262E-10
2530.0, 1.7543081E-10
2540.0, 1.6944539E-10
2550.0, 1.6368651E-10
2560.0, 1.5814476E-10
2570.0, 1.5281115E-10
2580.0, 1.4767708E-10
2590.0, 1.4273438E-10
2600.0, 1.3797523E-10
2610.0, 1.3339209E-10
2620.0, 1.2897786E-10
2630.0, 1.247256E-10
2640.0, 1.2062899E-10
2650.0, 1.1668165E-10
2660.0, 1.1287763E-10
2670.0, 1.092112E-10
2680.0, 1.0567692E-10
2690.0, 1.0226952E-10
2700.0, 9.898405E-11
2710.0, 9.5815675E-11
2720.0, 9.275985E-11
2730.0, 8.981215E-11
2740.0, 8.69684E-11
2750.0, 8.4224544E-11
2760.0, 8.157677E-11
2770.0, 7.902136E-11
2780.0, 7.655477E-11
2790.0, 7.417361E-11
2800.0, 7.187465E-11
2810.0, 6.9654775E-11
2820.0, 6.751096E-11
2830.0, 6.544039E-11
2840.0, 6.344028E-11
2850.0, 6.150802E-11
2860.0, 5.964107E-11
2870.0, 5.7837013E-11
2880.0, 5.6093474E-11
2890.0, 5.440831E-11
2900.0, 5.277933E-11
2910.0, 5.1204485E-11
2920.0, 4.9681786E-11
2930.0, 4.8209346E-11
2940.0, 4.678534E-11
2950.0, 4.540802E-11
2960.0, 4.4075705E-11
2970.0, 4.278678E-11
2980.0, 4.1539685E-11
2990.0, 4.0332945E-11
3000.0, 3.916511E-11
