Energy (in eV), backscattering yield of material te2k-NASCAP at isotropic incidence
   X,       Y
2720.0, 0.2959276
2730.0, 0.29578874
2740.0, 0.2956501
2750.0, 0.29551175
2760.0, 0.2953736
2770.0, 0.2952357
2780.0, 0.29509798
2790.0, 0.29496056
2800.0, 0.29482335
2810.0, 0.29468638
2820.0, 0.29454964
2830.0, 0.29441312
2840.0, 0.2942769
2850.0, 0.29414085
2860.0, 0.29400504
2870.0, 0.29386944
2880.0, 0.29373413
2890.0, 0.293599
2900.0, 0.29346415
2910.0, 0.29332948
2920.0, 0.2931951
2930.0, 0.2930609
2940.0, 0.2929269
2950.0, 0.2927932
2960.0, 0.2926597
2970.0, 0.29252645
2980.0, 0.29239342
2990.0, 0.29226062
3000.0, 0.29212803
3010.0, 0.29199567
3020.0, 0.29186353
3030.0, 0.29173163
3040.0, 0.29159996
3050.0, 0.2914685
3060.0, 0.29133728
3070.0, 0.2912063
3080.0, 0.29107553
3090.0, 0.29094496
3100.0, 0.29081464
3110.0, 0.29068455
3120.0, 0.29055467
3130.0, 0.290425
3140.0, 0.2902956
3150.0, 0.29016635
3160.0, 0.2900374
3170.0, 0.28990862
3180.0, 0.2897801
3190.0, 0.28965175
3200.0, 0.28952366
3210.0, 0.28939578
3220.0, 0.28926814
3230.0, 0.28914067
3240.0, 0.28901345
3250.0, 0.28888646
3260.0, 0.28875968
3270.0, 0.2886331
3280.0, 0.28850678
3290.0, 0.28838062
3300.0, 0.2882547
3310.0, 0.28812903
3320.0, 0.28800353
3330.0, 0.2878783
3340.0, 0.28775325
3350.0, 0.2876284
3360.0, 0.2875038
3370.0, 0.2873794
3380.0, 0.28725523
3390.0, 0.28713125
3400.0, 0.2870075
3410.0, 0.28688395
3420.0, 0.28676063
3430.0, 0.2866375
3440.0, 0.28651464
3450.0, 0.2863919
3460.0, 0.28626946
3470.0, 0.2861472
3480.0, 0.28602514
3490.0, 0.2859033
3500.0, 0.28578165
3510.0, 0.28566024
3520.0, 0.285539
3530.0, 0.28541803
3540.0, 0.28529724
3550.0, 0.28517666
3560.0, 0.2850563
3570.0, 0.28493613
3580.0, 0.28481615
3590.0, 0.2846964
3600.0, 0.28457683
3610.0, 0.28445753
3620.0, 0.28433838
3630.0, 0.28421947
3640.0, 0.28410074
3650.0, 0.28398225
3660.0, 0.28386396
3670.0, 0.28374586
3680.0, 0.28362796
3690.0, 0.28351024
3700.0, 0.28339276
3710.0, 0.28327549
3720.0, 0.28315842
3730.0, 0.28304154
3740.0, 0.28292486
3750.0, 0.2828084
3760.0, 0.28269213
3770.0, 0.28257605
3780.0, 0.28246018
3790.0, 0.28234455
3800.0, 0.28222907
3810.0, 0.28211382
3820.0, 0.28199875
3830.0, 0.2818839
3840.0, 0.28176925
3850.0, 0.28165478
3860.0, 0.2815405
3870.0, 0.28142646
3880.0, 0.2813126
3890.0, 0.28119895
3900.0, 0.2810855
3910.0, 0.28097218
3920.0, 0.28085914
3930.0, 0.28074625
3940.0, 0.28063357
3950.0, 0.2805211
3960.0, 0.2804088
3970.0, 0.2802967
3980.0, 0.28018484
3990.0, 0.28007314
4000.0, 0.27996162
4010.0, 0.2798503
4020.0, 0.2797392
4030.0, 0.27962828
4040.0, 0.27951753
4050.0, 0.27940702
4060.0, 0.27929667
4070.0, 0.27918652
4080.0, 0.27907658
4090.0, 0.27896678
4100.0, 0.27885723
4110.0, 0.27874786
4120.0, 0.27863866
4130.0, 0.27852967
4140.0, 0.27842084
4150.0, 0.27831224
4160.0, 0.27820382
4170.0, 0.27809557
4180.0, 0.2779875
4190.0, 0.27787966
4200.0, 0.27777198
4210.0, 0.27766448
4220.0, 0.2775572
4230.0, 0.2774501
4240.0, 0.27734318
4250.0, 0.27723646
4260.0, 0.27712992
4270.0, 0.27702352
4280.0, 0.2769174
4290.0, 0.2768114
4300.0, 0.2767056
4310.0, 0.2766
4320.0, 0.27649453
4330.0, 0.2763893
4340.0, 0.27628425
4350.0, 0.27617937
4360.0, 0.27607468
4370.0, 0.27597016
4380.0, 0.27586585
4390.0, 0.27576172
4400.0, 0.27565774
4410.0, 0.27555397
4420.0, 0.27545038
4430.0, 0.275347
4440.0, 0.27524373
4450.0, 0.2751407
4460.0, 0.27503783
4470.0, 0.27493516
4480.0, 0.27483264
4490.0, 0.27473032
4500.0, 0.27462816
4510.0, 0.27452618
4520.0, 0.27442443
4530.0, 0.2743228
4540.0, 0.2742214
4550.0, 0.27412015
4560.0, 0.27401906
4570.0, 0.27391818
4580.0, 0.27381745
4590.0, 0.27371693
4600.0, 0.27361655
4610.0, 0.2735164
4620.0, 0.27341637
4630.0, 0.27331653
4640.0, 0.2732169
4650.0, 0.2731174
4660.0, 0.2730181
4670.0, 0.27291897
4680.0, 0.27282003
4690.0, 0.27272123
4700.0, 0.27262262
4710.0, 0.2725242
4720.0, 0.27242595
4730.0, 0.27232787
4740.0, 0.27222994
4750.0, 0.27213222
4760.0, 0.27203465
4770.0, 0.27193725
4780.0, 0.27184004
4790.0, 0.271743
4800.0, 0.2716461
4810.0, 0.2715494
4820.0, 0.27145287
4830.0, 0.2713565
4840.0, 0.2712603
4850.0, 0.27116427
4860.0, 0.27106842
4870.0, 0.27097276
4880.0, 0.27087724
4890.0, 0.2707819
4900.0, 0.27068672
4910.0, 0.2705917
4920.0, 0.27049685
4930.0, 0.2704022
4940.0, 0.2703077
4950.0, 0.27021337
4960.0, 0.27011916
4970.0, 0.2700252
4980.0, 0.26993135
4990.0, 0.26983768
5000.0, 0.26974416
5010.0, 0.26965085
5020.0, 0.26955765
5030.0, 0.26946464
5040.0, 0.2693718
5050.0, 0.26927912
5060.0, 0.26918662
5070.0, 0.26909426
5080.0, 0.26900208
5090.0, 0.26891005
5100.0, 0.2688182
5110.0, 0.26872653
5120.0, 0.26863497
5130.0, 0.2685436
5140.0, 0.2684524
5150.0, 0.26836136
5160.0, 0.2682705
5170.0, 0.26817977
5180.0, 0.2680892
5190.0, 0.26799878
5200.0, 0.26790857
5210.0, 0.26781848
5220.0, 0.26772857
5230.0, 0.2676388
5240.0, 0.26754925
5250.0, 0.26745978
5260.0, 0.2673705
5270.0, 0.26728138
5280.0, 0.26719242
5290.0, 0.2671036
5300.0, 0.26701498
5310.0, 0.2669265
5320.0, 0.26683816
5330.0, 0.26675
5340.0, 0.26666197
5350.0, 0.2665741
5360.0, 0.26648644
5370.0, 0.26639888
5380.0, 0.2663115
5390.0, 0.26622427
5400.0, 0.26613718
5410.0, 0.26605028
5420.0, 0.2659635
5430.0, 0.2658769
5440.0, 0.26579043
5450.0, 0.26570415
5460.0, 0.26561797
5470.0, 0.265532
5480.0, 0.26544616
5490.0, 0.26536047
5500.0, 0.26527494
5510.0, 0.26518956
5520.0, 0.26510435
5530.0, 0.26501927
5540.0, 0.26493433
5550.0, 0.26484954
5560.0, 0.26476493
5570.0, 0.26468045
5580.0, 0.26459613
5590.0, 0.264512
5600.0, 0.26442796
5610.0, 0.2643441
5620.0, 0.2642604
5630.0, 0.26417682
5640.0, 0.2640934
5650.0, 0.26401013
5660.0, 0.263927
5670.0, 0.26384407
