Time (s), esn 5 surface potential difference wrt to esn ground(V)
10.442997, 54.197582
20.983475, 149.55879
32.641376, 245.72609
49.23741, 347.20645
68.72825, 461.572
79.26487, 551.8854
117.57017, 795.7693
128.20407, 818.75665
142.90712, 873.6406
210.2775, 1319.9801
221.10936, 1288.8412
231.47845, 1323.2474
322.2836, 1778.3207
335.1345, 1787.2341
416.29874, 2157.2048
428.19492, 2146.3374
512.8701, 2488.3357
524.379, 2442.024
602.626, 2701.894
686.9368, 2887.6816
786.9368, 3192.4438
886.9368, 3441.267
986.9368, 3664.1772
1086.9369, 3859.2998
