Energy (in eV), backscattering yield of material bk2k-NASCAP at incidence 40.0 degree
   X,       Y
0.0, 0.0
10.0, 0.0
20.0, 0.0
30.0, 0.0
40.0, 0.0
50.0, 0.0
60.0, 0.02794717
70.0, 0.04464409
80.0, 0.05761432
90.0, 0.06831268
100.0, 0.07743347
110.0, 0.08538183
120.0, 0.09242011
130.0, 0.09872963
140.0, 0.104441725
150.0, 0.109654754
160.0, 0.11444449
170.0, 0.11887062
180.0, 0.122980975
190.0, 0.12681454
200.0, 0.13040355
210.0, 0.13377483
220.0, 0.13695116
230.0, 0.1399518
240.0, 0.14279342
250.0, 0.14549035
260.0, 0.1480551
270.0, 0.15049867
280.0, 0.1528307
290.0, 0.15505977
300.0, 0.15719347
310.0, 0.15923862
320.0, 0.16120131
330.0, 0.16308708
340.0, 0.1649009
350.0, 0.16664723
360.0, 0.16833021
370.0, 0.16995357
380.0, 0.17152075
390.0, 0.17303485
400.0, 0.17449881
410.0, 0.17591524
420.0, 0.17728664
430.0, 0.17861524
440.0, 0.17990313
450.0, 0.18115236
460.0, 0.18236461
470.0, 0.18354169
480.0, 0.18468514
490.0, 0.18579645
500.0, 0.18687698
510.0, 0.18792807
520.0, 0.18895088
530.0, 0.18994662
540.0, 0.19091631
550.0, 0.191861
560.0, 0.19278169
570.0, 0.19367918
580.0, 0.19455442
590.0, 0.19540818
600.0, 0.19624123
610.0, 0.1970543
620.0, 0.1978481
630.0, 0.19862325
640.0, 0.1993804
650.0, 0.20012015
660.0, 0.20084305
670.0, 0.20154963
680.0, 0.20224042
690.0, 0.20291592
700.0, 0.2035766
710.0, 0.20422286
720.0, 0.20485517
730.0, 0.20547393
740.0, 0.20607956
750.0, 0.2066724
760.0, 0.20725282
770.0, 0.20782115
780.0, 0.20837776
790.0, 0.20892297
800.0, 0.20945702
810.0, 0.20998031
820.0, 0.21049303
830.0, 0.2109955
840.0, 0.21148796
850.0, 0.21197069
860.0, 0.21244393
870.0, 0.21290787
880.0, 0.2133628
890.0, 0.2138089
900.0, 0.2142464
910.0, 0.21467549
920.0, 0.21509638
930.0, 0.21550925
940.0, 0.21591428
950.0, 0.21631168
960.0, 0.21670161
970.0, 0.21708421
980.0, 0.21745968
990.0, 0.21782812
1000.0, 0.21818975
1010.0, 0.21799022
1020.0, 0.21779107
1030.0, 0.21759224
