Energy (in eV), SEEP yield of material sc2k-NASCAP at isotropic incidence
   X,       Y
53800.0, 2.907044
54000.0, 2.9104078
54200.0, 2.9137568
54400.0, 2.9170914
54600.0, 2.9204106
54800.0, 2.9237163
55000.0, 2.9270077
55200.0, 2.9302847
55400.0, 2.9335465
55600.0, 2.9367952
55800.0, 2.9400294
56000.0, 2.9432497
56200.0, 2.946456
56400.0, 2.9496489
56600.0, 2.9528272
56800.0, 2.9559922
57000.0, 2.9591439
57200.0, 2.9622822
57400.0, 2.9654067
57600.0, 2.9685173
57800.0, 2.9716158
58000.0, 2.9747005
58200.0, 2.9777715
58400.0, 2.9808304
58600.0, 2.983876
58800.0, 2.9869084
59000.0, 2.9899282
59200.0, 2.9929354
59400.0, 2.9959297
59600.0, 2.9989114
59800.0, 3.00188
60000.0, 3.0048363
60200.0, 3.0077803
60400.0, 3.0107124
60600.0, 3.0136318
60800.0, 3.0165389
61000.0, 3.0194337
61200.0, 3.0223167
61400.0, 3.0251875
61600.0, 3.0280464
61800.0, 3.0308933
62000.0, 3.033728
62200.0, 3.0365512
62400.0, 3.039363
62600.0, 3.042163
62800.0, 3.0449512
63000.0, 3.0477273
63200.0, 3.0504932
63400.0, 3.053247
63600.0, 3.0559893
63800.0, 3.0587208
64000.0, 3.0614402
64200.0, 3.064149
64400.0, 3.0668468
64600.0, 3.0695338
64800.0, 3.0722086
65000.0, 3.0748734
65200.0, 3.0775273
65400.0, 3.0801702
65600.0, 3.082802
65800.0, 3.0854232
66000.0, 3.0880334
66200.0, 3.0906339
66400.0, 3.093223
66600.0, 3.095802
66800.0, 3.0983706
67000.0, 3.1009288
67200.0, 3.103476
67400.0, 3.1060135
67600.0, 3.1085403
67800.0, 3.1110573
68000.0, 3.1135638
68200.0, 3.1160605
68400.0, 3.118547
68600.0, 3.121024
68800.0, 3.1234899
69000.0, 3.125947
69200.0, 3.1283934
69400.0, 3.13083
69600.0, 3.1332574
69800.0, 3.1356747
70000.0, 3.138083
70200.0, 3.140481
70400.0, 3.1428697
70600.0, 3.1452487
70800.0, 3.1476185
71000.0, 3.1499782
71200.0, 3.152329
71400.0, 3.1546702
71600.0, 3.1570024
71800.0, 3.1593251
72000.0, 3.1616387
72200.0, 3.163943
72400.0, 3.166239
72600.0, 3.1685255
72800.0, 3.1708019
73000.0, 3.17307
73200.0, 3.1753294
73400.0, 3.1775794
73600.0, 3.179821
73800.0, 3.1820536
74000.0, 3.1842773
74200.0, 3.1864924
74400.0, 3.1886985
74600.0, 3.1908965
74800.0, 3.1930852
75000.0, 3.195266
75200.0, 3.1974385
75400.0, 3.1996014
75600.0, 3.2017558
75800.0, 3.203903
76000.0, 3.2060406
76200.0, 3.208171
76400.0, 3.2102919
76600.0, 3.212405
76800.0, 3.21451
77000.0, 3.2166066
77200.0, 3.2186954
77400.0, 3.2207754
77600.0, 3.222848
77800.0, 3.224912
78000.0, 3.2269688
78200.0, 3.2290168
78400.0, 3.231057
78600.0, 3.2330892
78800.0, 3.2351143
79000.0, 3.237131
79200.0, 3.2391396
79400.0, 3.2411406
79600.0, 3.243134
79800.0, 3.2451196
80000.0, 3.2470973
80200.0, 3.2490675
80400.0, 3.251031
80600.0, 3.2529857
80800.0, 3.2549336
81000.0, 3.2568738
81200.0, 3.2588067
81400.0, 3.2607315
81600.0, 3.2626495
81800.0, 3.2645602
82000.0, 3.2664628
82200.0, 3.2683592
82400.0, 3.2702477
82600.0, 3.2721293
82800.0, 3.274003
83000.0, 3.2758698
83200.0, 3.2777297
83400.0, 3.2795825
83600.0, 3.2814279
83800.0, 3.2832665
84000.0, 3.2850978
84200.0, 3.2869225
84400.0, 3.28874
84600.0, 3.2905507
84800.0, 3.2923543
85000.0, 3.2941515
85200.0, 3.295941
85400.0, 3.297724
85600.0, 3.2995012
85800.0, 3.3012705
86000.0, 3.3030334
86200.0, 3.3047895
86400.0, 3.3065395
86600.0, 3.308282
86800.0, 3.3100185
87000.0, 3.3117473
87200.0, 3.3134708
87400.0, 3.3151877
87600.0, 3.3168972
87800.0, 3.3186007
88000.0, 3.3202982
88200.0, 3.3219888
88400.0, 3.3236728
88600.0, 3.325351
88800.0, 3.327022
89000.0, 3.3286874
89200.0, 3.330346
89400.0, 3.3319988
89600.0, 3.3336456
89800.0, 3.3352857
90000.0, 3.3369195
90200.0, 3.3385482
90400.0, 3.3401692
90600.0, 3.3417845
90800.0, 3.3433938
91000.0, 3.3449972
91200.0, 3.3465948
91400.0, 3.348186
91600.0, 3.3497715
91800.0, 3.3513508
92000.0, 3.352924
92200.0, 3.3544917
92400.0, 3.356053
92600.0, 3.3576093
92800.0, 3.359159
93000.0, 3.360703
93200.0, 3.362241
93400.0, 3.363774
93600.0, 3.3653004
93800.0, 3.366821
94000.0, 3.3683364
94200.0, 3.3698456
94400.0, 3.37135
94600.0, 3.372848
94800.0, 3.3743405
95000.0, 3.3758283
95200.0, 3.3773093
95400.0, 3.3787854
95600.0, 3.3802552
95800.0, 3.3817205
96000.0, 3.38318
96200.0, 3.384634
96400.0, 3.3860824
96600.0, 3.387525
96800.0, 3.388963
97000.0, 3.3903956
97200.0, 3.3918216
97400.0, 3.3932436
97600.0, 3.39466
97800.0, 3.3960705
98000.0, 3.3974762
98200.0, 3.3988764
98400.0, 3.400272
98600.0, 3.401662
98800.0, 3.4030464
99000.0, 3.4044266
99200.0, 3.4058006
99400.0, 3.4071698
99600.0, 3.4085338
99800.0, 3.4098933
100000.0, 3.411247
