Time (s), esn 2 surface potential difference wrt to esn ground(V)
10.442997, -8.623536
20.983475, -18.23092
32.641376, -25.509964
49.23741, -33.8832
68.72825, -44.735905
79.26487, -59.72435
117.57017, -78.57294
128.20407, -84.86577
142.90712, -95.04265
210.2775, -115.27075
221.10936, -118.43279
231.47845, -123.826775
322.2836, -243.6305
335.1345, -267.40475
416.29874, -306.40723
428.19492, -310.85696
512.8701, -325.95996
524.379, -330.16644
602.626, -349.6548
686.9368, -365.2238
786.9368, -365.81885
886.9368, -373.54004
986.9368, -437.1328
1086.9369, -460.5293
