Energy (in eV), SEEP yield of material ka2k-NASCAP at incidence 90.0 degree
   X,       Y
0.0, 0.0
200.0, 7.813418
400.0, 14.974851
600.0, 23.133835
800.0, 31.120487
1000.0, 38.467026
1200.0, 46.150978
1400.0, 54.17044
1600.0, 60.954723
1800.0, 69.5273
2000.0, 76.66998
2200.0, 83.949005
2400.0, 91.36564
2600.0, 98.919785
2800.0, 106.61056
3000.0, 114.436455
3200.0, 122.395645
3400.0, 130.48611
3600.0, 138.70561
3800.0, 147.05191
4000.0, 153.09254
4200.0, 161.62881
4400.0, 167.74481
4600.0, 176.46783
4800.0, 185.30887
5000.0, 191.5673
5200.0, 200.58752
5400.0, 206.9237
5600.0, 216.11865
5800.0, 222.53238
6000.0, 228.96199
6200.0, 238.38808
6400.0, 244.89502
6600.0, 254.48497
6800.0, 261.06805
7000.0, 267.6681
7200.0, 277.4749
7400.0, 284.14963
7600.0, 290.84158
7800.0, 300.85715
8000.0, 307.62183
8200.0, 314.40375
8400.0, 321.20303
8600.0, 331.47266
8800.0, 338.34216
9000.0, 345.22888
9200.0, 352.13266
9400.0, 362.6442
9600.0, 369.61554
9800.0, 376.6036
10000.0, 383.60843
10200.0, 390.6299
10400.0, 397.66806
10600.0, 408.5053
10800.0, 415.60724
11000.0, 422.72513
11200.0, 429.85925
11400.0, 437.0092
11600.0, 444.17514
11800.0, 451.35696
12000.0, 462.54184
12200.0, 469.7829
12400.0, 477.03903
12600.0, 484.3103
12800.0, 491.59668
13000.0, 498.89786
13200.0, 506.2139
13400.0, 513.54456
13600.0, 520.88995
13800.0, 528.24976
14000.0, 535.6238
14200.0, 543.01215
14400.0, 554.7147
14600.0, 562.15533
14800.0, 569.6096
15000.0, 577.0772
15200.0, 584.5582
15400.0, 592.0524
15600.0, 599.55975
15800.0, 607.0801
16000.0, 614.61334
16200.0, 622.15924
16400.0, 629.7179
16600.0, 637.2888
16800.0, 644.8723
17000.0, 652.4679
17200.0, 660.0757
17400.0, 667.69543
17600.0, 675.327
17800.0, 682.9704
18000.0, 690.62537
18200.0, 698.29193
18400.0, 705.9696
18600.0, 713.6587
18800.0, 721.3589
19000.0, 729.0701
19200.0, 736.7923
19400.0, 744.5251
19600.0, 752.26855
19800.0, 760.0225
20000.0, 767.78687
20200.0, 775.5616
20400.0, 783.34644
20600.0, 791.1414
