Time (s), esn 1 surface potential difference wrt to esn ground(V)
10.442997, 1.8014569E-5
20.983475, -3.0964722E-5
32.641376, 1.1767332E-4
49.23741, 3.713529E-5
68.72825, 2.7088323E-4
79.26487, 7.2269318E-6
117.57017, -9.508702E-5
128.20407, 2.11916E-4
142.90712, 1.1186693E-5
210.2775, 7.324219E-4
221.10936, 4.853176E-5
231.47845, -8.8836334E-4
322.2836, 8.797861E-6
335.1345, -2.2437041E-4
416.29874, 0.0014648438
428.19492, 8.655478E-4
512.8701, -9.765625E-4
524.379, -4.436105E-5
602.626, -4.8828125E-4
686.9368, -8.8752335E-4
786.9368, 9.765625E-4
886.9368, 9.765625E-4
986.9368, 0.001953125
1086.9369, -9.765625E-4
