Energy (in eV), backscattering yield of material sc2k-NASCAP at incidence 60.0 degree
   X,       Y
0.0, 0.70710677
10.0, 0.42888197
20.0, 0.26013008
30.0, 0.15777686
40.0, 0.09569651
50.0, 0.05804287
60.0, 0.11740881
70.0, 0.15357813
80.0, 0.18012924
90.0, 0.20097516
100.0, 0.21802665
110.0, 0.2323853
120.0, 0.24474308
130.0, 0.2555606
140.0, 0.26515836
150.0, 0.2737676
160.0, 0.28156027
170.0, 0.28866774
180.0, 0.2951923
190.0, 0.30121526
200.0, 0.30680233
210.0, 0.3120072
220.0, 0.31687444
230.0, 0.32144135
240.0, 0.32573947
250.0, 0.32979575
260.0, 0.33363327
270.0, 0.3372721
280.0, 0.34072968
290.0, 0.3440213
300.0, 0.34716043
310.0, 0.350159
320.0, 0.3530276
330.0, 0.35577577
340.0, 0.35841194
350.0, 0.36094376
360.0, 0.3633782
370.0, 0.36572146
380.0, 0.36797923
390.0, 0.3701567
400.0, 0.37225863
410.0, 0.37428927
420.0, 0.37625274
430.0, 0.37815258
440.0, 0.37999222
450.0, 0.3817748
460.0, 0.38350317
470.0, 0.38518003
480.0, 0.38680792
490.0, 0.38838908
500.0, 0.38992575
510.0, 0.39141986
520.0, 0.39287338
530.0, 0.39428806
540.0, 0.39566553
550.0, 0.39700735
560.0, 0.39831504
570.0, 0.39958993
580.0, 0.4008333
590.0, 0.4020464
600.0, 0.40323043
610.0, 0.4043864
620.0, 0.4055154
630.0, 0.40661842
640.0, 0.4076963
650.0, 0.40875003
660.0, 0.4097804
670.0, 0.4107882
680.0, 0.41177425
690.0, 0.41273913
700.0, 0.41368365
710.0, 0.41460845
720.0, 0.4155141
730.0, 0.41640124
740.0, 0.41727045
750.0, 0.4181222
760.0, 0.4189571
770.0, 0.41977558
780.0, 0.42057818
790.0, 0.42136532
800.0, 0.42213747
810.0, 0.42289498
820.0, 0.4236383
830.0, 0.42436787
840.0, 0.42508397
850.0, 0.42578703
860.0, 0.42647734
870.0, 0.42715532
880.0, 0.4278212
890.0, 0.42847526
900.0, 0.42911792
910.0, 0.42974937
920.0, 0.4303699
930.0, 0.43097985
940.0, 0.43157935
950.0, 0.43216878
960.0, 0.4327483
970.0, 0.43331814
980.0, 0.4338786
990.0, 0.4344298
1000.0, 0.434972
1010.0, 0.4347839
1020.0, 0.43459612
1030.0, 0.43440863
1040.0, 0.43422145
1050.0, 0.43403453
1060.0, 0.43384793
1070.0, 0.4336616
1080.0, 0.43347558
1090.0, 0.43328986
1100.0, 0.4331044
1110.0, 0.43291926
1120.0, 0.4327344
1130.0, 0.43254983
1140.0, 0.43236557
1150.0, 0.43218157
1160.0, 0.43199787
1170.0, 0.43181446
1180.0, 0.43163136
1190.0, 0.43144852
1200.0, 0.43126598
1210.0, 0.4310837
1220.0, 0.43090174
1230.0, 0.43072006
1240.0, 0.43053868
1250.0, 0.43035755
1260.0, 0.43017673
1270.0, 0.4299962
1280.0, 0.42981595
1290.0, 0.42963597
1300.0, 0.4294563
1310.0, 0.4292769
1320.0, 0.42909777
1330.0, 0.42891896
1340.0, 0.4287404
1350.0, 0.42856213
1360.0, 0.42838416
1370.0, 0.42820644
1380.0, 0.42802903
1390.0, 0.4278519
1400.0, 0.42767504
1410.0, 0.42749846
1420.0, 0.42732215
1430.0, 0.42714614
1440.0, 0.4269704
1450.0, 0.42679495
1460.0, 0.42661974
1470.0, 0.42644486
1480.0, 0.42627022
1490.0, 0.42609587
1500.0, 0.4259218
1510.0, 0.42574802
1520.0, 0.42557448
1530.0, 0.42540124
1540.0, 0.42522827
1550.0, 0.4250556
1560.0, 0.42488316
1570.0, 0.42471102
1580.0, 0.42453915
1590.0, 0.42436755
1600.0, 0.42419624
1610.0, 0.4240252
1620.0, 0.42385444
1630.0, 0.4236839
1640.0, 0.42351368
1650.0, 0.42334375
1660.0, 0.42317405
1670.0, 0.42300463
1680.0, 0.4228355
1690.0, 0.4226666
1700.0, 0.42249805
1710.0, 0.4223297
1720.0, 0.42216164
1730.0, 0.42199385
1740.0, 0.4218263
1750.0, 0.42165905
1760.0, 0.42149207
1770.0, 0.42132536
1780.0, 0.42115888
1790.0, 0.4209927
1800.0, 0.4208268
1810.0, 0.42066115
1820.0, 0.42049575
1830.0, 0.4203306
1840.0, 0.42016578
1850.0, 0.42000115
1860.0, 0.41983685
1870.0, 0.4196728
1880.0, 0.419509
1890.0, 0.41934544
1900.0, 0.41918218
1910.0, 0.41901916
1920.0, 0.4188564
1930.0, 0.41869393
1940.0, 0.41853172
1950.0, 0.41836974
1960.0, 0.41820803
1970.0, 0.4180466
1980.0, 0.41788542
1990.0, 0.4177245
2000.0, 0.41756383
2010.0, 0.41740343
2020.0, 0.4172433
2030.0, 0.4170834
2040.0, 0.4169238
2050.0, 0.4167644
2060.0, 0.4166053
2070.0, 0.41644645
2080.0, 0.41628784
2090.0, 0.41612953
2100.0, 0.41597143
2110.0, 0.4158136
2120.0, 0.41565603
2130.0, 0.4154987
2140.0, 0.41534165
2150.0, 0.41518486
2160.0, 0.4150283
2170.0, 0.414872
2180.0, 0.41471595
2190.0, 0.41456017
2200.0, 0.41440463
2210.0, 0.41424936
2220.0, 0.4140943
2230.0, 0.4139395
2240.0, 0.413785
2250.0, 0.41363072
2260.0, 0.41347668
2270.0, 0.4133229
2280.0, 0.41316938
2290.0, 0.4130161
2300.0, 0.41286308
2310.0, 0.41271028
2320.0, 0.41255778
2330.0, 0.4124055
2340.0, 0.41225344
2350.0, 0.41210166
2360.0, 0.4119501
2370.0, 0.41179883
2380.0, 0.41164777
2390.0, 0.41149697
2400.0, 0.41134644
2410.0, 0.41119614
2420.0, 0.4110461
