Time (s), esn 0 surface potential difference wrt to esn ground(V)
10.442997, 4.5650387
20.983475, -3.9049628
32.641376, -1.6279869
49.23741, -18.410833
68.72825, -9.619084
79.26487, -17.828053
117.57017, -8.405494
128.20407, -34.65029
142.90712, -43.595318
210.2775, -4.130127
221.10936, -20.820065
231.47845, -7.5758033
322.2836, 36.023827
335.1345, -8.978305
416.29874, 9.414551
428.19492, -14.476327
512.8701, -18.242188
524.379, -27.363108
602.626, 41.35791
686.9368, -16.571646
786.9368, -30.699219
886.9368, -11.973633
986.9368, -95.41504
1086.9369, 15.138672
