Time (s), esn 3 surface potential difference wrt to esn ground(V)
10.442997, 10.748829
20.983475, 34.83779
32.641376, 53.041515
49.23741, 73.99288
68.72825, 106.20609
79.26487, 117.15165
117.57017, 198.73134
128.20407, 224.72983
142.90712, 248.50905
210.2775, 376.80347
221.10936, 399.78305
231.47845, 432.02695
322.2836, 570.90985
335.1345, 615.9248
416.29874, 758.4551
428.19492, 772.69006
512.8701, 852.5405
524.379, 874.20557
602.626, 1027.8892
686.9368, 890.6183
786.9368, 977.77
886.9368, 880.2925
986.9368, 1012.97754
1086.9369, 913.7998
