Energy (in eV), backscattering yield of material te2k-NASCAP at incidence 0.0 degree
   X,       Y
0.0, 0.5
10.0, 0.18393973
20.0, 0.06766764
30.0, 0.024893533
40.0, 0.00915782
50.0, 0.0033689735
60.0, 0.011902488
70.0, 0.020112406
80.0, 0.027594095
90.0, 0.034322537
100.0, 0.04037937
110.0, 0.045862667
120.0, 0.05086059
130.0, 0.055446245
140.0, 0.059678867
150.0, 0.0636063
160.0, 0.06726749
170.0, 0.07069446
180.0, 0.07391377
190.0, 0.076947704
200.0, 0.07981517
210.0, 0.08253227
220.0, 0.08511292
230.0, 0.0875691
240.0, 0.08991138
250.0, 0.09214895
260.0, 0.094289936
270.0, 0.09634162
280.0, 0.09831038
290.0, 0.10020203
300.0, 0.10202173
310.0, 0.10377416
320.0, 0.10546356
330.0, 0.10709375
340.0, 0.108668275
350.0, 0.11019029
360.0, 0.11166275
370.0, 0.11308836
380.0, 0.11446955
390.0, 0.11580864
400.0, 0.11710774
410.0, 0.118368804
420.0, 0.11959366
430.0, 0.120783985
440.0, 0.12194135
450.0, 0.12306724
460.0, 0.124162994
470.0, 0.12522995
480.0, 0.12626928
490.0, 0.12728213
500.0, 0.12826954
510.0, 0.12923253
520.0, 0.13017203
530.0, 0.13108896
540.0, 0.1319841
550.0, 0.1328583
560.0, 0.1337123
570.0, 0.13454679
580.0, 0.13536248
590.0, 0.13615997
600.0, 0.1369399
610.0, 0.13770284
620.0, 0.13844934
630.0, 0.13917993
640.0, 0.13989511
650.0, 0.14059535
660.0, 0.14128111
670.0, 0.14195283
680.0, 0.14261092
690.0, 0.1432558
700.0, 0.14388783
710.0, 0.14450735
720.0, 0.14511478
730.0, 0.14571038
740.0, 0.14629455
750.0, 0.14686751
760.0, 0.14742963
770.0, 0.14798117
780.0, 0.14852242
790.0, 0.14905363
800.0, 0.14957505
810.0, 0.15008695
820.0, 0.15058953
830.0, 0.15108304
840.0, 0.1515677
850.0, 0.15204372
860.0, 0.15251131
870.0, 0.15297066
880.0, 0.15342197
890.0, 0.1538654
900.0, 0.15430118
910.0, 0.15472943
920.0, 0.15515035
930.0, 0.15556408
940.0, 0.1559708
950.0, 0.15637065
960.0, 0.15676378
970.0, 0.15715033
980.0, 0.15753044
990.0, 0.15790424
1000.0, 0.15827185
1010.0, 0.15810828
1020.0, 0.15794502
1030.0, 0.1577821
1040.0, 0.15761948
1050.0, 0.1574572
1060.0, 0.15729526
1070.0, 0.15713362
1080.0, 0.1569723
1090.0, 0.15681133
1100.0, 0.15665066
1110.0, 0.15649031
1120.0, 0.15633029
1130.0, 0.15617059
1140.0, 0.15601121
1150.0, 0.15585214
1160.0, 0.1556934
1170.0, 0.15553497
1180.0, 0.15537685
1190.0, 0.15521905
1200.0, 0.15506157
1210.0, 0.1549044
1220.0, 0.15474755
1230.0, 0.15459101
1240.0, 0.15443477
1250.0, 0.15427886
1260.0, 0.15412325
1270.0, 0.15396796
1280.0, 0.15381297
1290.0, 0.1536583
1300.0, 0.15350394
1310.0, 0.15334988
1320.0, 0.15319613
1330.0, 0.15304269
1340.0, 0.15288956
1350.0, 0.15273672
1360.0, 0.15258421
1370.0, 0.15243198
1380.0, 0.15228008
1390.0, 0.15212846
1400.0, 0.15197715
1410.0, 0.15182614
1420.0, 0.15167545
1430.0, 0.15152504
1440.0, 0.15137494
1450.0, 0.15122513
1460.0, 0.15107563
1470.0, 0.15092643
1480.0, 0.15077752
1490.0, 0.15062891
1500.0, 0.1504806
1510.0, 0.15033258
1520.0, 0.15018487
1530.0, 0.15003744
1540.0, 0.14989032
1550.0, 0.14974348
1560.0, 0.14959693
1570.0, 0.14945069
1580.0, 0.14930472
1590.0, 0.14915906
1600.0, 0.14901368
1610.0, 0.1488686
1620.0, 0.14872381
1630.0, 0.1485793
1640.0, 0.14843509
1650.0, 0.14829116
1660.0, 0.14814751
1670.0, 0.14800416
1680.0, 0.1478611
1690.0, 0.14771831
1700.0, 0.14757581
1710.0, 0.1474336
1720.0, 0.14729168
1730.0, 0.14715002
1740.0, 0.14700867
1750.0, 0.14686759
1760.0, 0.14672679
1770.0, 0.14658627
1780.0, 0.14644603
