Energy (in eV), SEEE yield of material bk2k-NASCAP at incidence 90.0 degree
   X,       Y
2740.0, 0.8166492
2750.0, 0.81444246
2760.0, 0.81224924
2770.0, 0.8100695
2780.0, 0.80790305
2790.0, 0.8057499
2800.0, 0.80360985
2810.0, 0.80148274
2820.0, 0.79936856
2830.0, 0.79726714
2840.0, 0.7951781
2850.0, 0.7931018
2860.0, 0.7910377
2870.0, 0.788986
2880.0, 0.78694636
2890.0, 0.7849188
2900.0, 0.78290313
2910.0, 0.7808992
2920.0, 0.7789071
2930.0, 0.77692664
2940.0, 0.7749576
2950.0, 0.77299994
2960.0, 0.77105355
2970.0, 0.7691184
2980.0, 0.7671944
2990.0, 0.7652814
3000.0, 0.76337916
