Energy (in eV), backscattering yield of material te2k-NASCAP at incidence 80.0 degree
   X,       Y
2720.0, 0.70578295
2730.0, 0.7056772
2740.0, 0.7055716
2750.0, 0.7054661
2760.0, 0.7053608
2770.0, 0.70525557
2780.0, 0.7051505
2790.0, 0.7050455
2800.0, 0.70494074
2810.0, 0.7048361
2820.0, 0.7047315
2830.0, 0.7046271
2840.0, 0.70452285
2850.0, 0.7044187
2860.0, 0.70431477
2870.0, 0.7042109
2880.0, 0.70410717
2890.0, 0.7040036
2900.0, 0.7039001
2910.0, 0.7037968
2920.0, 0.70369357
2930.0, 0.7035906
2940.0, 0.70348763
2950.0, 0.7033849
2960.0, 0.7032822
2970.0, 0.70317966
2980.0, 0.7030773
2990.0, 0.70297503
3000.0, 0.70287293
3010.0, 0.70277095
3020.0, 0.7026691
3030.0, 0.7025674
3040.0, 0.70246583
3050.0, 0.7023644
3060.0, 0.70226306
3070.0, 0.70216185
3080.0, 0.7020608
3090.0, 0.7019599
3100.0, 0.7018591
3110.0, 0.70175844
3120.0, 0.70165795
3130.0, 0.7015576
3140.0, 0.7014573
3150.0, 0.7013572
3160.0, 0.7012572
3170.0, 0.70115733
3180.0, 0.7010576
3190.0, 0.700958
3200.0, 0.7008586
3210.0, 0.70075923
3220.0, 0.70066005
3230.0, 0.700561
3240.0, 0.70046204
3250.0, 0.7003633
3260.0, 0.7002646
3270.0, 0.70016605
3280.0, 0.70006764
3290.0, 0.69996935
3300.0, 0.6998712
3310.0, 0.6997732
3320.0, 0.6996753
3330.0, 0.69957757
3340.0, 0.69947994
3350.0, 0.6993824
3360.0, 0.6992851
3370.0, 0.6991878
3380.0, 0.6990907
3390.0, 0.69899374
3400.0, 0.6988969
3410.0, 0.6988002
3420.0, 0.6987036
3430.0, 0.69860715
3440.0, 0.6985108
3450.0, 0.6984146
3460.0, 0.69831854
3470.0, 0.69822264
3480.0, 0.69812685
3490.0, 0.6980311
3500.0, 0.6979356
3510.0, 0.69784015
3520.0, 0.69774485
3530.0, 0.6976497
3540.0, 0.69755465
3550.0, 0.69745976
3560.0, 0.697365
3570.0, 0.69727033
3580.0, 0.6971758
3590.0, 0.6970814
3600.0, 0.69698715
3610.0, 0.69689304
3620.0, 0.696799
3630.0, 0.6967051
3640.0, 0.69661134
3650.0, 0.6965177
3660.0, 0.69642425
3670.0, 0.69633085
3680.0, 0.6962376
3690.0, 0.69614446
3700.0, 0.6960515
3710.0, 0.6959586
3720.0, 0.69586587
3730.0, 0.69577324
3740.0, 0.6956808
3750.0, 0.6955884
3760.0, 0.6954962
3770.0, 0.6954041
3780.0, 0.6953121
3790.0, 0.69522023
3800.0, 0.6951285
3810.0, 0.6950369
3820.0, 0.69494545
3830.0, 0.6948541
3840.0, 0.6947628
3850.0, 0.69467175
3860.0, 0.6945808
3870.0, 0.69448996
3880.0, 0.6943992
3890.0, 0.6943086
3900.0, 0.6942181
3910.0, 0.6941278
3920.0, 0.69403756
3930.0, 0.69394743
3940.0, 0.69385743
3950.0, 0.6937676
3960.0, 0.6936779
3970.0, 0.69358826
3980.0, 0.6934988
3990.0, 0.69340944
4000.0, 0.6933202
4010.0, 0.6932311
4020.0, 0.6931421
4030.0, 0.69305325
4040.0, 0.6929645
4050.0, 0.6928759
4060.0, 0.6927874
4070.0, 0.692699
4080.0, 0.6926108
4090.0, 0.69252264
4100.0, 0.69243467
4110.0, 0.6923468
4120.0, 0.692259
4130.0, 0.6921714
4140.0, 0.6920839
4150.0, 0.6919965
4160.0, 0.69190925
4170.0, 0.6918221
4180.0, 0.6917351
4190.0, 0.6916482
4200.0, 0.6915614
4210.0, 0.69147474
4220.0, 0.6913882
4230.0, 0.69130176
4240.0, 0.6912155
4250.0, 0.6911293
4260.0, 0.69104326
4270.0, 0.69095737
4280.0, 0.69087154
4290.0, 0.6907859
4300.0, 0.6907003
4310.0, 0.6906149
4320.0, 0.6905295
4330.0, 0.69044435
4340.0, 0.69035923
4350.0, 0.6902743
4360.0, 0.6901894
4370.0, 0.6901047
4380.0, 0.6900201
4390.0, 0.6899356
4400.0, 0.6898513
4410.0, 0.689767
4420.0, 0.6896829
4430.0, 0.6895989
4440.0, 0.689515
4450.0, 0.68943125
4460.0, 0.68934757
4470.0, 0.68926406
4480.0, 0.6891807
4490.0, 0.68909734
4500.0, 0.6890142
4510.0, 0.6889311
4520.0, 0.6888482
4530.0, 0.6887654
4540.0, 0.6886827
4550.0, 0.6886001
4560.0, 0.68851763
4570.0, 0.6884353
4580.0, 0.68835306
4590.0, 0.6882709
4600.0, 0.68818897
4610.0, 0.6881071
4620.0, 0.68802536
4630.0, 0.6879437
4640.0, 0.68786216
4650.0, 0.68778074
4660.0, 0.6876995
4670.0, 0.6876183
4680.0, 0.68753725
4690.0, 0.6874563
4700.0, 0.6873755
4710.0, 0.6872948
4720.0, 0.6872142
4730.0, 0.6871337
4740.0, 0.6870534
4750.0, 0.6869731
4760.0, 0.686893
4770.0, 0.686813
4780.0, 0.68673307
4790.0, 0.6866533
4800.0, 0.6865736
4810.0, 0.6864941
4820.0, 0.68641466
4830.0, 0.6863353
4840.0, 0.6862561
4850.0, 0.6861771
4860.0, 0.6860981
4870.0, 0.68601924
4880.0, 0.68594044
4890.0, 0.6858618
