Energy (in eV), SEEE yield of material gr2k-NASCAP at incidence 0.0 degree
   X,       Y
2340.0, 9.755285E-10
2350.0, 9.3082486E-10
2360.0, 8.883466E-10
2370.0, 8.479743E-10
2380.0, 8.0959445E-10
2390.0, 7.7310247E-10
2400.0, 7.3839784E-10
2410.0, 7.053857E-10
2420.0, 6.7397704E-10
2430.0, 6.4408784E-10
2440.0, 6.156389E-10
2450.0, 5.885552E-10
2460.0, 5.6276617E-10
2470.0, 5.38205E-10
2480.0, 5.148085E-10
2490.0, 4.925172E-10
2500.0, 4.7127474E-10
2510.0, 4.510278E-10
2520.0, 4.3172615E-10
2530.0, 4.1332207E-10
2540.0, 3.957705E-10
2550.0, 3.7902895E-10
2560.0, 3.6305692E-10
2570.0, 3.4781636E-10
2580.0, 3.3327105E-10
2590.0, 3.1938685E-10
2600.0, 3.061312E-10
2610.0, 2.9347347E-10
2620.0, 2.8138453E-10
2630.0, 2.6983657E-10
2640.0, 2.5880392E-10
2650.0, 2.4826155E-10
2660.0, 2.3818594E-10
2670.0, 2.2855474E-10
2680.0, 2.1934683E-10
2690.0, 2.1054215E-10
2700.0, 2.0212161E-10
2710.0, 1.9406712E-10
2720.0, 1.8636154E-10
2730.0, 1.7898848E-10
2740.0, 1.7193252E-10
2750.0, 1.6517893E-10
2760.0, 1.5871367E-10
2770.0, 1.5252352E-10
2780.0, 1.465958E-10
2790.0, 1.4091853E-10
2800.0, 1.3548025E-10
2810.0, 1.3027011E-10
2820.0, 1.2527782E-10
2830.0, 1.2049349E-10
2840.0, 1.159078E-10
2850.0, 1.1151184E-10
2860.0, 1.07297116E-10
2870.0, 1.03255585E-10
2880.0, 9.937947E-11
2890.0, 9.566164E-11
2900.0, 9.2095026E-11
2910.0, 8.867296E-11
2920.0, 8.538917E-11
2930.0, 8.223757E-11
2940.0, 7.921246E-11
2950.0, 7.6308335E-11
2960.0, 7.3519975E-11
2970.0, 7.0842394E-11
2980.0, 6.827085E-11
2990.0, 6.5800795E-11
3000.0, 6.3427916E-11
