Energy (in eV), SEEE yield of material te2k-NASCAP at isotropic incidence
   X,       Y
2770.0, 1.5472163
2780.0, 1.5431409
2790.0, 1.5390899
2800.0, 1.5350629
2810.0, 1.5310595
2820.0, 1.5270795
2830.0, 1.5231227
2840.0, 1.5191889
2850.0, 1.515278
2860.0, 1.5113896
2870.0, 1.5075237
2880.0, 1.5036801
2890.0, 1.4998586
2900.0, 1.4960591
2910.0, 1.4922808
2920.0, 1.4885242
2930.0, 1.484789
2940.0, 1.4810747
2950.0, 1.4773813
2960.0, 1.4737087
2970.0, 1.4700569
2980.0, 1.466425
2990.0, 1.4628137
3000.0, 1.4592221
3010.0, 1.4556507
3020.0, 1.4520986
3030.0, 1.4485662
3040.0, 1.4450535
3050.0, 1.4415597
3060.0, 1.4380847
3070.0, 1.4346287
3080.0, 1.4311917
3090.0, 1.427773
3100.0, 1.4243728
3110.0, 1.420991
3120.0, 1.4176272
3130.0, 1.4142812
3140.0, 1.4109529
3150.0, 1.4076427
3160.0, 1.4043498
3170.0, 1.4010744
3180.0, 1.3978162
3190.0, 1.394575
3200.0, 1.3913506
3210.0, 1.3881432
3220.0, 1.3849525
3230.0, 1.3817785
3240.0, 1.378621
3250.0, 1.3754795
3260.0, 1.3723543
3270.0, 1.3692449
3280.0, 1.3661518
3290.0, 1.3630741
3300.0, 1.3600122
3310.0, 1.3569659
3320.0, 1.353935
3330.0, 1.3509195
3340.0, 1.3479191
3350.0, 1.3449335
3360.0, 1.3419634
3370.0, 1.3390077
3380.0, 1.3360668
3390.0, 1.3331405
3400.0, 1.3302288
3410.0, 1.3273311
3420.0, 1.3244483
3430.0, 1.3215792
3440.0, 1.3187243
3450.0, 1.3158834
3460.0, 1.3130563
3470.0, 1.3102427
3480.0, 1.3074431
3490.0, 1.304657
3500.0, 1.3018843
3510.0, 1.2991247
3520.0, 1.2963787
3530.0, 1.2936456
3540.0, 1.2909255
3550.0, 1.2882183
3560.0, 1.2855242
3570.0, 1.2828428
3580.0, 1.2801739
3590.0, 1.2775178
3600.0, 1.2748741
3610.0, 1.2722428
3620.0, 1.2696236
3630.0, 1.2670166
3640.0, 1.264422
3650.0, 1.2618393
3660.0, 1.2592688
3670.0, 1.2567098
3680.0, 1.2541627
3690.0, 1.2516272
3700.0, 1.2491034
3710.0, 1.2465912
3720.0, 1.2440907
3730.0, 1.2416012
3740.0, 1.2391229
3750.0, 1.2366561
3760.0, 1.2342001
3770.0, 1.2317556
3780.0, 1.2293218
3790.0, 1.2268989
3800.0, 1.2244871
3810.0, 1.2220856
3820.0, 1.2196951
3830.0, 1.2173151
3840.0, 1.2149457
3850.0, 1.2125868
3860.0, 1.210238
3870.0, 1.2078996
3880.0, 1.2055715
3890.0, 1.2032537
3900.0, 1.200946
3910.0, 1.1986483
3920.0, 1.1963605
3930.0, 1.1940829
3940.0, 1.191815
3950.0, 1.1895565
3960.0, 1.1873081
3970.0, 1.1850692
3980.0, 1.18284
3990.0, 1.1806203
4000.0, 1.17841
4010.0, 1.176209
4020.0, 1.1740173
4030.0, 1.1718351
4040.0, 1.1696621
4050.0, 1.1674981
4060.0, 1.1653433
4070.0, 1.1631975
4080.0, 1.1610606
4090.0, 1.1589327
4100.0, 1.1568137
4110.0, 1.1547031
4120.0, 1.1526018
4130.0, 1.150509
4140.0, 1.1484249
4150.0, 1.1463492
4160.0, 1.144282
4170.0, 1.1422234
4180.0, 1.1401732
4190.0, 1.1381311
4200.0, 1.1360979
4210.0, 1.1340725
4220.0, 1.1320554
4230.0, 1.1300462
4240.0, 1.1280456
4250.0, 1.1260527
4260.0, 1.1240679
4270.0, 1.122091
4280.0, 1.1201221
4290.0, 1.1181611
4300.0, 1.1162075
4310.0, 1.1142622
4320.0, 1.1123244
4330.0, 1.1103944
4340.0, 1.1084719
4350.0, 1.1065568
4360.0, 1.1046494
4370.0, 1.1027493
4380.0, 1.1008567
4390.0, 1.0989717
4400.0, 1.0970937
4410.0, 1.0952234
4420.0, 1.09336
4430.0, 1.0915039
4440.0, 1.0896549
4450.0, 1.0878131
4460.0, 1.0859786
4470.0, 1.0841509
4480.0, 1.0823303
