Time (s), esn 7 average surface potential (V), esn 7 ground potential (V), esn 7 min surface potential (V), esn 7 max surface potential (V)
10.442997, -123.81766, -106.54773, -156.17647, -32.689827
20.983475, -388.12216, -335.34036, -585.42944, -123.78472
32.641376, -654.15, -565.7373, -786.25476, -207.57414
49.23741, -931.10034, -813.48975, -1125.6694, -333.741
68.72825, -1365.703, -1203.6923, -1638.1716, -527.68097
79.26487, -1683.3221, -1489.9016, -2015.6453, -671.8299
117.57017, -2064.1028, -1809.0831, -2544.697, -500.36996
128.20407, -2525.0283, -2243.5757, -3038.0444, -1084.7284
142.90712, -2822.4207, -2516.7676, -3382.1392, -1246.1315
210.2775, -3387.631, -2956.643, -4186.3623, -979.7699
221.10936, -3888.7668, -3447.5352, -4702.3613, -1693.367
231.47845, -4185.2573, -3715.874, -5627.6504, -1898.5519
322.2836, -5052.5215, -4291.347, -15467.843, -1711.3207
335.1345, -5670.972, -4873.542, -10083.8125, -2674.7625
416.29874, -6183.873, -5298.6553, -10209.822, -1426.4087
428.19492, -6523.7695, -5633.145, -10152.79, -2280.139
512.8701, -6985.9697, -6030.277, -10664.224, -2525.5308
524.379, -7417.776, -6457.279, -10770.396, -3156.8438
602.626, -7889.503, -6868.763, -14879.622, -2563.0999
686.9368, -8501.15, -7457.2266, -13522.967, -2786.8347
786.9368, -8915.212, -7862.9614, -13949.787, -1616.6488
886.9368, -9361.847, -8278.132, -14415.74, -1067.0104
986.9368, -9816.275, -8714.973, -14905.182, -567.1363
1086.9369, -10254.768, -9140.773, -15399.761, -379.62714
