Energy (in eV), backscattering yield of material bk2k-NASCAP at incidence 50.000004 degree
   X,       Y
0.0, 0.0
10.0, 0.0
20.0, 0.0
30.0, 0.0
40.0, 0.0
50.0, 0.0
60.0, 0.049696147
70.0, 0.07362368
80.0, 0.09119302
90.0, 0.105203584
100.0, 0.11686932
110.0, 0.12685546
120.0, 0.13557358
130.0, 0.14329839
140.0, 0.1502234
150.0, 0.1564903
160.0, 0.16220616
170.0, 0.16745396
180.0, 0.17229925
190.0, 0.17679481
200.0, 0.1809838
210.0, 0.18490179
220.0, 0.1885787
230.0, 0.19203964
240.0, 0.19530618
250.0, 0.19839673
260.0, 0.20132726
270.0, 0.20411174
280.0, 0.20676234
290.0, 0.20928985
300.0, 0.21170373
310.0, 0.2140125
320.0, 0.2162237
330.0, 0.21834415
340.0, 0.22038
350.0, 0.22233666
360.0, 0.22421925
370.0, 0.22603229
380.0, 0.22777991
390.0, 0.22946593
400.0, 0.23109384
410.0, 0.23266682
420.0, 0.23418784
430.0, 0.2356596
440.0, 0.23708458
450.0, 0.23846519
460.0, 0.23980351
470.0, 0.24110161
480.0, 0.24236135
490.0, 0.24358447
500.0, 0.24477258
510.0, 0.24592726
520.0, 0.2470499
530.0, 0.24814187
540.0, 0.24920438
550.0, 0.2502387
560.0, 0.2512459
570.0, 0.252227
580.0, 0.2531831
590.0, 0.25411505
600.0, 0.25502375
610.0, 0.25591004
620.0, 0.25677478
630.0, 0.2576187
640.0, 0.25844243
650.0, 0.2592468
660.0, 0.2600324
670.0, 0.2607998
680.0, 0.26154962
690.0, 0.26228246
700.0, 0.26299882
710.0, 0.2636992
720.0, 0.26438415
730.0, 0.26505405
740.0, 0.26570943
750.0, 0.2663507
760.0, 0.2669782
770.0, 0.26759237
780.0, 0.26819363
790.0, 0.26878232
800.0, 0.26935872
810.0, 0.26992327
820.0, 0.2704762
830.0, 0.27101785
840.0, 0.27154854
850.0, 0.27206853
860.0, 0.27257812
870.0, 0.27307752
880.0, 0.27356702
890.0, 0.2740469
900.0, 0.27451736
910.0, 0.2749786
920.0, 0.27543095
930.0, 0.2758745
940.0, 0.27630946
950.0, 0.27673614
960.0, 0.27715465
970.0, 0.2775652
980.0, 0.277968
990.0, 0.2783631
1000.0, 0.2787508
1010.0, 0.27853692
1020.0, 0.27832338
1030.0, 0.27811015
