Energy (in eV), backscattering yield of material te2k-NASCAP at incidence 70.0 degree
   X,       Y
0.0, 0.7889359
10.0, 0.560408
20.0, 0.3980768
30.0, 0.28276747
40.0, 0.20085935
50.0, 0.14267722
60.0, 0.21969974
70.0, 0.26287585
80.0, 0.29290575
90.0, 0.31560132
100.0, 0.3336404
110.0, 0.34849155
120.0, 0.361041
130.0, 0.3718597
140.0, 0.3813345
150.0, 0.3897383
160.0, 0.3972701
170.0, 0.40407944
180.0, 0.410281
190.0, 0.4159648
200.0, 0.42120278
210.0, 0.42605302
220.0, 0.4305633
230.0, 0.43477327
240.0, 0.43871617
250.0, 0.4424202
260.0, 0.44590938
270.0, 0.44920442
280.0, 0.45232314
290.0, 0.45528123
300.0, 0.45809236
310.0, 0.46076852
320.0, 0.46332043
330.0, 0.46575755
340.0, 0.46808836
350.0, 0.4703204
360.0, 0.47246057
370.0, 0.47451502
380.0, 0.47648925
390.0, 0.47838843
400.0, 0.4802171
410.0, 0.48197952
420.0, 0.48367953
430.0, 0.4853207
440.0, 0.48690623
450.0, 0.48843917
460.0, 0.48992226
470.0, 0.49135813
480.0, 0.49274907
490.0, 0.49409735
500.0, 0.495405
510.0, 0.49667394
520.0, 0.49790594
530.0, 0.4991027
540.0, 0.5002658
550.0, 0.5013966
560.0, 0.5024966
570.0, 0.503567
580.0, 0.50460905
590.0, 0.5056239
600.0, 0.5066126
610.0, 0.50757617
620.0, 0.5085156
630.0, 0.5094318
640.0, 0.5103256
650.0, 0.5111978
660.0, 0.51204926
670.0, 0.5128806
680.0, 0.5136926
690.0, 0.5144859
700.0, 0.5152611
710.0, 0.5160188
720.0, 0.51675963
730.0, 0.51748407
740.0, 0.5181927
750.0, 0.51888597
760.0, 0.51956433
770.0, 0.5202283
780.0, 0.5208783
790.0, 0.5215148
800.0, 0.522138
810.0, 0.5227485
820.0, 0.52334654
830.0, 0.52393246
840.0, 0.52450675
850.0, 0.52506953
860.0, 0.5256213
870.0, 0.5261622
880.0, 0.5266926
890.0, 0.5272128
900.0, 0.527723
910.0, 0.52822345
920.0, 0.52871454
930.0, 0.5291963
940.0, 0.5296691
950.0, 0.5301331
960.0, 0.5305886
970.0, 0.5310357
980.0, 0.53147465
990.0, 0.53190565
1000.0, 0.53232884
1010.0, 0.5321406
1020.0, 0.5319526
1030.0, 0.5317649
1040.0, 0.5315774
1050.0, 0.53139013
1060.0, 0.53120315
1070.0, 0.5310164
1080.0, 0.5308299
1090.0, 0.53064364
1100.0, 0.5304576
1110.0, 0.5302718
1120.0, 0.53008634
1130.0, 0.5299011
1140.0, 0.529716
1150.0, 0.52953124
1160.0, 0.5293467
1170.0, 0.5291624
1180.0, 0.52897835
1190.0, 0.5287946
1200.0, 0.528611
1210.0, 0.5284277
1220.0, 0.5282446
1230.0, 0.5280618
1240.0, 0.52787924
1250.0, 0.5276969
1260.0, 0.52751476
1270.0, 0.52733296
1280.0, 0.52715135
1290.0, 0.52696997
1300.0, 0.52678883
1310.0, 0.52660793
1320.0, 0.5264273
1330.0, 0.5262469
1340.0, 0.5260668
1350.0, 0.52588683
1360.0, 0.5257072
1370.0, 0.5255278
1380.0, 0.5253486
1390.0, 0.5251696
1400.0, 0.5249909
1410.0, 0.52481246
1420.0, 0.52463424
1430.0, 0.5244562
1440.0, 0.52427846
1450.0, 0.52410096
1460.0, 0.5239237
1470.0, 0.52374667
1480.0, 0.5235699
1490.0, 0.52339333
1500.0, 0.523217
1510.0, 0.52304095
1520.0, 0.5228651
1530.0, 0.5226895
1540.0, 0.52251416
1550.0, 0.52233905
1560.0, 0.5221641
1570.0, 0.52198946
1580.0, 0.52181506
1590.0, 0.5216409
1600.0, 0.5214669
1610.0, 0.5212932
1620.0, 0.5211198
1630.0, 0.5209465
1640.0, 0.52077353
1650.0, 0.5206008
1660.0, 0.52042824
1670.0, 0.5202559
1680.0, 0.5200839
1690.0, 0.51991206
1700.0, 0.51974046
1710.0, 0.5195691
1720.0, 0.51939803
1730.0, 0.5192271
1740.0, 0.5190565
1750.0, 0.518886
1760.0, 0.51871586
1770.0, 0.51854587
1780.0, 0.5183762
1790.0, 0.51820666
1800.0, 0.51803744
1810.0, 0.5178684
1820.0, 0.5176996
1830.0, 0.51753104
1840.0, 0.5173627
1850.0, 0.5171946
