Time (s), variation of the average surface potential of esn 2 (s-1.V)
10.442997, -20.838825
20.983475, -18.389784
32.641376, -18.06696
49.23741, -15.775569
68.72825, -23.32504
79.26487, -21.467045
117.57017, -9.13313
128.20407, -53.21714
142.90712, -12.320236
210.2775, -6.090355
221.10936, -61.207485
231.47845, -16.030516
322.2836, -7.632823
335.1345, -48.9925
416.29874, -4.6971335
428.19492, -33.330338
512.8701, -4.188605
524.379, -45.016407
602.626, -4.3974853
686.9368, -7.5969844
786.9368, -3.69854
886.9368, -4.228916
986.9368, -5.004336
1086.9369, -4.4919724
