Energy (in eV), SEEP yield of material np2k-NASCAP at isotropic incidence
   X,       Y
54000.0, 4.8461356
54200.0, 4.850142
54400.0, 4.8541245
54600.0, 4.858081
54800.0, 4.862014
55000.0, 4.8659225
55200.0, 4.869807
55400.0, 4.873666
55600.0, 4.8775024
55800.0, 4.8813148
56000.0, 4.885103
56200.0, 4.8888702
56400.0, 4.8926125
56600.0, 4.896332
56800.0, 4.900028
57000.0, 4.9037013
57200.0, 4.907353
57400.0, 4.910981
57600.0, 4.9145875
57800.0, 4.918173
58000.0, 4.9217343
58200.0, 4.925275
58400.0, 4.928793
58600.0, 4.93229
58800.0, 4.9357657
59000.0, 4.9392204
59200.0, 4.9426537
59400.0, 4.946065
59600.0, 4.9494567
59800.0, 4.952827
60000.0, 4.9561768
60200.0, 4.9595056
60400.0, 4.962815
60600.0, 4.9661026
60800.0, 4.969372
61000.0, 4.97262
61200.0, 4.975848
61400.0, 4.979058
61600.0, 4.982247
61800.0, 4.9854164
62000.0, 4.9885674
62200.0, 4.991698
62400.0, 4.9948096
62600.0, 4.9979024
62800.0, 5.000977
63000.0, 5.004032
63200.0, 5.007069
63400.0, 5.010086
63600.0, 5.013086
63800.0, 5.016068
64000.0, 5.0190306
64200.0, 5.0219755
64400.0, 5.024903
64600.0, 5.027812
64800.0, 5.0307026
65000.0, 5.033577
65200.0, 5.036433
65400.0, 5.039271
65600.0, 5.042093
65800.0, 5.0448966
66000.0, 5.0476837
66200.0, 5.050453
66400.0, 5.0532064
66600.0, 5.055943
66800.0, 5.0586624
67000.0, 5.061364
67200.0, 5.0640507
67400.0, 5.06672
67600.0, 5.069374
67800.0, 5.072011
68000.0, 5.0746326
68200.0, 5.0772376
68400.0, 5.079827
68600.0, 5.0824
68800.0, 5.0849566
69000.0, 5.0874987
69200.0, 5.090025
69400.0, 5.092536
69600.0, 5.095031
69800.0, 5.0975113
70000.0, 5.099976
70200.0, 5.1024256
70400.0, 5.1048603
70600.0, 5.1072793
70800.0, 5.109685
71000.0, 5.1120744
71200.0, 5.11445
71400.0, 5.116811
71600.0, 5.119157
71800.0, 5.1214886
72000.0, 5.123806
72200.0, 5.126108
72400.0, 5.1283975
72600.0, 5.1306725
72800.0, 5.132932
73000.0, 5.135179
73200.0, 5.1374125
73400.0, 5.1396313
73600.0, 5.1418366
73800.0, 5.1440277
74000.0, 5.146206
74200.0, 5.14837
74400.0, 5.1505213
74600.0, 5.1526585
74800.0, 5.1547832
75000.0, 5.156895
75200.0, 5.158993
75400.0, 5.1610775
75600.0, 5.16315
75800.0, 5.165209
76000.0, 5.167255
76200.0, 5.169289
76400.0, 5.1713104
76600.0, 5.173319
76800.0, 5.1753144
77000.0, 5.177298
77200.0, 5.1792684
77400.0, 5.181227
77600.0, 5.1831737
77800.0, 5.1851068
78000.0, 5.187029
78200.0, 5.1889386
78400.0, 5.190836
78600.0, 5.192723
78800.0, 5.1945963
79000.0, 5.1964593
79200.0, 5.198309
79400.0, 5.2001476
79600.0, 5.2019744
79800.0, 5.2037897
80000.0, 5.2055936
80200.0, 5.2073865
80400.0, 5.209168
80600.0, 5.210938
80800.0, 5.212697
81000.0, 5.214444
81200.0, 5.2161803
81400.0, 5.2179055
81600.0, 5.219619
81800.0, 5.2213225
82000.0, 5.2230153
82200.0, 5.2246966
82400.0, 5.2263675
82600.0, 5.228027
82800.0, 5.2296767
83000.0, 5.231315
83200.0, 5.232943
83400.0, 5.234561
83600.0, 5.2361684
83800.0, 5.2377653
84000.0, 5.2393517
84200.0, 5.240928
84400.0, 5.2424936
84600.0, 5.244049
84800.0, 5.2455955
85000.0, 5.247131
85200.0, 5.2486563
85400.0, 5.2501717
85600.0, 5.251678
85800.0, 5.2531734
86000.0, 5.2546597
86200.0, 5.256136
86400.0, 5.2576027
86600.0, 5.2590604
86800.0, 5.2605066
87000.0, 5.261945
87200.0, 5.263373
87400.0, 5.2647924
87600.0, 5.2662015
87800.0, 5.267601
88000.0, 5.2689924
88200.0, 5.2703743
88400.0, 5.2717457
88600.0, 5.27311
88800.0, 5.2744627
89000.0, 5.275808
89200.0, 5.277144
89400.0, 5.27847
89600.0, 5.279789
89800.0, 5.2810974
90000.0, 5.2823977
90200.0, 5.2836895
90400.0, 5.284971
90600.0, 5.2862463
90800.0, 5.2875113
91000.0, 5.288768
91200.0, 5.2900157
91400.0, 5.2912555
91600.0, 5.292486
91800.0, 5.293709
92000.0, 5.294923
92200.0, 5.2961273
92400.0, 5.297325
92600.0, 5.298516
92800.0, 5.2996955
93000.0, 5.300869
93200.0, 5.3020334
93400.0, 5.3031898
93600.0, 5.3043385
93800.0, 5.305478
94000.0, 5.30661
94200.0, 5.307735
94400.0, 5.308852
94600.0, 5.309961
94800.0, 5.3110614
95000.0, 5.312154
95200.0, 5.3132386
95400.0, 5.314316
95600.0, 5.315386
95800.0, 5.3164477
96000.0, 5.317502
96200.0, 5.318549
96400.0, 5.3195896
96600.0, 5.320621
96800.0, 5.3216453
97000.0, 5.322663
97200.0, 5.3236713
97400.0, 5.3246746
97600.0, 5.325669
