Energy (in eV), backscattering yield of material bk2k-NASCAP at incidence 0.0 degree
   X,       Y
0.0, 0.0
10.0, 0.0
20.0, 0.0
30.0, 0.0
40.0, 0.0
50.0, 0.0
60.0, 0.009372125
70.0, 0.017273966
80.0, 0.024098353
90.0, 0.030098824
100.0, 0.035448626
110.0, 0.040271394
120.0, 0.044658486
130.0, 0.048679315
140.0, 0.0523879
150.0, 0.05582707
160.0, 0.059031375
170.0, 0.06202911
180.0, 0.0648437
190.0, 0.0674948
200.0, 0.06999908
210.0, 0.0723707
220.0, 0.074621946
230.0, 0.07676338
240.0, 0.0788043
250.0, 0.08075281
260.0, 0.08261609
270.0, 0.08440052
280.0, 0.086111784
290.0, 0.08775496
300.0, 0.08933461
310.0, 0.09085486
320.0, 0.092319444
330.0, 0.09373175
340.0, 0.0950949
350.0, 0.09641165
360.0, 0.097684644
370.0, 0.09891623
380.0, 0.1001086
390.0, 0.101263754
400.0, 0.10238359
410.0, 0.10346981
420.0, 0.10452404
430.0, 0.10554775
440.0, 0.10654232
450.0, 0.10750909
460.0, 0.10844922
470.0, 0.109363884
480.0, 0.110254146
490.0, 0.11112099
500.0, 0.11196535
510.0, 0.112788126
520.0, 0.113590136
530.0, 0.11437218
540.0, 0.11513497
550.0, 0.11587924
560.0, 0.11660566
570.0, 0.117314816
580.0, 0.118007354
590.0, 0.118683815
600.0, 0.11934473
610.0, 0.119990624
620.0, 0.12062199
630.0, 0.12123929
640.0, 0.12184294
650.0, 0.12243341
660.0, 0.12301107
670.0, 0.123576306
680.0, 0.1241295
690.0, 0.124671
700.0, 0.12520114
710.0, 0.12572023
720.0, 0.12622862
730.0, 0.12672655
740.0, 0.12721437
750.0, 0.12769231
760.0, 0.12816064
770.0, 0.12861961
780.0, 0.12906949
790.0, 0.1295105
800.0, 0.12994285
810.0, 0.13036679
820.0, 0.13078249
830.0, 0.13119017
840.0, 0.13159002
850.0, 0.13198225
860.0, 0.13236703
870.0, 0.1327445
880.0, 0.13311489
890.0, 0.13347833
900.0, 0.13383499
910.0, 0.13418499
920.0, 0.13452853
930.0, 0.13486572
940.0, 0.13519669
950.0, 0.1355216
960.0, 0.1358406
970.0, 0.13615377
980.0, 0.13646126
990.0, 0.13676316
1000.0, 0.13705961
1010.0, 0.13689603
1020.0, 0.13673279
1030.0, 0.13656986
