Energy (in eV), SEEE yield of material osr2k-NASCAP at isotropic incidence
   X,       Y
2780.0, 2.4514353
2790.0, 2.4451556
2800.0, 2.4389083
2810.0, 2.4326935
2820.0, 2.4265108
2830.0, 2.4203603
2840.0, 2.414241
2850.0, 2.408154
2860.0, 2.402098
2870.0, 2.396073
2880.0, 2.390079
2890.0, 2.3841155
2900.0, 2.378182
2910.0, 2.3722794
2920.0, 2.3664062
2930.0, 2.3605633
2940.0, 2.3547497
2950.0, 2.3489654
2960.0, 2.3432102
2970.0, 2.337484
2980.0, 2.3317862
2990.0, 2.3261173
3000.0, 2.3204763
3010.0, 2.314864
3020.0, 2.309279
3030.0, 2.303722
3040.0, 2.298192
3050.0, 2.29269
3060.0, 2.2872145
3070.0, 2.2817664
3080.0, 2.2763445
3090.0, 2.2709498
3100.0, 2.265581
3110.0, 2.2602386
3120.0, 2.2549217
3130.0, 2.249631
3140.0, 2.2443657
3150.0, 2.2391262
3160.0, 2.2339115
3170.0, 2.228722
3180.0, 2.2235577
3190.0, 2.218418
3200.0, 2.213303
3210.0, 2.2082121
3220.0, 2.2031453
3230.0, 2.1981032
3240.0, 2.1930842
3250.0, 2.1880896
3260.0, 2.183118
3270.0, 2.1781704
3280.0, 2.173246
3290.0, 2.1683445
3300.0, 2.1634655
3310.0, 2.1586094
3320.0, 2.1537762
3330.0, 2.1489656
3340.0, 2.144177
3350.0, 2.1394107
3360.0, 2.1346664
3370.0, 2.129944
3380.0, 2.1252432
3390.0, 2.120564
3400.0, 2.115906
3410.0, 2.1112697
3420.0, 2.1066544
3430.0, 2.10206
3440.0, 2.0974867
3450.0, 2.092934
3460.0, 2.0884016
3470.0, 2.08389
3480.0, 2.0793986
3490.0, 2.074927
3500.0, 2.0704758
3510.0, 2.066045
3520.0, 2.0616333
3530.0, 2.0572414
3540.0, 2.0528688
3550.0, 2.0485163
3560.0, 2.0441823
3570.0, 2.0398679
3580.0, 2.0355725
3590.0, 2.0312958
3600.0, 2.0270379
3610.0, 2.0227988
3620.0, 2.018578
3630.0, 2.0143757
3640.0, 2.0101917
3650.0, 2.006026
3660.0, 2.0018783
3670.0, 1.9977485
3680.0, 1.9936365
3690.0, 1.9895422
3700.0, 1.9854655
3710.0, 1.9814066
3720.0, 1.9773647
3730.0, 1.9733402
3740.0, 1.9693327
3750.0, 1.9653426
3760.0, 1.9613693
3770.0, 1.9574127
3780.0, 1.9534729
3790.0, 1.9495498
3800.0, 1.9456431
3810.0, 1.941753
3820.0, 1.9378792
3830.0, 1.9340212
3840.0, 1.9301797
3850.0, 1.9263543
3860.0, 1.9225446
3870.0, 1.9187508
3880.0, 1.9149725
3890.0, 1.9112102
3900.0, 1.9074631
3910.0, 1.9037318
3920.0, 1.9000157
3930.0, 1.8963145
3940.0, 1.8926288
3950.0, 1.8889582
3960.0, 1.8853024
3970.0, 1.8816617
3980.0, 1.8780357
3990.0, 1.8744242
4000.0, 1.8708273
4010.0, 1.867245
4020.0, 1.8636774
4030.0, 1.8601241
4040.0, 1.8565847
4050.0, 1.85306
4060.0, 1.8495489
4070.0, 1.8460519
4080.0, 1.8425689
4090.0, 1.8390996
4100.0, 1.8356441
4110.0, 1.8322027
4120.0, 1.8287746
4130.0, 1.82536
4140.0, 1.8219588
4150.0, 1.818571
4160.0, 1.8151965
4170.0, 1.811835
4180.0, 1.8084872
4190.0, 1.8051518
4200.0, 1.8018296
4210.0, 1.7985204
4220.0, 1.7952242
4230.0, 1.7919403
4240.0, 1.7886692
4250.0, 1.7854106
4260.0, 1.7821648
4270.0, 1.7789315
4280.0, 1.7757102
4290.0, 1.7725018
4300.0, 1.7693051
4310.0, 1.7661209
4320.0, 1.7629485
4330.0, 1.7597885
4340.0, 1.7566406
4350.0, 1.753504
4360.0, 1.7503796
4370.0, 1.747267
4380.0, 1.7441661
4390.0, 1.741077
4400.0, 1.7379987
4410.0, 1.7349328
4420.0, 1.7318779
4430.0, 1.7288343
4440.0, 1.7258021
4450.0, 1.722781
4460.0, 1.7197714
4470.0, 1.716773
4480.0, 1.7137853
4490.0, 1.7108088
4500.0, 1.7078433
4510.0, 1.7048885
4520.0, 1.7019446
4530.0, 1.6990116
4540.0, 1.6960891
4550.0, 1.6931773
4560.0, 1.6902761
4570.0, 1.6873853
4580.0, 1.6845051
4590.0, 1.6816354
4600.0, 1.6787758
4610.0, 1.6759264
4620.0, 1.6730878
4630.0, 1.6702592
4640.0, 1.6674404
4650.0, 1.6646321
4660.0, 1.6618338
4670.0, 1.6590452
4680.0, 1.6562667
4690.0, 1.6534978
4700.0, 1.650739
4710.0, 1.6479901
4720.0, 1.6452504
4730.0, 1.6425205
4740.0, 1.6398004
4750.0, 1.63709
4760.0, 1.6343886
4770.0, 1.6316968
4780.0, 1.6290146
4790.0, 1.626342
4800.0, 1.6236781
4810.0, 1.621024
4820.0, 1.6183789
4830.0, 1.6157432
4840.0, 1.6131159
4850.0, 1.6104983
4860.0, 1.6078897
4870.0, 1.6052897
4880.0, 1.6026989
4890.0, 1.6001167
4900.0, 1.5975437
4910.0, 1.5949793
4920.0, 1.5924237
4930.0, 1.5898767
4940.0, 1.5873383
4950.0, 1.5848086
4960.0, 1.5822873
4970.0, 1.5797751
4980.0, 1.5772709
4990.0, 1.5747755
5000.0, 1.5722879
5010.0, 1.5698091
5020.0, 1.5673386
5030.0, 1.564876
5040.0, 1.5624218
5050.0, 1.5599756
5060.0, 1.5575378
5070.0, 1.5551082
5080.0, 1.5526866
5090.0, 1.550273
5100.0, 1.5478672
5110.0, 1.5454695
5120.0, 1.5430796
5130.0, 1.5406977
5140.0, 1.5383235
5150.0, 1.5359571
5160.0, 1.5335985
