Energy (in eV), SEEE yield of material sc2k-NASCAP at incidence 0.0 degree
   X,       Y
2810.0, 3.6056046
2820.0, 3.596824
2830.0, 3.5880916
2840.0, 3.5794091
2850.0, 3.5707743
2860.0, 3.5621877
2870.0, 3.5536494
2880.0, 3.545158
2890.0, 3.5367126
2900.0, 3.5283153
2910.0, 3.5199635
2920.0, 3.5116575
2930.0, 3.503397
2940.0, 3.4951818
2950.0, 3.4870107
2960.0, 3.478885
2970.0, 3.470802
2980.0, 3.462763
2990.0, 3.4547672
3000.0, 3.446815
